gamma,method,t,meanZ1,meanZ2,varZ1,varZ2,theory_mean,theory_var
0.1,standard,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.1,standard,1.0,0.6,0.6,0.6400000000000002,0.6400000000000002,0.6703200460356393,0.5506710358827784
0.1,standard,2.0,0.6,0.6,0.6400000000000002,0.6400000000000002,0.44932896411722156,0.7981034820053446
0.1,standard,3.0,0.4,0.4,0.8399999999999999,0.8399999999999999,0.301194211912202,0.9092820467105875
0.1,standard,4.0,0.2,0.4,0.9600000000000002,0.8399999999999999,0.20189651799465538,0.9592377960216338
0.1,standard,5.0,-0.2,0.2,0.96,0.9600000000000002,0.1353352832366127,0.9816843611112658
0.1,standard,6.0,0.0,0.2,1.0,0.9600000000000002,0.09071795328941247,0.99177025295098
0.1,standard,7.0,0.2,0.2,0.9600000000000002,0.9600000000000002,0.06081006262521795,0.996302136283517
0.1,standard,8.0,0.2,0.0,0.9600000000000002,1.0,0.04076220397836621,0.998338442726826
0.1,standard,9.0,0.2,0.0,0.9600000000000002,1.0,0.02732372244729256,0.9992534141916233
0.1,standard,10.0,0.0,0.0,1.0,1.0,0.01831563888873418,0.9996645373720975
0.1,standard,11.0,0.0,0.2,1.0,0.9600000000000002,0.012277339903068436,0.9998492669249045
0.1,standard,12.0,0.0,0.0,1.0,1.0,0.008229747049020023,0.9999322712635091
0.1,standard,13.0,0.0,0.0,1.0,1.0,0.0055165644207607716,0.9999695675169916
0.1,standard,14.0,0.0,-0.2,1.0,0.96,0.003697863716482929,0.9999863258039343
0.1,standard,15.0,0.2,0.2,0.96,0.9600000000000002,0.0024787521766663585,0.9999938557876467
0.1,standard,16.0,-0.2,-0.2,0.9600000000000002,0.96,0.001661557273173934,0.999997239227428
0.1,standard,17.0,-0.2,-0.2,0.9600000000000002,0.96,0.0011137751478448024,0.99999875950492
0.1,standard,18.0,-0.2,0.2,0.9600000000000002,0.9600000000000002,0.0007465858083766792,0.9999994426096307
0.1,standard,19.0,-0.4,0.2,0.8399999999999999,0.96,0.0005004514334406104,0.9999997495483628
0.1,standard,20.0,-0.4,-0.2,0.8399999999999999,0.9600000000000002,0.00033546262790251185,0.9999998874648253
0.1,standard,21.0,0.0,0.0,1.0,1.0,0.0002248673241788482,0.9999999494346865
0.1,standard,22.0,-0.4,0.4,0.8399999999999999,0.8399999999999999,0.0001507330750954765,0.99999997727954
0.1,standard,23.0,-0.4,0.2,0.8399999999999999,0.9600000000000002,0.00010103940183709324,0.9999999897910393
0.1,standard,24.0,0.0,-0.2,1.0,0.9600000000000002,6.772873649085378e-5,0.9999999954128183
0.1,standard,25.0,0.0,0.0,1.0,1.0,4.5399929762484854e-5,0.9999999979388464
0.1,standard,26.0,0.0,0.0,1.0,1.0,3.0432483008403625e-5,0.9999999990738639
0.1,standard,27.0,-0.6,0.4,0.6400000000000002,0.8399999999999999,2.0399503411171922e-5,0.9999999995838602
0.1,standard,28.0,0.0,0.2,1.0,0.96,1.3674196065680938e-5,0.9999999998130163
0.1,standard,29.0,-0.2,-0.2,0.9600000000000002,0.9600000000000002,9.166087736247602e-6,0.9999999999159829
0.1,standard,30.0,-0.4,-0.2,0.8399999999999999,0.96,6.14421235332821e-6,0.9999999999622486
0.1,standard,31.0,-0.6,-0.2,0.6400000000000002,0.96,4.118588707535708e-6,0.9999999999830372
0.1,standard,32.0,-0.8,0.0,0.3600000000000001,1.0,2.7607725720371986e-6,0.9999999999923781
0.1,standard,33.0,-0.4,0.2,0.8399999999999999,0.9600000000000002,1.8506011975819048e-6,0.9999999999965753
0.1,standard,34.0,-0.2,0.2,0.9600000000000002,0.9600000000000002,1.2404950799567113e-6,0.9999999999984611
0.1,standard,35.0,-0.2,0.2,0.9600000000000002,0.9600000000000002,8.315287191035679e-7,0.9999999999993086
0.1,standard,36.0,0.0,0.0,1.0,1.0,5.573903692694596e-7,0.9999999999996894
0.1,standard,37.0,-0.2,-0.2,0.9600000000000002,0.96,3.73629937988526e-7,0.9999999999998604
0.1,standard,38.0,-0.2,0.2,0.96,0.9600000000000002,2.504516372327617e-7,0.9999999999999373
