step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site10,Z_site12,Z_site16
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1,0.9987502603949664,-0.9987502603949662,0.998750260394966,-0.998750260394966,0.9987502603949658,-0.9987502603949657,-0.9987502603949652,-0.9987502603949646,-0.9987502603949652
2,0.9950538642441058,-0.9950538951310987,0.995053895131099,-0.9950538951310985,0.9950538951310991,-0.9950538951310992,-0.995053895131099,-0.995053895131099,-0.9950538642441077
3,0.9890661981560014,-0.9890666145928508,0.9890666145928508,-0.9890666145928504,0.9890666145928506,-0.98906661459285,-0.9890666145928503,-0.9890666145928488,-0.9890661981559994
4,0.9810362467850812,-0.9810386136210419,0.9810386136210444,-0.9810386136210439,0.981038613621044,-0.9810386136210435,-0.9810386136210439,-0.9810386136210438,-0.9810362467850817
5,0.9712925364870886,-0.9713011995138511,0.971301199513895,-0.9713011995138948,0.9713011995138954,-0.9713011995138948,-0.9713011995138954,-0.9713011995138959,-0.9712925364870899
6,0.9602251850948722,-0.9602492496162693,0.960249249616775,-0.9602492496167752,0.9602492496167748,-0.960249249616775,-0.9602492496167747,-0.9602492496167754,-0.9602251850948715
7,0.9482654946892367,-0.9483205757234731,0.9483205757241217,-0.9483205757241971,0.9483205757241973,-0.9483205757241967,-0.9483205757241968,-0.9483205757241213,-0.9482654946892358
8,0.9358645855873979,-0.9359734454157252,0.935973445416418,-0.9359734454165277,0.935973445416532,-0.9359734454165319,-0.9359734454165322,-0.935973445416418,-0.9358645855873967
9,0.9234724673111829,-0.9236635976874059,0.9236635976880092,-0.9236635976882515,0.9236635976882854,-0.9236635976882855,-0.923663597688286,-0.923663597688011,-0.9234724673111839
10,0.9115187158711734,-0.9118220883745128,0.9118220883743402,-0.9118220883752589,0.9118220883754711,-0.9118220883754724,-0.9118220883754725,-0.9118220883743422,-0.9115187158711747
11,0.9003956288056942,-0.9008352127572277,0.9008352127570157,-0.9008352127579229,0.9008352127582765,-0.9008352127582789,-0.9008352127582776,-0.9008352127570177,-0.9003956288056947
12,0.8904444132652056,-0.8910275875626923,0.8910275875625829,-0.8910275875634074,0.891027587563971,-0.8910275875639797,-0.8910275875639725,-0.8910275875625852,-0.890444413265206
13,0.8819446719232419,-0.8826492463716301,0.882649246372218,-0.8826492463728631,0.8826492463737281,-0.8826492463737494,-0.8826492463737297,-0.8826492463722195,-0.8819446719232438
14,0.8751072158779899,-0.8758673290130572,0.8758673290164339,-0.8758673290167709,0.8758673290180619,-0.8758673290181099,-0.8758673290180645,-0.8758673290164377,-0.8751072158779934
15,0.8700700659686648,-0.8707626464823586,0.8707626464950461,-0.8707626464949123,0.8707626464967815,-0.8707626464968851,-0.8707626464967829,-0.8707626464950473,-0.8700700659686647
16,0.8668974030166493,-0.8673310986857456,0.8673310987262456,-0.8673310987254339,0.867331098728087,-0.8673310987282983,-0.8673310987280871,-0.8673310987262458,-0.866897403016649
17,0.8655811819872788,-0.8654896322876138,0.8654896324042876,-0.8654896324025271,0.8654896324062595,-0.8654896324066754,-0.8654896324062593,-0.8654896324042884,-0.8655811819872782
18,0.8660451177061764,-0.8650861675849423,0.8650861678955919,-0.8650861678925096,0.8650861678978017,-0.8650861678985972,-0.8650861678978021,-0.8650861678955938,-0.8660451177061754
19,0.8681507615724058,-0.865912711194452,0.8659127119691938,-0.8659127119672146,0.8659127119720146,-0.8659127119729526,-0.8659127119720144,-0.8659127119691961,-0.8681507615724054
20,0.871705402299074,-0.8677207164121084,0.8677207182349664,-0.8677207182350687,0.8677207182394658,-0.8677207182405612,-0.8677207182394648,-0.8677207182349679,-0.8717054022990735
