step,Z_site1,Z_site4,Z_site8
0,1.0,-1.0,-1.0
1,0.9752198704902816,-0.960431161671703,-0.9752198704902806
2,0.8806644105134994,-0.8479249136033682,-0.880664410513506
3,0.7264191655908018,-0.6797556507924396,-0.7264191655908087
4,0.5357155513365589,-0.4806518796572628,-0.5357155513365691
5,0.3351971937068164,-0.2778377559363258,-0.3351971937068271
6,0.1498924023385895,-0.0959701142320667,-0.14989240233860052
7,-0.0009621746685522765,0.04689264156589912,0.000962174668524697
8,-0.10645483456268441,0.14154195974736145,0.1064548345626453
9,-0.16458410522472056,0.18785619237221085,0.1645841052246817
10,-0.18105862354946065,0.19326374990629425,0.18105862354941987
11,-0.16681983483487156,0.17000741293509242,0.1668198348348355
12,-0.13497987819000207,0.13194367203375312,0.13497987818996734
13,-0.09789004405480987,0.09160178667919905,0.09789004405478285
14,-0.06493513820429073,0.05807653874250818,0.06493513820426494
15,-0.04141750482685202,0.03607545130101941,0.04141750482683343
16,-0.02860322227217284,0.026142252120403497,0.028603222272157388
17,-0.024722977740977044,0.02580534505007226,0.024722977740963235
18,-0.026522215430939453,0.031220419834027346,0.02652221543092667
19,-0.030883003404607395,0.03882690604064015,0.03088300340459144
20,-0.036094106776286335,0.046611197927807935,0.0360941067762714
