step,Z_site1,Z_site4,Z_site8
0,1.0,-1.0,-1.0
1,0.9604311616717031,-0.960431161671704,-0.9604311616717047
2,0.8479248868285092,-0.8479248868285257,-0.8479248868285132
3,0.6797557474009683,-0.6797557474012238,-0.679755747400979
4,0.48065440861806685,-0.4806544086195707,-0.48065440861809705
5,0.2778528388811658,-0.2778528388866856,-0.27785283888119017
6,0.09602514628406349,-0.09602514629911019,-0.09602514628411642
7,-0.046742295791674784,0.046742295758285146,0.0467422957915979
8,-0.14120544132049023,0.14120544125697432,0.14120544132036986
9,-0.1872071189341242,0.1872071188272152,0.18720711893400477
10,-0.19215032719097172,0.19215032702860413,0.19215032719085465
11,-0.1682730842220724,0.16827308399659685,0.16827308422196172
12,-0.12945654466181905,0.1294565443732233,0.12945654466171147
13,-0.08828891851597194,0.0882889181744122,0.08828891851586951
14,-0.05395684919542138,0.05395684882237567,0.05395684919531977
15,-0.03128320004925846,0.031283199676791995,0.03128320004916094
16,-0.02093318448985759,0.020933184157828966,0.02093318448976689
17,-0.0205408586679543,0.02054085841932557,0.020540858667868492
18,-0.026330841130453007,0.02633084100526123,0.026330841130374674
19,-0.03476060749045736,0.03476060751937554,0.034760607490377605
20,-0.043778809660323735,0.0437788098589601,0.04377880966025109
