step,Z_site1,Z_site4,Z_site8,Z_site15,Z_site16
0,1.0,-1.0,-1.0,1.0,-1.0
1,0.9801163698825157,-0.9604311616717031,-0.9604311616717007,0.9603816183832353,-0.980116369882514
2,0.9039887513241325,-0.8479249278884156,-0.8479248985449443,0.8471114252033751,-0.9039887513249784
3,0.764643026063794,-0.6797559825361938,-0.6797563691562799,0.6764922456101159,-0.7646430260741953
4,0.5836828051770194,-0.48065490402063077,-0.4806617309757818,0.47283782996308854,-0.5836828052218695
5,0.3870257157701721,-0.2778571121117114,-0.2778981275471433,0.2635996591846179,-0.3870257158933299
6,0.19996794886601701,-0.09606101406368528,-0.09621658718696505,0.0742854424190067,-0.19996794912191143
7,0.04293710532468824,0.04656300714268413,0.04611743407289734,-0.07571477241545305,-0.0429371057584163
8,-0.07124416016107749,0.1405707573965952,0.1395219684583231,-0.17559517336371055,0.07124415952684746
9,-0.1382419065462939,0.1854394072205226,0.18331080299415303,-0.22361500939300433,0.1382419060265758
10,-0.16137644741636184,0.1880422234822633,0.18420398488400275,-0.22581657868837557,0.16137644980764326
11,-0.14955529811367216,0.1600201277997806,0.15374875094286777,-0.19355640428536053,0.1495553217807051
12,-0.1146282251492923,0.11479521666221548,0.10538403908865213,-0.14057325479700988,0.11462835672301819
13,-0.06880511522777001,0.06490369289491094,0.051809027760346904,-0.08026691795813101,0.06880567626084735
14,-0.022621591021047785,0.02011578658384877,0.003107274155206204,-0.023668258194101677,0.02262351039074561
15,0.016289592229763516,-0.013465465985943559,-0.03418978404318533,0.021677998491848538,-0.016284250160916124
16,0.04359452491008578,-0.03339535501077556,-0.05716628131959216,0.05194200725258946,-0.04358231873389838
17,0.057973683757529926,-0.04022210088185596,-0.0659352009212309,0.06655660094727,-0.05795086390780568
18,0.06041700270868412,-0.036492560842457555,-0.062709234509021,0.06737477788965845,-0.06038198872486616
19,0.053377901261580755,-0.025730442598074332,-0.05083652086153187,0.057719178505496294,-0.053333164253604765
20,0.04000929554112184,-0.011591341895299978,-0.03400032537886331,0.041525732670869675,-0.039960464484376915
21,0.02358027743186463,0.0027196358619749894,-0.01563977366788463,0.022674455758000422,-0.023533754428449093
22,0.00704805030622904,0.014772133149067612,0.0014144925056138674,0.004517099690914628,-0.0070076532006582365
23,-0.007244467699953768,0.02303205982957829,0.015107544245055081,-0.01041575194863098,0.007280961408651156
24,-0.01772634281129035,0.02684667918826089,0.024171249727204247,-0.020546011838721956,0.017762931041210704
25,-0.023651300653533394,0.026339887612384816,0.028118286701145776,-0.025268039314169377,0.02369271748273206
26,-0.02498857728917383,0.022282633379781314,0.027321580525191663,-0.024858667337648244,0.02503723230032607
27,-0.02229543285376584,0.01589559178727168,0.0227685597984116,-0.020280440094130714,0.022351676724975657
28,-0.016531144822342594,0.008614117144570332,0.015758442920702338,-0.012945657187617476,0.016594976067316993
29,-0.008864901345144874,0.0018304838682450253,0.007670041810931746,-0.0044387961792232145,0.008936890094608933
30,-0.0005095427534339945,-0.0033573449787703824,-0.00023463871505167468,0.003752611260440686,0.0005915319766878884
