step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site10,Z_site12,Z_site16
0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.9987502603949668,-0.9987502603949668,0.9987502603949666,-0.9987502603949665,0.9987502603949666,-0.9987502603949662,-0.9987502603949663,-0.9987502603949668,-0.9987502603949667
2.0,0.9950538951310985,-0.9950538951310977,0.9950538951310978,-0.9950538951310981,0.9950538951310978,-0.9950538951310984,-0.9950538951310983,-0.9950538951310982,-0.9950538951310982
3.0,0.9890666145928508,-0.9890666145928507,0.9890666145928503,-0.98906661459285,0.9890666145928498,-0.9890666145928505,-0.9890666145928498,-0.9890666145928498,-0.9890666145928497
4.0,0.9810386136210218,-0.9810386136210196,0.9810386136210216,-0.981038613621022,0.9810386136210218,-0.9810386136210218,-0.9810386136210218,-0.981038613621022,-0.9810386136210212
5.0,0.9713011995135583,-0.9713011995135554,0.9713011995135585,-0.9713011995135583,0.9713011995135582,-0.9713011995135584,-0.971301199513558,-0.9713011995135592,-0.9713011995135576
6.0,0.9602492496137267,-0.9602492496137238,0.9602492496137259,-0.960249249613726,0.9602492496137264,-0.9602492496137254,-0.9602492496137262,-0.9602492496137276,-0.9602492496137256
7.0,0.9483205757236923,-0.9483205757236866,0.9483205757236894,-0.9483205757236911,0.9483205757236911,-0.94832057572369,-0.9483205757236916,-0.9483205757236932,-0.9483205757236902
8.0,0.9359734454337748,-0.9359734454337697,0.9359734454337718,-0.9359734454337749,0.9359734454337746,-0.9359734454337739,-0.9359734454337738,-0.9359734454337759,-0.9359734454337734
9.0,0.9236635977595564,-0.9236635977595533,0.9236635977595536,-0.9236635977595569,0.9236635977595576,-0.9236635977595564,-0.9236635977595561,-0.9236635977595564,-0.9236635977595566
10.0,0.9118220885699897,-0.9118220885699848,0.9118220885699837,-0.9118220885699877,0.9118220885699897,-0.9118220885699889,-0.9118220885699888,-0.91182208856999,-0.9118220885699888
11.0,0.9008352131948362,-0.9008352131948322,0.9008352131948307,-0.9008352131948334,0.9008352131948362,-0.9008352131948351,-0.9008352131948362,-0.9008352131948345,-0.9008352131948355
12.0,0.8910275884180774,-0.8910275884180741,0.8910275884180704,-0.891027588418077,0.891027588418077,-0.8910275884180783,-0.8910275884180776,-0.8910275884180389,-0.8910275884180864
13.0,0.8826492478888129,-0.8826492478888108,0.8826492478888035,-0.8826492478888133,0.8826492478888107,-0.8826492478888142,-0.8826492478888136,-0.8826492478887622,-0.8826492478888214
14.0,0.8758673315080104,-0.875867331508011,0.8758673315079999,-0.8758673315080132,0.8758673315080072,-0.8758673315080118,-0.8758673315080128,-0.8758673315079534,-0.8758673315080187
15.0,0.870762650339109,-0.8707626503391115,0.8707626503390968,-0.8707626503391139,0.8707626503391043,-0.8707626503391112,-0.8707626503391114,-0.8707626503389917,-0.8707626503391184
16.0,0.8673311043450544,-0.86733110434506,0.8673311043450388,-0.8673311043450598,0.8673311043450463,-0.8673311043450576,-0.8673311043450569,-0.8673311043449164,-0.8673311043450658
17.0,0.8654896402318405,-0.8654896402318465,0.8654896402318193,-0.865489640231844,0.8654896402318274,-0.8654896402318443,-0.8654896402318435,-0.8654896402317039,-0.865489640231854
18.0,0.8650861783293889,-0.8650861783294049,0.865086178329371,-0.8650861783293996,0.8650861783293784,-0.8650861783293969,-0.8650861783293897,-0.8650861783292203,-0.865086178329391
19.0,0.8659127253065526,-0.8659127253065746,0.865912725306534,-0.865912725306567,0.8659127253065403,-0.8659127253065622,-0.8659127253065524,-0.8659127253063804,-0.8659127253065582
20.0,0.8677207345975474,-0.8677207345975754,0.867720734597528,-0.8677207345975672,0.8677207345975335,-0.8677207345975573,-0.8677207345975514,-0.8677207345973963,-0.8677207345975618
