step,Z_site1,Z_site4,Z_site5,Z_site6
0,1.0,-1.0,1.0,-1.0
1,0.9604311616717022,-0.9604311616717031,0.9604311616717032,-0.960431161671703
2,0.8479169155631485,-0.8479169155631496,0.8479169155631524,-0.8479169155631535
3,0.6796480121104975,-0.6796480121105029,0.6796480121105126,-0.6796480121105041
4,0.48004103326613284,-0.48004103326613706,0.4800410332661603,-0.4800410332661518
5,0.27561337980835054,-0.27561337980835726,0.275613379808367,-0.27561337980835465
6,0.08986475482666215,-0.08986475482665357,0.08986475482666134,-0.0898647548266581
7,-0.060565440678134366,0.06056544067814512,-0.06056544067814118,0.060565440678145545
8,-0.1676511329716926,0.16765113297169854,-0.16765113297169693,0.1676511329717143
9,-0.23148980619856424,0.2314898061985663,-0.23148980619856852,0.23148980619858792
10,-0.25806688277176676,0.2580668827717646,-0.2580668827717737,0.25806688277178946
11,-0.2562144120253897,0.2562144120253882,-0.2562144120254011,0.25621441202541023
12,-0.23482040813598276,0.23482040813597904,-0.23482040813599092,0.23482040813600003
13,-0.20112034594288974,0.20112034594288625,-0.2011203459428928,0.20112034594290046
14,-0.1604260290498165,0.16042602904981196,-0.1604260290498083,0.16042602904981604
15,-0.1170825963131539,0.11708259631314322,-0.11708259631312273,0.11708259631313624
16,-0.07598054829912515,0.07598054829911838,-0.07598054829908862,0.07598054829910415
17,-0.043744107256205374,0.04374410725621297,-0.043744107256189046,0.043744107256195694
18,-0.028845483194873005,0.02884548319488217,-0.02884548319485314,0.02884548319486346
19,-0.04031947573972036,0.04031947573974337,-0.040319475739726496,0.040319475739732595
20,-0.08532880487921093,0.08532880487923633,-0.0853288048792159,0.08532880487921786
21,-0.16634837694742996,0.1663483769474382,-0.16634837694741367,0.1663483769474273
22,-0.2789971187140547,0.27899711871404104,-0.27899711871400334,0.2789971187140325
23,-0.4114366810502205,0.4114366810501578,-0.4114366810501026,0.4114366810501717
24,-0.5457995388895764,0.5457995388895422,-0.5457995388895224,0.545799538889566
25,-0.6614579073256328,0.6614579073256294,-0.6614579073256194,0.6614579073256303
26,-0.7393269742957855,0.7393269742957841,-0.739326974295767,0.7393269742957759
27,-0.7660272739475926,0.766027273947599,-0.7660272739475935,0.7660272739475942
28,-0.7367369896247903,0.7367369896248077,-0.7367369896248199,0.7367369896248106
29,-0.6559395286780504,0.655939528678084,-0.6559395286781246,0.6559395286780965
30,-0.5358876122620326,0.5358876122620402,-0.535887612262073,0.5358876122620667
