step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8
0,1.0,-1.0,1.0,-1.0,1.0,-1.0
1,0.9604311616717075,-0.9604311616717073,0.9604311616706981,-0.9604311615304761,0.9604311615330444,-0.9604311616736126
2,0.847924886407519,-0.8479248869277387,0.847924887101837,-0.8479248970179617,0.847924893355609,-0.8479248832155459
3,0.6797557457952511,-0.679755747963535,0.6797557479181187,-0.6797557589701941,0.6797557518221704,-0.6797557395324735
4,0.48065440491227934,-0.4806544103936049,0.4806544100625994,-0.4806544202629832,0.48065440856325975,-0.48065439471872873
5,0.27785283219940604,-0.2778528430404461,0.2778528427372702,-0.27785285128299875,0.27785283374906605,-0.2778528172086371
6,0.09602513598378976,-0.09602515444878956,0.09602515505254827,-0.09602516253916554,0.0960251374704173,-0.09602511543211416
7,-0.04674230990569567,0.04674228152984483,-0.04674227851195745,0.046742270414299236,-0.046742305202832735,0.04674233635952141
8,-0.1412054587593205,0.14120541846882462,-0.14120541097436712,0.1412054003957396,-0.14120544737769825,0.1412054906101267
9,-0.18720713833132066,0.18720708486171533,-0.18720707046147023,0.1872070565280951,-0.18720711794315215,0.187207173886211
10,-0.19215034628008038,0.1921502796328063,-0.19215025582904316,0.19215023973102507,-0.19215031678892125,0.19215038255482983
11,-0.16827310009314272,0.16827302195175475,-0.16827298659222528,0.16827297202703667,-0.16827306402121295,0.16827313298331473
12,-0.12945655429780095,0.12945646816194017,-0.1294564199331144,0.12945641263343577,-0.12945651622568977,0.12945657894677373
13,-0.0882889194782251,0.08828883046457808,-0.0882887693342787,0.0882887757780269,-0.08828888470178009,0.08828893073064936
14,-0.05395684026389656,0.053956754666327045,-0.05395668207213611,0.053956707851403385,-0.05395681318236056,0.053956833144371656
15,-0.03128318166462226,0.03128310642074117,-0.03128302503219038,0.031283073517469506,-0.03128316452603108,0.031283151889159685
16,-0.020933158941941588,0.020933101087201478,-0.020933014132787697,0.020933085914965954,-0.02093315139947216,0.020933103477305155
17,-0.020540830035618223,0.020540796108769577,-0.020540706482284565,0.020540799691639466,-0.02054082961680015,0.020540747653621093
18,-0.026330814958674096,0.0263308102698232,-0.026330719782831802,0.026330830982748243,-0.026330818193738725,0.02633070664628896
19,-0.0347605901395196,0.03476061788735563,-0.034760527006639674,0.034760652154167015,-0.034760593874850476,0.03476045920034347
20,-0.043778807283115215,0.043778867668968435,-0.043778775861674335,0.043778910906502655,-0.043778809669508145,0.04377865903364816
21,-0.0534436801980155,0.05344376981719101,-0.053443676328885914,0.0534438173101211,-0.05344368097207197,0.05344352128768937
22,-0.06582197196904363,0.06582208376484577,-0.06582198844233378,0.06582213125175668,-0.065821971895761,0.06582180946908296
23,-0.08425386478291044,0.08425398871159029,-0.08425389247677784,0.0842540326129152,-0.08425386444738286,0.08425370525295474
24,-0.11219931448696718,0.11219943883334038,-0.11219934362276068,0.11219947619968862,-0.11219931292949775,0.11219916324055937
25,-0.1519653342063103,0.15196544730702516,-0.15196535559312052,0.1519654756652104,-0.15196532805835755,0.15196519497035865
26,-0.20364166576303852,0.20364175779784216,-0.20364167202703198,0.2036417750895947,-0.2036416494349066,0.20364154085365863
27,-0.2645364533089618,0.2645365178128532,-0.26453644010674093,0.2645365225484827,-0.2645364203770293,0.2645363443006072
28,-0.32930217638981885,0.3293022111950721,-0.32930214346577774,0.3293022028054875,-0.3293021217740171,0.3293020850446269
29,-0.39078600215749243,0.39078600957725285,-0.39078595392991455,0.3907859888043817,-0.3907859242426222,0.390785931193322
30,-0.441453926969982,0.441453913181655,-0.4414538722807241,0.44145388227713755,-0.4414538287596271,0.44145388021400034
31,-0.4750649689784528,0.47506494274611105,-0.47506491981517895,0.47506490530216705,-0.47506485774724877,0.4750649506663603
32,-0.48816002139737097,0.48815999244068303,-0.4881599907419536,0.48815995283630625,-0.488159906943125,0.48816003477844205
33,-0.48092758139419867,0.4809275587962681,-0.48092758069581326,0.480927521419259,-0.4809274735581107,0.4809276271856759
34,-0.4571417537618596,0.457141744757527,-0.457141790700371,0.4571417132525641,-0.45714166010254154,0.45714182913083684
35,-0.4231197037628726,0.4231197130774264,-0.42311978088174906,0.4231196898231804,-0.4231196280733373,0.42311980230143553
36,-0.3859463436448581,0.38594637334774096,-0.3859464581499067,0.3859463592245725,-0.38594628555867067,0.385946456360334
37,-0.35145825595838187,0.35145830566287,-0.3514584006293305,0.3514583000440935,-0.35145821147424705,0.35145837288289566
38,-0.3225697413703477,0.32256980860357565,-0.32256990623862125,0.3225698094744793,-0.32256970393167206,0.3225698532254379
39,-0.29842187833903716,0.29842195899225704,-0.2984220526151363,0.2984219631741005,-0.2984218401534142,0.298421977813803
40,-0.27458199875680406,0.2745820876112401,-0.2745821724704776,0.2745820911580897,-0.2745819521933546,0.2745820812265959
41,-0.2442180587006075,0.24421815003402414,-0.2442182236512992,0.24421814887927623,-0.24421799769213093,0.24421812242530325
42,-0.19992888749295804,0.19992897571002605,-0.1999290373799566,0.19992896653412184,-0.1999288088218023,0.19992893338983533
43,-0.13578977808310247,0.13578985825390216,-0.13578990802367374,0.13578983938812872,-0.13578968230678312,0.135789809127713
44,-0.04917078146769996,0.04917084968396401,-0.04917088738853592,0.049170821766076234,-0.049170673183127844,0.04917080177363595
45,0.058041443637614015,-0.05804139006447684,0.058041365180045434,-0.05804142393487077,0.05804155638021097,-0.058041429899855106
46,0.17907986976697318,-0.17907983212450418,0.17907982099007674,-0.1790798668325494,0.1790799768233421,-0.17907985929792422
47,0.3029229917449072,-0.3029229696091196,0.3029229723441907,-0.3029229989879127,0.30292308264812856,-0.3029229825327571
48,0.41587823295053455,-0.4158782237563949,0.41587823863021317,-0.4158782418419708,0.4158782985985774,-0.415878223989103
49,0.5038926158623132,-0.5038926146010483,0.5038926374699711,-0.5038926168987949,0.5038926497264188,-0.5038926063203648
50,0.5551643062579636,-0.5551643056938599,0.5551643302133329,-0.5551642901887134,0.5551643049912367,-0.555164294564975
51,0.5625034863724904,-0.5625034780819904,0.5625034966603376,-0.5625034457756757,0.5625034499710508,-0.5625034697728836
52,0.5249024003245353,-0.5249023765222764,0.5249023817251822,-0.52490233136347,0.5249023320945467,-0.5249023752342425
53,0.44794194384571195,-0.447941899527587,0.4479418855363456,-0.44794184772619966,0.44794185030902445,-0.44794190692933356
54,0.34294093821416527,-0.34294087285604286,0.34294083661201213,-0.34294082173553675,0.34294082885584243,-0.3429408877179238
55,0.2250533329403973,-0.22505325102910834,0.2250531928040107,-0.22505320772181436,0.22505321955700142,-0.22505326967585484
56,0.11074421814511708,-0.11074412820498747,0.11074405148241695,-0.1107440985552558,0.11074411362720304,-0.11074414568678374
57,0.015171455738060934,-0.01517136808865438,0.015171278812655509,-0.015171356041228656,0.015171372385728743,-0.015171379766050947
58,-0.05003713288302606,0.05003720890577662,-0.05003730348723234,0.050037201369995454,-0.05003718513078015,0.050037205802831115
59,-0.07825360094278719,0.07825365936990125,-0.07825375192352013,0.07825363193145624,-0.07825361588034474,0.07825366467162777
60,-0.06838731902448515,0.06838735848183308,-0.06838744253384083,0.06838731213387539,-0.06838729481769668,0.06838736884650683
61,-0.024493134896113555,0.024493158366389767,-0.024493228783578846,0.024493095296539202,-0.0244930739559856,0.024493168000390753
62,0.04538538853172357,-0.04538537519864938,0.04538532216475977,-0.04538545142127509,0.04538548020041877,-0.04538537305474322
63,0.13085113449796748,-0.13085112472040028,0.13085109162822028,-0.13085120882295798,0.1308512481503899,-0.13085113598709294
64,0.22091567417404215,-0.22091566268153834,0.22091565109746136,-0.22091574754382304,0.22091579917418014,-0.22091569087864818
65,0.30554728895926,-0.3055472731431638,0.30554728370098255,-0.3055473501102655,0.3055474136160634,-0.30554731853834444
66,0.37675286151441245,-0.37675284180324914,0.3767528741230737,-0.3767529015448365,0.3767529740321229,-0.3767529014697431
67,0.4290890099280987,-0.42908898926237293,0.42908904181897684,-0.42908902304534735,0.4290890995870743,-0.4290890579252249
68,0.4596547980161407,-0.45965478075911115,0.4596548507972455,-0.4596547818617019,0.4596548565619037,-0.4596548520836911
69,0.4677281461379354,-0.4677281368463835,0.46772822040047085,-0.4677281018350773,0.4677281691728332,-0.46772820477357113
70,0.4542347897661513,-0.45423479215991047,0.45423488420486824,-0.4542347218258461,0.4542347777973843,-0.45423485198731195
71,0.42118966800756436,-0.42118968429652137,0.4211897790546032,-0.4211895841106612,0.42118962676922356,-0.4211897333408743
72,0.3711741536987017,-0.3711741842627263,0.37117427568492856,-0.37117406420789506,0.3711740934666601,-0.3711742220268415
73,0.3068675684174711,-0.3068676117680081,0.30686769415705395,-0.30686748538638875,0.3068675022764081,-0.30686763957811247
74,0.2306675747471992,-0.23066762772854305,0.2306676963804053,-0.23066751029343935,0.23066751610127012,-0.23066764788006677
75,0.14448857613080976,-0.14448863436831794,0.1444886860445989,-0.14448854032177894,0.14448853606076018,-0.14448864897890515
76,0.04985798203193503,-0.049858040615979204,0.04985807368985484,-0.049857980754278775,0.049857967240374945,-0.049858050586453796
77,-0.05162130335793483,0.05162124907253762,-0.051621234819259953,0.05162126991305016,-0.05162129141542682,0.051621244492355466
78,-0.15751650109699716,0.15751645481862508,-0.15751645860453167,0.1575164388219385,-0.15751646570285444,0.15751645751495755
79,-0.2637702797929668,0.2637702440048293,-0.2637702644321373,0.2637701997718134,-0.2637702273859546,0.2637702555981971
80,-0.3642336208698455,0.3642335970209304,-0.36423363224922123,0.3642335374623648,-0.36423355904443633,0.3642336171247048
81,-0.4508687097602835,0.4508686987526763,-0.4508687464342997,0.4508686381810516,-0.4508686455362535,0.45086872373672027
82,-0.5147796144254942,0.5147796169853777,-0.5147796740952841,0.5147795683730942,-0.5147795532129376,0.5147796400079612
83,-0.54794267017123,0.547942686676185,-0.547942749440531,0.5479426599285632,-0.5479426154734193,0.547942699290447
84,-0.5452288086097351,0.5452288381948208,-0.545228902273269,0.5452288398570001,-0.5452287622278278,0.545228833200095
85,-0.506144117866733,0.5061441570386502,-0.5061442179863257,0.5061441913039899,-0.5061440803158939,0.5061441317029318
86,-0.43572713748165876,0.4357271788273359,-0.43572723272969355,0.43572724924326023,-0.4357271084483283,0.4357271373668554
87,-0.3442332303314254,0.3442332620305791,-0.34423330612647096,0.3442333730486783,-0.3442332091410897,0.34423321637125437
88,-0.24555193891738974,0.24555194558847293,-0.24555197869371692,0.2455521031503604,-0.24555192501041861,0.24555191389980166
89,-0.1546511436691916,0.1546511086623214,-0.15465113126516644,0.15465131935121373,-0.1546511369923455,0.15465111180945715
90,-0.08462280823456382,0.08462271698896728,-0.08462273098459278,0.08462298583141398,-0.0846228093615985,0.08462277370882816
91,-0.04403862073014079,0.04403846440901554,-0.044038472543409646,0.044038792008768035,-0.04403863055877211,0.04403858647800567
92,-0.03526981686894204,0.03526959530230084,-0.03526960047487515,0.03526997538930249,-0.03526983593723243,0.03526978405099614
93,-0.05419581693091519,0.05419553999812776,-0.05419554460197562,0.05419595847170394,-0.05419584465000671,0.054195785173108954
94,-0.09138190077153319,0.09138158771993654,-0.09138159316920846,0.09138202380356131,-0.09138193500666142,0.09138186899325039
95,-0.1344388705069968,0.134438547230339,-0.13443855375322022,0.13443897660391768,-0.13443890782917534,0.1344388378692509
96,-0.1709840044803343,0.17098369931701984,-0.17098370601446228,0.17098409837333095,-0.17098404108492626,0.17098397095189927
97,-0.1914784021778296,0.1914781411713425,-0.19147814628684257,0.19147849116601068,-0.19147843509721585,0.19147836843565522
98,-0.19125849714120444,0.1912582998231016,-0.19125830114567333,0.1912585897820393,-0.19125852518435815,0.1912584638837419
99,-0.171299110288359,0.17129898687584855,-0.17129898219512185,0.17129921459376735,-0.17129913424231924,0.17129907734878724
100,-0.1375837434902301,0.13758369400171994,-0.13758368153654593,0.13758386507324372,-0.13758376546506806,0.1375837092320749
101,-0.09931874336317652,0.09931875866626916,-0.09931873739296498,0.09931888401012984,-0.09931876555802999,0.09931870469181903
102,-0.06650337892129862,0.06650344327035773,-0.06650341309216978,0.06650353592028513,-0.06650340232350604,0.06650333195345794
103,-0.047476825077428314,0.04747691938529447,-0.04747688111694748,0.04747699141455575,-0.04747684857814882,0.047476766233034796
104,-0.046987992604003596,0.04698809760258682,-0.046988052788300316,0.04698815794713007,-0.0469880127837497,0.04698791973994055
105,-0.06513056054881536,0.06513065915039279,-0.06513060977664353,0.06513071281361787,-0.06513057211569706,0.06513047377286807
106,-0.0972517312388159,0.09725180976778425,-0.09725175795895652,0.09725185845810302,-0.09725172793397019,0.09725163318047654
107,-0.13476372604155237,0.13476377444145426,-0.13476372222813882,0.1347638182113628,-0.13476370179320973,0.13476362153805183
108,-0.16668645198996954,0.16668646345530036,-0.16668641267763273,0.1666865025548694,-0.16668640212852043,0.1666863473056403
109,-0.1816908680354437,0.18169083862720348,-0.1816907909825397,0.18169087473542433,-0.1816907903853192,0.18169076982940896
110,-0.1703421841662765,0.17034211279940092,-0.1703420699809225,0.170342149115568,-0.17034207978663707,0.1703420984440832
111,-0.12714949288730812,0.1271493817191795,-0.12714934554755764,0.1271494219558008,-0.1271493662149994,0.12714942412732444
112,-0.05196836652000704,0.05196822141302654,-0.05196819386464402,0.051968268264854345,-0.05196822477077967,0.05196831708701976
113,0.049640518013551044,-0.04964068744077871,0.04964070435492046,-0.049640633534521195,0.049640666085401575,-0.049640548126562475
114,0.16727685144532764,-0.16727703253735515,0.16727703701604857,-0.16727697367771072,0.16727699704418947,-0.1672768645447178
115,0.28763980833710656,-0.2876399869118548,0.2876399776547103,-0.2876399268699643,0.2876399438420505,-0.2876398086357483
116,0.39707069200197226,-0.3970708543137517,0.3970708307736793,-0.3970707968214863,0.39707081146606904,-0.39707068493973835
117,0.4840544773140184,-0.4840546119516987,0.4840545744819395,-0.48405455880607584,0.48405457615290304,-0.4840544686870189
118,0.5410735445111411,-0.5410736437920368,0.5410735936352239,-0.5410735934660951,0.5410736186991465,-0.5410735395903422
119,0.5654265020118172,-0.5654265626831256,0.5654265017565395,-0.5654265099185614,0.5654265473649094,-0.5654265048775677
120,0.558928052045771,-0.5589280753440401,0.5589280058100832,-0.5589280118696083,0.558928064132247,-0.5589280653066308
121,0.5266886232727878,-0.526688614469476,0.5266885381798705,-0.5266885306906905,0.5266885981692572,-0.5266886481709705
122,0.4753709171774594,-0.4753708846556851,0.475370802697398,-0.47537077197278244,0.4753708528468467,-0.4753709538924928
123,0.41141326776889947,-0.41141322158006693,0.4114131342281985,-0.4114130749037007,0.4114131655040657,-0.41141331564257455
124,0.3396937568777406,-0.33969370679021554,0.3396936140746124,-0.33969352678761544,0.3396936221910305,-0.3396938143757547
125,0.262982656450507,-0.2629826097706121,0.2629825125712,-0.26298240435687154,0.26298249901329185,-0.2629827209075219
126,0.18230391710861613,-0.18230387687996863,0.18230377811554754,-0.18230366149306843,0.18230374972854718,-0.18230398452417662
127,0.09804438623749256,-0.09804435055331057,0.09804425584248272,-0.09804414687951812,0.09804422320770173,-0.09804445144050591
128,0.011397960115663837,-0.0113979230317246,0.011397840341173304,-0.011397756127342784,0.011397815421173796,-0.011398017440406971
129,-0.074393731883531,0.0743937779299002,-0.07439383970839625,0.07439388376875555,-0.07439384610295019,0.07439368756820901
130,-0.15348775738119588,0.15348781839826897,-0.1534878515054836,0.1534878442463362,-0.15348783194796456,0.15348772968517213
131,-0.2178410815085242,0.2178411591765962,-0.21784115894829859,0.21784109552488995,-0.21784111096774733,0.21784107199064562
132,-0.2585395619343474,0.2585396523181539,-0.2585396183775145,0.25853950151111615,-0.2585395451090766,0.25853957022953733
133,-0.2677556898425516,0.26775578416243906,-0.26775572051293495,0.2677555605017464,-0.2677556302490076,0.2677557143302702
134,-0.24086019181456572,0.24086027910627383,-0.24086019322747693,0.24086000645524974,-0.24086009781903517,0.2408602304824277
135,-0.17816085117607347,0.17816092198725597,-0.1781608233452045,0.17816062935390953,-0.1781607356279633,0.1781609023038086
136,-0.08580773790827187,0.08580778779492293,-0.08580768626476365,0.08580750391690001,-0.08580761698744555,0.0858078003537658
137,0.024433464745698713,-0.024433433133813687,0.024433528544922478,-0.024433684892397056,0.024433573542177345,-0.024433391657962742
138,0.13660694900860032,-0.13660692603647395,0.1366070079870344,-0.13660713123700824,0.136607029504617,-0.13660686584547924
139,0.2329977364130008,-0.23299770783529677,0.2329977709985347,-0.23299786216091556,0.2329977764742428,-0.2329976440561276
140,0.29714032012180885,-0.2971402710177889,0.29714031215737857,-0.29714037900232587,0.29714031375590294,-0.2971402201257956
141,0.3168251511417441,-0.31682507013208644,0.31682508812156635,-0.31682514204932205,0.31682509935947356,-0.31682504594887934
142,0.28649021265665475,-0.2864900950062644,0.2864900909379275,-0.28649014307087484,0.2864901228176847,-0.2864901056064836
143,0.2084764520540777,-0.20847630069327894,0.20847627806780145,-0.2084763358282442,0.2084763359148034,-0.20847634713691165
144,0.09282305461996404,-0.09282287893693042,0.09282284376500516,-0.09282290900205215,0.09282292574790163,-0.09282295598257116
145,-0.0444458426864029,0.04444602957977656,-0.04444606900016618,0.04444599987027292,-0.044445971280635654,0.044445931358635185
146,-0.1842702977482454,0.18427048209603003,-0.18427051588128462,0.18427045002201764,-0.18427041509781927,0.1842703737462801
147,-0.30815390945906523,0.3081540792082335,-0.30815409702651453,0.30815404252928663,-0.30815400707075014,0.3081539712470863
148,-0.4016096796287176,0.40160982554125907,-0.4016098179451245,0.4016097814977098,-0.40160975121910275,0.40160972666686917
149,-0.45662634016904924,0.45662645588980066,-0.4566264155320833,0.4566264012471731,-0.45662638136776185,0.45662637252786603
150,-0.4725610463129776,0.47256112800606953,-0.4725610505220563,0.4725610601515493,-0.4725610548808172,0.47256106437184925
151,-0.45530868991063633,0.4553087360549273,-0.4553086205774902,0.4553086546820596,-0.4553086665703583,0.4553086943553429
152,-0.41510276482744546,0.41510277640700066,-0.4151026258098951,0.41510268505534986,-0.4151027142878474,0.4151027569243484
153,-0.36366902102244986,0.3636690019521982,-0.36366882289026153,0.36366890866158696,-0.36366895249513986,0.3636690029246216
154,-0.31154116816454736,0.3115411255988094,-0.31154092826097857,0.31154104217757295,-0.3115410947790102,0.3115411429713871
155,-0.26615415867080233,0.26615410290051755,-0.2661539002579576,0.2661540427262902,-0.26615409561059256,0.2661541301431583
156,-0.23098242738515626,0.230982371206235,-0.23098217758044254,0.23098234596901424,-0.23098238906738033,0.23098239946330248
157,-0.20566101275333323,0.20566097032270264,-0.20566079935785658,0.20566098654039716,-0.2056610097285963,0.2056609891336515
158,-0.18683301761135984,0.1868330028518269,-0.18683286532569643,0.18683305918967075,-0.18683305396878735,0.18683300152775212
159,-0.16941782523804375,0.16941784989008324,-0.16941775201489062,0.1694179361971756,-0.16941789718897438,0.16941781937711722
160,-0.14802537104732524,0.1480254425893769,-0.14802538536936877,0.14802554113433625,-0.14802546711442943,0.1480253774088628
161,-0.11828342516883808,0.11828354501753402,-0.11828352485247584,0.11828363378806672,-0.11828352808122661,0.11828344478159511
