step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8
0,1.0,-1.0,1.0,-1.0,1.0,-1.0
1,0.9604311616717031,-0.9604311616717035,0.9604311616717033,-0.9604311616717035,0.9604311616717034,-0.9604311616717037
2,0.8479248868284888,-0.8479248868275254,0.8479248868285025,-0.8479248868294877,0.847924886828513,-0.847924886827512
3,0.6797557473987622,-0.6797557473915653,0.6797557473990082,-0.6797557474064636,0.6797557473990226,-0.6797557473913202
4,0.48065440860525255,-0.480654408577621,0.48065440860674863,-0.4806544086357939,0.48065440860660336,-0.48065440857612773
5,0.2778528388375746,-0.2778528387637337,0.2778528388430912,-0.2778528389218917,0.27785283884212514,-0.27785283875822636
6,0.09602514617219687,-0.09602514601703849,0.09602514618727287,-0.09602514635564474,0.09602514618380897,-0.09602514600197656
7,-0.04674229603024881,0.046742296303495634,-0.04674229599675367,0.0467422956946274,-0.04674229600603963,0.04674229633696525
8,-0.14120544176427807,0.1412054421831188,-0.1412054417005476,0.14120544122743,-0.14120544172112903,0.14120544224682993
9,-0.18720711967432485,0.18720712024728403,-0.1872071195670929,0.1872071189038702,-0.18720711960663172,0.18720712035449588
10,-0.19215032831715145,0.19215032902963503,-0.19215032815431743,0.19215032730645742,-0.19215032822189843,0.1921503291924505
11,-0.16827308580211964,0.16827308662028184,-0.16827308557600634,0.1682730845724481,-0.16827308568038024,0.16827308684637637
12,-0.12945654672040396,0.1294565476020868,-0.12945654643100013,0.12945654531573858,-0.12945654657805827,0.12945654789146557
13,-0.0882889210170298,0.08828892192602394,-0.08828892067453531,0.08828891949410406,-0.08828892086453632,0.08828892226848978
14,-0.053956852034445855,0.053956852952997014,-0.053956851660399485,0.053956850451813976,-0.053956851885749946,0.053956853327019196
15,-0.03128320305916989,0.0312832039945653,-0.031283202685725875,0.031283201468944866,-0.03128320293014336,0.03128320436799081
16,-0.02093318746115716,0.020933188444454798,-0.020933187128265418,0.02093318590497323,-0.020933187367818074,0.02093318877733191
17,-0.020540861379877713,0.020540862457503917,-0.020540861130607657,0.020540859888884377,-0.020540861336659944,0.02054086270676217
18,-0.026330843387295987,0.02633084460792734,-0.026330843261784642,0.026330841984469666,-0.02633084340538988,0.026330844733432387
19,-0.03476060915507011,0.034760610555029325,-0.03476060918406387,0.03476060785824303,-0.03476060924097829,0.03476061052602916
20,-0.04377881067761182,0.04377881226789426,-0.043778810876743346,0.04377880950205015,-0.04377881083205415,0.04377881206875782
21,-0.0534436633549144,0.05344366511267373,-0.05344366372087228,0.053443662314865414,-0.053443663572346756,0.05344366474670857
22,-0.06582193311402457,0.06582193498086769,-0.0658219336235184,0.06582193222274069,-0.06582193338295111,0.06582193447136894
23,-0.08425380576531248,0.0842538076540339,-0.08425380637726698,0.0842538050329642,-0.0842538060695136,0.08425380704206699
24,-0.11219924076751848,0.11219924257711328,-0.11219924142831433,0.1121992401967628,-0.11219924108796286,0.11219924191631031
25,-0.1519652540051139,0.15196525564132313,-0.15196525465597555,0.15196525358519986,-0.15196525432215702,0.1519652549904683
26,-0.20364158862953677,0.20364159002560867,-0.2036415892148689,0.2036415883314754,-0.20364158892498735,0.20364158944029626
27,-0.26453638853582306,0.26453638966673654,-0.2645363890109297,0.26453638831212944,-0.2645363887945671,0.2645363891916455
28,-0.3293021316360651,0.32930213252088164,-0.32930213197294717,0.3293021314279443,-0.3293021318472088,0.3293021321840168
29,-0.39078598245907237,0.39078598314988955,-0.390785982649318,0.3907859822110037,-0.39078598261648206,0.3907859829596635
30,-0.4414539341538085,0.44145393471504785,-0.44145393420831197,0.4414539338318949,-0.4414539342562727,0.4414539346605667
31,-0.4750650014595062,0.4750650019452858,-0.47506500140527474,0.47506500106692606,-0.475065001510549,0.47506500199954516
32,-0.48816007439058884,0.4881600748289222,-0.4881600742655309,0.4881600739732611,-0.48816007439783093,0.4881600749540137
33,-0.48092764759464623,0.48092764798416854,-0.48092764744138683,0.48092764723327563,-0.4809276475686909,0.4809276481374658
34,-0.45714182445014984,0.4571418247696513,-0.45714182430994665,0.45714182424003313,-0.45714182440296,0.45714182490988403
35,-0.42311977011546903,0.4231197703409999,-0.4231197700230798,0.4231197701404585,-0.42311977005845564,0.4231197704333984
36,-0.3859463979071429,0.3859463980286324,-0.3859463978870797,0.3859463982165038,-0.3859463978493851,0.3859463980486876
37,-0.3514582921927678,0.35145829222301583,-0.35145829225704456,0.3514582927883043,-0.35145829213970914,0.351458292158702
38,-0.3225697557180677,0.32256975569105717,-0.3225697558654308,0.32256975655473785,-0.3225697556711651,0.32256975554363415
39,-0.29842186899145845,0.29842186895189726,-0.2984218692079833,0.29842186998933107,-0.2984218689486857,0.29842186873531173
40,-0.27458196594223033,0.27458196593158307,-0.27458196620321007,0.2745819670043147,-0.2745819658992368,0.2745819656705539
41,-0.24421800487216777,0.24421800491714074,-0.24421800514536618,0.24421800590199688,-0.24421800482373557,0.24421800464392757
42,-0.199928817630363,0.19992881773767518,-0.19992881788047479,0.19992881854507738,-0.19992881757169373,0.19992881748758654
43,-0.13578969978075467,0.13578969993885842,-0.13578969997482998,0.13578970051860062,-0.13578969970841798,0.13578969974483202
44,-0.0491707044448834,0.049170704630667195,-0.04917070455802164,0.049170704968315215,-0.04917070435745696,0.04917070451759268
45,0.05804150875957064,-0.05804150857209189,0.05804150873909075,-0.058041508463355096,0.05804150886109993,-0.05804150859249719
46,0.17907991322797587,-0.1790799130595752,0.17907991329523565,-0.17907991314793986,0.17907991333982842,-0.17907991299223
47,0.30292300646191656,-0.30292300632224345,0.3029230065943958,-0.3029230065655012,0.30292300657720794,-0.30292300618969664
48,0.41587821581573436,-0.41587821570041383,0.4158782159752773,-0.41587821605289843,0.41587821592433843,-0.4158782155408205
49,0.5038925681276695,-0.5038925680190969,0.5038925682653914,-0.5038925684365108,0.5038925682166349,-0.5038925678813588
