step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8
0,1.0,-1.0,1.0,-1.0,1.0,-1.0
1,0.9604311616717031,-0.960431161671704,0.9604311616717036,-0.9604311616717034,0.9604311616717043,-0.9604311616717047
2,0.8479248868285092,-0.8479248868285257,0.8479248868285283,-0.8479248868295056,0.8479248868295081,-0.8479248868285132
3,0.6797557474009683,-0.6797557474012238,0.6797557474012255,-0.6797557474086294,0.6797557474086336,-0.679755747400979
4,0.48065440861806685,-0.4806544086195707,0.4806544086195795,-0.48065440864842046,0.48065440864837494,-0.48065440861809705
5,0.2778528388811658,-0.2778528388866856,0.2778528388866968,-0.27785283896495117,0.27785283896454716,-0.27785283888119017
6,0.09602514628406349,-0.09602514629911019,0.09602514629915848,-0.09602514646639121,0.09602514646478616,-0.09602514628411642
7,-0.046742295791674784,0.046742295758285146,-0.046742295758181895,0.04674229545807829,-0.04674229546278108,0.0467422957915979
8,-0.14120544132049023,0.14120544125697432,-0.14120544125680634,0.14120544078683128,-0.14120544079800235,0.14120544132036986
9,-0.1872071189341242,0.1872071188272152,-0.18720711882703922,0.1872071181682523,-0.18720711819084168,0.18720711893400477
10,-0.19215032719097172,0.19215032702860413,-0.19215032702842233,0.19215032618629896,-0.192150326226395,0.19215032719085465
11,-0.1682730842220724,0.16827308399659685,-0.16827308399641383,0.16827308299976135,-0.168273083063331,0.16827308422196172
12,-0.12945654466181905,0.1294565443732233,-0.12945654437305226,0.12945654326563272,-0.1294565433566941,0.12945654466171147
13,-0.08828891851597194,0.0882889181744122,-0.088288918174255,0.08828891700234426,-0.08828891712103065,0.08828891851586951
14,-0.05395684919542138,0.05395684882237567,-0.053956848822233616,0.053956847622634196,-0.053956847763628024,0.05395684919531977
15,-0.03128320004925846,0.031283199676791995,-0.031283199676666484,0.0312831984691706,-0.03128319862114487,0.03128320004916094
16,-0.02093318448985759,0.020933184157828966,-0.020933184157720497,0.02093318294393509,-0.020933183090204366,0.02093318448976689
17,-0.0205408586679543,0.02054085841932557,-0.020540858419225372,0.02054085718720472,-0.020540857307759175,0.020540858667868492
18,-0.026330841130453007,0.02633084100526123,-0.02633084100516586,0.026330839737750134,-0.026330839812315876,0.026330841130374674
19,-0.03476060749045736,0.03476060751937554,-0.034760607519284115,0.03476060620352206,-0.034760606215231526,0.034760607490377605
20,-0.043778809660323735,0.0437788098589601,-0.04377880985887339,0.043778808494296495,-0.04377880843327259,0.04377880966025109
21,-0.05344366294988983,0.053443663314944545,-0.053443663314867496,0.05344366191884081,-0.05344366178482102,0.05344366294983446
22,-0.06582193320533374,0.06582193371357659,-0.06582193371351497,0.06582193232230216,-0.06582193212562232,0.06582193320530078
23,-0.08425380618134896,0.08425380679181882,-0.08425380679179428,0.08425380545628913,-0.08425380521665454,0.08425380618136226
24,-0.11219924131710741,0.11219924197630116,-0.11219924197630587,0.11219924075247867,-0.1121992404955125,0.11219924131715507
25,-0.15196525451685194,0.15196525516613912,-0.15196525516617598,0.15196525410182793,-0.1519652538540427,0.15196525451693613
26,-0.20364158898580167,0.20364158956973555,-0.20364158956978856,0.2036415886914969,-0.20364158847479885,0.20364158898590845
27,-0.26453638869354196,0.2645363891675356,-0.2645363891675972,0.26453638847280764,-0.2645363882998626,0.26453638869365353
28,-0.32930213162934835,0.3293021319654673,-0.32930213196554503,0.32930213142388043,-0.3293021312955149,0.32930213162946687
29,-0.390785982383352,0.39078598257318964,-0.3907859825732872,0.3907859821381578,-0.39078598204328024,0.3907859823834824
30,-0.44145393413623074,0.4414539341906527,-0.4414539341907696,0.44145393381780096,-0.4414539337356119,0.44145393413636114
31,-0.4750650016244027,0.47506500157034,-0.4750650015704792,0.4750650012360559,-0.47506500113986905,0.4750650016245457
32,-0.48816007483005064,0.48816007470531353,-0.48816007470547074,0.4881600744175113,-0.4881600742790103,0.48816007483020935
33,-0.48092764835220464,0.48092764819931433,-0.4809276481994704,0.48092764799567855,-0.4809276477888338,0.48092764835238394
34,-0.4571418255208325,0.457141825380966,-0.45714182538113013,0.45714182531499314,-0.4571418250190127,0.45714182552106053
35,-0.42311977145933394,0.42311977136716356,-0.42311977136733736,0.4231197714873901,-0.4231197710885455,0.4231197714595712
36,-0.3859463994691619,0.3859463994491491,-0.3859463994493237,0.38594639977992984,-0.385946399272626,0.3859463994694037
37,-0.35145829392068867,0.35145829398481565,-0.35145829398498607,0.3514582945157692,-0.35145829390280625,0.35145829392088174
38,-0.3225697575720852,0.3225697577191027,-0.3225697577192649,0.3225697584065477,-0.3225697576991534,0.322569757572229
39,-0.29842187094419775,0.29842187116019636,-0.298421871160361,0.29842187193847625,-0.2984218711558792,0.29842187094431183
40,-0.27458196797180495,0.27458196823213193,-0.27458196823229686,0.274581969029393,-0.2745819681979874,0.2745819679718953
41,-0.24421800695366921,0.24421800722616027,-0.24421800722631865,0.2442180079786258,-0.2442180071306586,0.24421800695376156
42,-0.1999288197307484,0.1999288199801874,-0.19992881998035228,0.19992882064076078,-0.19992881981215677,0.19992881973082458
43,-0.13578970185965147,0.13578970205319107,-0.1357897020533354,0.13578970259340856,-0.1357897018210198,0.13578970185970565
44,-0.049170706460763505,0.04917070657357053,-0.04917070657365963,0.049170706981052525,-0.04917070629913356,0.049170706460764026
45,0.058041506840254053,-0.05804150681987974,0.05804150681983711,-0.058041506546057,0.058041507109505064,-0.05804150684029969
46,0.1790799114221976,-0.17907991148934244,0.17907991148934654,-0.1790799113429849,0.17907991176957683,-0.17907991142228805
47,0.30292300476480816,-0.30292300489697993,0.3029230048970285,-0.3029230048680839,0.3029230051513757,-0.3029230047649871
48,0.41587821420017823,-0.4158782143593241,0.41587821435939426,-0.4158782144360744,0.4158782145821087,-0.4158782142003377
49,0.5038925665492967,-0.5038925666866494,0.5038925666867267,-0.503892566856174,0.5038925668825651,-0.5038925665494202
50,0.5551642313565124,-0.5551642314196819,0.5551642314197758,-0.5551642316667885,0.5551642315998104,-0.5551642313566034
51,0.5625033933578254,-0.5625033932989256,0.5625033932990261,-0.5625033936022702,0.5625033934728827,-0.5625033933578856
52,0.5249022976632419,-0.5249022974467134,0.5249022974468134,-0.5249022977731908,0.5249022976126085,-0.5249022976632881
53,0.44794183963668077,-0.4479418392453537,0.44794183924545117,-0.4479418395449282,0.44794183938062127,-0.4479418396367206
54,0.3429408391725421,-0.34294083861096175,0.3429408386110519,-0.34294083881592635,0.3429408386686017,-0.3429408391725665
55,0.2250532437139072,-0.22505324300830087,0.22505324300839258,-0.2250532430403296,0.22505324292235274,-0.22505324371395097
56,0.11074414087892351,-0.11074414007381495,0.1107441400739626,-0.11074413986000708,0.11074413977528219,-0.1107441408790614
57,0.015171389884601885,-0.015171389036759575,0.015171389036961247,-0.015171388531256935,0.015171388476351133,-0.015171389884779533
58,-0.05003719038080757,0.050037191210036136,-0.05003719120979938,0.05003719200546908,-0.05003719203906892,0.050037190380607485
59,-0.07825365493380149,0.07825365568684095,-0.07825365568658094,0.0782536567114383,-0.07825365673465112,0.07825365493359894
60,-0.0683873748857491,0.06838737551626278,-0.06838737551598367,0.06838737665417488,-0.06838737667762335,0.06838737488556339
61,-0.024493196980114533,0.024493197458824945,-0.024493197458540172,0.024493198559286444,-0.024493198591198473,0.024493196979967477
62,0.04538531826201586,-0.04538531794421313,0.04538531794448536,-0.045385317035225914,0.045385316990144475,-0.04538531826212977
63,0.1308510571629004,-0.1308510569949311,0.13085105699517363,-0.1308510564006789,0.13085105634114774,-0.13085105716298823
64,0.22091559375396033,-0.22091559370782676,0.22091559370807096,-0.22091559349399292,0.22091559342099676,-0.22091559375405603
65,0.3055472112685849,-0.30554721130534634,0.3055472113055592,-0.3055472114670707,0.3055472113820725,-0.3055472112686806
66,0.3767527927773431,-0.37675279285470414,0.37675279285488067,-0.3767527933196333,0.3767527932226439,-0.37675279277743057
67,0.42908895544140274,-0.4290889555214164,0.4290889555215334,-0.4290889561655217,0.4290889560536383,-0.42908895544145303
68,0.4596547612551162,-0.4596547613103194,0.45965476131039806,-0.4596547619813219,0.45965476184813964,-0.45965476125513594
69,0.46772812842587974,-0.4677281284425342,0.4677281284425824,-0.4677281289852616,0.46772812882142745,-0.4677281284258656
70,0.4542347904175924,-0.4542347903955436,0.4542347903955915,-0.4542347906756481,0.454234790470437,-0.4542347904175629
71,0.4211896847424667,-0.42118968469208495,0.4211896846921503,-0.42118968461593154,0.4211896843595322,-0.4211896847424565
72,0.3711741831167509,-0.3711741830540617,0.37117418305418076,-0.3711741825836944,0.3711741822697598,-0.3711741831168017
73,0.3068676063830739,-0.3068676063246253,0.3068676063248196,-0.30686760548616704,0.3068676051141008,-0.306867606383202
74,0.2306676166359666,-0.2306676165948574,0.23066761659512836,-0.23066761547823023,0.23066761505480826,-0.2306676166361763
75,0.14448861699475243,-0.14448861697847704,0.14448861697884102,-0.14448861572712535,0.14448861526705514,-0.1444886169950538
76,0.04985801681435978,-0.04985801682445862,0.04985801682488905,-0.049858015615528994,0.04985801514086596,-0.04985801681473326
77,-0.051621279430498684,0.051621279397509046,-0.05162127939703781,0.05162128037922192,-0.05162128084061901,0.05162127943006301
78,-0.15751649191353,0.15751649186482714,-0.15751649186434247,0.15751649245385102,-0.1575164928706949,0.15751649191306327
79,-0.26377028766085403,0.26377028760612514,-0.2637702876056511,0.2637702876786888,-0.26377028801905905,0.2637702876603605
80,-0.36423364594153806,0.36423364589206353,-0.36423364589164003,0.3642336453803446,-0.3642336456148446,0.364233645941107
81,-0.45086874979625474,0.45086874976380104,-0.4508687497634516,0.4508687486617481,-0.45086874876651484,0.4508687497959239
82,-0.5147796649822898,0.5147796649774545,-0.5147796649771917,0.5147796633403262,-0.514779663299818,0.5147796649820743
83,-0.5479427251399478,0.5479427251694181,-0.5479427251692451,0.5479427231099443,-0.547942722919111,0.5479427251398407
84,-0.5452288609283753,0.5452288609914039,-0.5452288609913079,0.5452288586739285,-0.545228858339472,0.5452288609283639
85,-0.5061441602392044,0.5061441603240401,-0.5061441603239967,0.506144157955803,-0.5061441574961079,0.5061441602392738
86,-0.4357271630239614,0.435727163105614,-0.43572716310560733,0.4357271609229983,-0.4357271603666718,0.4357271630240831
87,-0.3442332331523036,0.34423323319288146,-0.34423323319290683,0.3442332314406832,-0.3442332308238815,0.3442332331524643
88,-0.24555191466519888,0.2455519146177696,-0.24555191461781223,0.24555191352179667,-0.24555191288466272,0.2455519146653905
89,-0.1546510900420338,0.15465108985777987,-0.15465108985782494,0.15465108959442564,-0.15465108897716828,0.15465109004222666
90,-0.08462272540141152,0.08462272503907092,-0.08462272503911139,0.084622725706892,-0.08462272514604913,0.08462272540159428
91,-0.04403851158882503,0.044038511024472815,-0.04403851102450185,0.04403851262382047,-0.04403851214893795,0.04403851158898557
92,-0.035269687074069585,0.03526968630901567,-0.035269686309018944,0.035269688733766125,-0.035269688364687135,0.03526968707419873
93,-0.054195674634692596,0.05419567369947503,-0.054195673699443,0.05419567674259845,-0.0541956764874873,0.054195674634782684
94,-0.09138175602158725,0.09138175497488887,-0.09138175497480949,0.09138175834728635,-0.09138175820151945,0.09138175602162103
95,-0.13443873425925748,0.13443873318150362,-0.13443873318138433,0.13443873654187,-0.13443873648826932,0.13443873425925273
96,-0.1709838872545079,0.1709838862371793,-0.17098388623702226,0.17098388922955482,-0.17098388924017338,0.17098388725445487
97,-0.19147831251889968,0.1914783116513506,-0.1914783116511724,0.19147831394665388,-0.1914783139864229,0.19147831251881806
98,-0.19125844020415184,0.1912584395602549,-0.19125843956006944,0.19125844089656047,-0.19125844092842786,0.19125844020403546
99,-0.17129908694188897,0.1712990865688636,-0.17129908656868442,0.171299086784928,-0.17129908677577504,0.171299086941757
100,-0.13758375026191091,0.13758375017319996,-0.1375837501730418,0.13758374922932598,-0.13758374915547866,0.1375837502617581
101,-0.09931877331510737,0.09931877348861423,-0.09931877348848916,0.09931877147063906,-0.0993187713218664,0.09931877331494751
102,-0.06650342323842091,0.0665034236202976,-0.06650342362020784,0.06650342072558657,-0.06650342050658781,0.06650342323826888
103,-0.04747687489913748,0.047476875412501174,-0.047476875412432284,0.04747687192072236,-0.04747687164977166,0.04747687489900622
104,-0.0469880405518146,0.04698804110881033,-0.0469880411087602,0.04698803734377366,-0.04698803704869403,0.04698804055169118
105,-0.06513060153534801,0.06513060205049681,-0.06513060205045285,0.06513059834073476,-0.06513059805323251,0.06513060153522633
106,-0.09725176243191944,0.0972517628344623,-0.09725176283441861,0.09725175947929021,-0.09725175922860746,0.09725176243180972
107,-0.1347637461784294,0.13476374642165034,-0.13476374642161099,0.13476374366654476,-0.13476374347393882,0.13476374617832448
108,-0.1666864604582849,0.16668646052435082,-0.1666864605243319,0.16668645854614794,-0.16668645842137064,0.166686460458171
109,-0.18169086417472188,0.18169086407477059,-0.18169086407476343,0.18169086297475034,-0.18169086291533842,0.18169086417463542
110,-0.17034216709323025,0.1703421668626406,-0.1703421668626457,0.17034216666519786,-0.1703421666584788,0.1703421670931882
111,-0.12714946188768544,0.12714946157806517,-0.1271494615780952,0.12714946223336077,-0.12714946226066692,0.12714946188770512
112,-0.051968321798807504,0.05196832146838781,-0.051968321468422396,0.051968322859188676,-0.05196832290104125,0.051968321798868344
113,0.04964057456753184,-0.049640574863391684,0.04964057486336326,-0.04964057290947199,0.049640572868645094,-0.04964057456744021
114,0.16727691580701534,-0.1672769160235671,0.1672769160235419,-0.1672769137158674,0.16727691368462205,-0.16727691580690965
115,0.28763987439229055,-0.2876398745002783,0.28763987450026607,-0.2876398720618659,0.28763987204080965,-0.2876398743921741
116,0.39707075210450893,-0.3970707520919322,0.3970707520919342,-0.39707074973394396,0.39707074971684564,-0.3970707521043867
117,0.4840545232269138,-0.48405452309805874,0.484054523098051,-0.484054520995465,0.4840545209716963,-0.48405452322678383
118,0.5410735685391286,-0.541073568311474,0.5410735683114785,-0.5410735665838348,0.5410735665412183,-0.5410735685390113
119,0.5654264981214999,-0.5654264978219923,0.5654264978219647,-0.5654264965214926,0.5654264964487591,-0.5654264981214082
120,0.5589280167772176,-0.5589280164380844,0.5589280164380048,-0.5589280155464531,0.5589280154347416,-0.5589280167771179
121,0.5266885562610256,-0.5266885559160663,0.5266885559159384,-0.5266885553505058,0.5266885551940925,-0.5266885562609138
122,0.47537082114532137,-0.4753708208264417,0.4753708208262819,-0.47537082045477874,0.47537082025115707,-0.47537082114521767
