step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site20,Z_site25
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
1,0.9801164923785005,-0.9604314038952385,0.9604314023450824,-0.9604314023473894,0.9604314023443115,-0.9604314023474235,-0.9604314023474732,0.9801164930015208
2,0.9221957797687794,-0.8479341954246028,0.8479093848253476,-0.847930029539234,0.8479206706303116,-0.8479616390556362,-0.8479196546427005,0.9221959872016937
3,0.8313560941741793,-0.6797168279035197,0.679881462981304,-0.680120297941242,0.6796134550855346,-0.6798089882697169,-0.6794759824070447,0.8313552325571458
4,0.7158383768537833,-0.4805490700222829,0.4806389125841157,-0.48104744158620416,0.48032558197598463,-0.48065466240868876,-0.4802311024424534,0.7158360563172772
5,0.585975043108733,-0.2776181085437053,0.27767377519249103,-0.27827398023162103,0.2773365436997175,-0.277796234619889,-0.277385487272961,0.585982830180015
6,0.45325358320446857,-0.09557636844977507,0.09578650268428623,-0.09650323613028622,0.0954086349446352,-0.09600417871452632,-0.09563025559922123,0.4532688560596858
7,0.32888053918583393,0.047520649688330585,-0.046632187936437364,0.04592721959247925,-0.04703285887222318,0.04638700844105224,0.04669598808498088,0.3289051765281745
8,0.22221865621630998,0.1424160010784289,-0.13989560333319134,0.1393995035703296,-0.14030720973131136,0.1397684136205262,0.13998892417023295,0.22224976833656926
9,0.13969627657258807,0.18889392034509583,-0.18320411561851974,0.1831685061420959,-0.18375773290960726,0.1834429704108138,0.1835560717568787,0.13972883447548762
10,0.08407163224682922,0.19418704934742986,-0.1832212593056456,0.18394167144232482,-0.18415275379646934,0.18406135397286186,0.18413325719770612,0.08411872314412727
