step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site20,Z_site25
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
1,0.9801164923785007,-0.9604314038952395,0.9604314023450828,-0.9604314023473892,0.9604314023443106,-0.9604314023474225,-0.9604314023474734,0.9801164930015197
2,0.9221114959952043,-0.8479163491368871,0.8479016764540256,-0.8479177412683022,0.8479029258867314,-0.8479171071760331,-0.8479176872189634,0.9221145108778452
3,0.8312354693023497,-0.6797470362098109,0.6796607437527873,-0.6797375444745191,0.6796661739038992,-0.679738059802425,-0.6797279766325061,0.8312985736073446
4,0.7156715822764281,-0.48059856130683204,0.48039758818056666,-0.48059359083318415,0.4804101006170487,-0.48059595580089537,-0.48058400415763813,0.7158139759057887
5,0.5857517081960533,-0.2777263618058332,0.277416761988615,-0.2777657348831083,0.2774430595186931,-0.27776962790640247,-0.2777341324728325,0.5860040250589804
6,0.45298491925562895,-0.09578403245902284,0.09553246884768946,-0.09600237035073333,0.0955858348778556,-0.09602118335797527,-0.09597010090435515,0.4533290578224188
7,0.3285596279609084,0.04719559396262968,-0.04688948960806433,0.046391909625322025,-0.046793714655802066,0.04634873801220585,0.04642917949132315,0.3289898005169599
8,0.22183606354331695,0.14209748352270635,-0.14015671388578865,0.13983090758604677,-0.14003641525899146,0.13970430062588468,0.13982651697382953,0.22234168465386556
9,0.1393040362970024,0.1885492031081593,-0.1835038819760611,0.1835250074359916,-0.18346159686407593,0.18335742870095517,0.1835150535293128,0.1398056400609427
10,0.08363947220623155,0.1939260269675302,-0.1834769479578175,0.18427462778494558,-0.18387151431773952,0.18399159771457232,0.18421459928927114,0.08417278439978673
