step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site20,Z_site25
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
1,0.9801753855029868,-0.9604329925509152,0.960432992104228,-0.9604329921132665,0.9604329921056524,-0.9604329921087985,-0.9604329920972821,0.9801751634592758
2,0.9224344121024705,-0.8479332416442069,0.8479135976231951,-0.8479304064131583,0.8479162956761245,-0.8479307370471456,-0.8479329785312304,0.9224574679026213
3,0.831842356722893,-0.6797258551635861,0.6796371252411935,-0.6797092480449355,0.6796381283628058,-0.6797099735803684,-0.6797131439973525,0.8318972538930479
4,0.7165824224497246,-0.4805355618120942,0.4803199142666373,-0.4804958476953875,0.48031212058189554,-0.48049617549392853,-0.48050109750680314,0.7166396647227288
5,0.5870638330899155,-0.277582384039465,0.2772478073787425,-0.27754578590490053,0.27722295752059184,-0.2775447556077869,-0.2775434385406355,0.5870393828629945
6,0.45464055696724354,-0.09551790064631305,0.09527245670484835,-0.09564188185791314,0.09522567899810151,-0.09564296721792742,-0.09564112659165758,0.45444530731111143
7,0.33049825274314504,0.047571347768832706,-0.04717268551394793,0.0468520877350867,-0.04724286922147264,0.046843281456748154,0.046844173421406565,0.33007297380238504
8,0.22401904502708322,0.1424155642772028,-0.14034461202697374,0.1402366682107521,-0.14044704789369813,0.14020654035265456,0.14022776892705396,0.2233714231607834
9,0.1415293370102405,0.18877181518020958,-0.1834761411101204,0.18379089667974746,-0.18369705933371513,0.18371663289707157,0.18379845234740144,0.14078631000509442
10,0.08586220457749649,0.19388391647026038,-0.18321697639038986,0.18422864941975847,-0.18379424587003487,0.18409019074918176,0.18425153317855592,0.08509158445414873
