step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site20,Z_site25
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
1,0.9801751622459178,-0.9604328736705051,0.9604329950703836,-0.9604329941579139,0.960432994157151,-0.960432994160245,-0.960432994148696,0.9801751630656055
2,0.9224243784479872,-0.847929044457141,0.8479087203279837,-0.8479238328784585,0.8479094807489408,-0.8479236708488146,-0.847923003561919,0.9224224025280705
3,0.8318808088825889,-0.6797523590514427,0.6796511498543002,-0.6797195971341277,0.6796476061755066,-0.679719269129872,-0.6797186114953071,0.8318802891098107
4,0.7167115031643536,-0.4806379167607616,0.480389498417213,-0.48056219988885057,0.48037799598105935,-0.4805621057339904,-0.4805614173154579,0.7167159796957745
5,0.587302087832781,-0.27777857078839635,0.27737947564609783,-0.2776774378162305,0.27735724698425357,-0.27767939414009074,-0.27767720604376267,0.5873067213675207
6,0.4549514347193297,-0.09580641638958554,0.09546122943273838,-0.09583940277132401,0.09543127832038611,-0.09584932049507755,-0.09583993306107591,0.45496239553098444
7,0.33086370389789593,0.04722078069683444,-0.04695669396234731,0.046603779888972754,-0.04697669155427948,0.04657455546218518,0.046602241647154034,0.330884598050421
8,0.22438645089484813,0.14206078660977256,-0.14014819225965802,0.13994475890398067,-0.14012372127464337,0.13987566709144977,0.13994957332491037,0.22442066424206672
9,0.14183963667731944,0.18847599787737002,-0.18332510456181927,0.18342552573372428,-0.1832863375495971,0.1833057400596011,0.18343440932161023,0.1418882722977159
10,0.08600049810621849,0.19369917731857295,-0.18314794804840673,0.18380455705405208,-0.18330028100817863,0.1836031864378591,0.18381848837602469,0.08606268582558287
