step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site12
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
1,0.9801163698825158,-0.9604311616717031,0.9604311616717007,-0.9604311616717008,0.9604311616717013,-0.9604311616717015,-0.9801163698825165
2,0.9039855707875385,-0.8479329638253985,0.8479186771294587,-0.8479329167118502,0.8479186770226813,-0.8479329166038309,-0.9039928391772207
3,0.7646241338758797,-0.6797962572590562,0.6797251622981719,-0.6797964870384963,0.6797251594439515,-0.679796486085293,-0.7646673121574069
4,0.5836277543113945,-0.48075802413383073,0.4805817802857735,-0.48076437447529485,0.4805816674997562,-0.4807644607868075,-0.5837537942941667
5,0.3869195525629284,-0.27803645282238487,0.27775946216460834,-0.2780768634120431,0.27775834334497507,-0.2780779126259879,-0.3871635681888995
6,0.19981749471558033,-0.09629118221035454,0.09604140164426272,-0.09644723956685969,0.0960352193746557,-0.09645343754958358,-0.20016582018108287
7,0.04277682106236055,0.04634869690405918,-0.046269340059218456,0.045899135468873586,-0.046293345661264196,0.04587435386527372,-0.04315216303847385
8,-0.07136458891517017,0.14045808531906245,-0.13956447335149907,0.13939941713525728,-0.13963765899871383,0.13932288846579355,0.07107939485875828
9,-0.1382842484948606,0.18549675426943069,-0.18315042544265397,0.1833532263351106,-0.18333721876090592,0.18315716232889362,0.1381928266907513
10,-0.16134097317909338,0.18829079336536758,-0.18375015001260664,0.1844417373238011,-0.18416602352655798,0.18400602555257883,0.16148038981904184
