step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site12
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
1,0.9604311616717459,-0.9604311616717021,0.9604311616717134,-0.9604311616727339,0.9604311616730212,-0.9604311616604457,-0.9604311616612895
2,0.8479186763381369,-0.8479329167799833,0.8479186770677938,-0.8479329157342729,0.8479186852635754,-0.8479329084862077,-0.8479329123510742
3,0.6797251564591612,-0.679796486717926,0.6797251599004535,-0.6797964799819796,0.6797252088154141,-0.6797965349473019,-0.679796467886297
4,0.4805816608911412,-0.48076437096069374,0.4805816677613137,-0.4807643608280208,0.4805817154504164,-0.4807644312259934,-0.48076433477070646
5,0.27775833911806774,-0.2780768517044635,0.2777583493149791,-0.27807684167135494,0.27775838858753477,-0.2780769132123525,-0.2780767935875308
6,0.09603528375712046,-0.09644725680614474,0.09603529612509182,-0.09644725407310262,0.09603532103490814,-0.09644730725583028,-0.09644718242238129
7,-0.046292863119434015,0.045898773652615465,-0.04629285016704299,0.04589875908813462,-0.0462928435058515,0.04589873865190491,0.04589885065121588
8,-0.1396354784707468,0.13939738898892784,-0.1396354657765561,0.13939734624412636,-0.13963547958398798,0.1393973678191196,0.13939744775940613
9,-0.18332967972359832,0.1833455677309313,-0.18332966651806237,0.1833454873428521,-0.1833297017622283,0.1833455529573088,0.18334558484172833
10,-0.18414441685726646,0.18441889739437373,-0.18414440079427274,0.18441877334537882,-0.1841444575987441,0.1844188779559887,0.1844188530846982
