step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site12
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
1,0.9604311616717026,-0.960431161671702,0.9604311616717017,-0.9604311616716986,0.9604311616716988,-0.9604311616717044,-0.9604311616717043
2,0.8479186769846252,-0.8479329167536903,0.8479186769846243,-0.8479329167536747,0.8479186769846132,-0.8479329167536902,-0.8479329167536931
3,0.6797251588930382,-0.679796486584711,0.6797251588930426,-0.6797964865846827,0.6797251588930303,-0.6797964865847084,-0.6797964865847047
4,0.48058166495353966,-0.4807643705110611,0.48058166495353677,-0.48076437051101606,0.4805816649535573,-0.48076437051105914,-0.48076437051105647
5,0.2777583426376734,-0.2780768504686629,0.2777583426376686,-0.27807685046863784,0.2777583426377177,-0.2780768504686556,-0.27807685046865194
6,0.09603528300244801,-0.09644725446521091,0.09603528300245767,-0.09644725446518765,0.09603528300250347,-0.09644725446519858,-0.09644725446522759
7,-0.04629287198715158,0.04589877648725438,-0.04629287198714066,0.04589877648727003,-0.0462928719870872,0.045898776487271864,0.04589877648717842
8,-0.13963549718135504,0.13939738986388844,-0.13963549718135326,0.13939738986388334,-0.1396354971813109,0.13939738986391254,0.1393973898636677
9,-0.1833297060599697,0.18334556178098033,-0.18332970605994475,0.18334556178098493,-0.1833297060599297,0.18334556178103745,0.1833455617807219
10,-0.1841444440736237,0.1844188775197798,-0.1841444440735821,0.18441887751980146,-0.18414444407353214,0.18441887751983327,0.18441887751952005
