step,Z_site1,Z_site2,Z_site3,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site9,Z_site10,Z_site11,Z_site12
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
1,0.9604311706659749,-0.9604311707287123,0.9604311657469974,-0.9604311677836147,0.9604311678217642,-0.9604311688146594,0.9604311699904523,-0.9604311700040521,0.9604311681933239,-0.9604311657407291,0.9604311710302774,-0.9604311709571205
2,0.8479183561134868,-0.8479328000894638,0.8479185863537806,-0.8479327635818867,0.847918496375658,-0.8479327368838925,0.8479185031883378,-0.8479327377854741,0.8479184943365121,-0.8479327601711185,0.8479185244478231,-0.8479325945985781
3,0.6797237908866487,-0.679795824246554,0.6797246567848915,-0.6797956676087906,0.6797241805708382,-0.6797955253717429,0.6797242455161319,-0.6797954372978445,0.6797242668194658,-0.6797958734399552,0.6797244098116262,-0.6797951183422135
4,0.480578321599559,-0.4807624621420626,0.4805802167718395,-0.4807619963765898,0.4805788467151736,-0.48076165698035644,0.4805790137530029,-0.48076146022394883,0.48057919620402884,-0.48076279513499415,0.4805796610569031,-0.48076102660024816
5,0.27775239423744535,-0.2780730026073918,0.27775534098517735,-0.2780718614694184,0.27775256277652444,-0.27807148631202677,0.2777530675220549,-0.2780709471552385,0.277753327125328,-0.2780737972324749,0.27775439452689293,-0.27807089527426193
6,0.09602646915854983,-0.09644101290319435,0.09603022176926523,-0.09643859870195193,0.09602554945611863,-0.09643866768516501,0.09602683241650178,-0.09643738938346247,0.09602665484747641,-0.09644219358789213,0.09602896775998115,-0.09643840912585373
7,-0.046304300160521866,0.04590742661849184,-0.04630019670351687,0.04591189395048667,-0.04630716712936295,0.045910656484650536,-0.046304547692665565,0.04591320216079886,-0.04630587462687197,0.0459060275600206,-0.04630155782940937,0.04591028734862456
8,-0.13964896793938764,0.1394079209547403,-0.13964487926838143,0.13941526170215857,-0.13965441120060557,0.1394121083120462,-0.1396499345572913,0.13941641294836404,-0.13965317713827108,0.1394066304509069,-0.139646019855092,0.1394110220602315
9,-0.18334449263477848,0.18335692595182185,-0.18334046605406978,0.18336779072141451,-0.18335260611513682,0.1833622149231195,-0.18334601897521852,0.18336852203582343,-0.18335170482724888,0.1833561256006519,-0.1833410312878655,0.18336060198058643
10,-0.18415981423429223,0.18442963496896936,-0.1841554472800609,0.184444276603818,-0.1841699658997189,0.18443628074515295,-0.18416149313640662,0.18444437672875724,-0.18416963271090603,0.18442964367992565,-0.18415516823636024,0.18443458530618997
