step,Z_site1,Z_site2,Z_site3,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site9,Z_site10,Z_site11,Z_site12,Z_site13,Z_site14,Z_site15,Z_site16,Z_site17,Z_site18,Z_site19,Z_site20,Z_site21,Z_site22,Z_site23,Z_site24,Z_site25
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
1,0.9801163710911823,-0.960381620788587,0.9604311652858124,-0.9604311664946036,0.9604311664822804,-0.9604311664822814,0.9604311664822816,-0.9604311664822811,0.9604311664822809,-0.9604311664822798,0.9604311664822803,-0.9604311664822818,0.9604311664822819,-0.9604311664822817,0.9604311664822817,-0.9604311664822814,0.9604311664822816,-0.9604311664822821,0.9604311664822813,-0.9604311664822819,0.9604311664821618,-0.9604311664942373,0.9604311652855674,-0.9603816207883409,0.9801163710911827
2,0.9221933419828385,-0.8463653489840948,0.8479263013552173,-0.8479331180661394,0.8479187719617318,-0.8479328474404902,0.8479189343026863,-0.8479316096381156,0.8479168173409787,-0.8479347455802521,0.8479201615550693,-0.8479305340206992,0.8479172778652888,-0.847932999175492,0.8479184829749418,-0.8479329019594334,0.8479186641158699,-0.847931240545528,0.8479169206254364,-0.8479328140406441,0.8479185431330669,-0.8479328287006089,0.8479265311871991,-0.8463654327936877,0.9221933387339947
3,0.8313852228422459,-0.671843225488692,0.6798437887546005,-0.6797954581510184,0.6797243653649969,-0.6797955303938775,0.6797245777730974,-0.6797936670203648,0.6797217520051446,-0.6797987494357979,0.6797265149949123,-0.6797924985983432,0.6797231832768748,-0.679796077293658,0.6797243790528176,-0.6797958850054819,0.6797247198095983,-0.6797936488862997,0.67972220862742,-0.6797969965679251,0.67972583980695,-0.6797956860304233,0.6798431489768932,-0.6718421437057943,0.8313852526020069
4,0.71589690814596,-0.45772508675784424,0.48125094552045083,-0.48075196498759243,0.48057918668713817,-0.4807617782570873,0.48057991101594066,-0.4807596822977344,0.4805760536700732,-0.4807662912247912,0.48058239623163135,-0.4807585555786866,0.48057853369086395,-0.48076270893851064,0.48057959557029384,-0.480762312789956,0.4805800230361762,-0.4807598425529821,0.4805773381954388,-0.480765228911983,0.480582822430892,-0.4807531940260056,0.48125051069105435,-0.45772380275044977,0.7158970040170931
5,0.5861491995781163,-0.22878841621380058,0.2801348672376055,-0.2780021961482433,0.2777545534711775,-0.27807137313299024,0.27775427778260753,-0.27807019172865577,0.27775011248682646,-0.27807749471043147,0.2777576586062399,-0.27806878593640305,0.27775357361310565,-0.2780731253008818,0.2777541387422203,-0.2780727160900389,0.2777548906186293,-0.2780699839318715,0.2777523173546428,-0.27807775970344645,0.2777605890825066,-0.27800462893675026,0.2801346977848139,-0.22878709916174916,0.5861493920921366
6,0.4536314307865801,-0.010057295486810336,0.10236943606786242,-0.09614513331612917,0.09603517354774083,-0.09643884085520416,0.0960288714171643,-0.09643823813040389,0.09602376101221514,-0.09644539336956501,0.09603240456823649,-0.09643672735384254,0.09602886761448354,-0.09644086592892928,0.09602932609852403,-0.09644126762524514,0.09602923110486593,-0.09643772259606863,0.09602735299578456,-0.09644761121862455,0.09604346880477099,-0.0961489671267618,0.1023697001037463,-0.010056038408505996,0.45363174050633936
7,0.32949296544295453,0.17671563971434334,-0.032461882571229395,0.04682521311147647,-0.04626866025534909,0.04591003499482266,-0.046301491262726896,0.04591002640888088,-0.04630697909944127,0.0459032637704268,-0.04629819301008317,0.04591131047618558,-0.046300998988523155,0.04590846670169051,-0.046302534795419126,0.04590784213250762,-0.046301094526163475,0.04591088740737579,-0.04630256904595889,0.04590002282722866,-0.04625906954312459,0.046820192366904434,-0.03246133177504096,0.17671672655718307,0.3294933962445004
8,0.22309851722830068,0.31587486315112256,-0.11362414015354971,0.1417178255363678,-0.13952810275832195,0.13941249742444506,-0.13964519714542978,0.1394100137733016,-0.13965104421818517,0.13940391017283896,-0.13964257086587686,0.13941126106419505,-0.13964422515298866,0.13940882503204124,-0.1396469203514542,0.13940871534756627,-0.13964500460612642,0.13941117328643776,-0.13964588942635153,0.1394025179601731,-0.13951858679443474,0.14171213506090535,-0.11362345536826107,0.3158757142733575,0.22309905225022728
9,0.1408392676826024,0.3995401023691746,-0.13985828856661958,0.18832487841667023,-0.18300158419555457,0.1833685845953904,-0.183336188866816,0.18335632679400707,-0.18334258446997803,0.1833514489892489,-0.18333544186415018,0.18335774774753127,-0.18333584793442048,0.18335651162446837,-0.18333906208252587,0.1833563861228738,-0.18333706344185732,0.1833582041853367,-0.18333705807776135,0.18336031413080267,-0.18299361787469126,0.18831928823526056,-0.13985779799084275,0.3995406912961648,0.14083987596098999
10,0.08546082657639364,0.4279199425271835,-0.11823543530299929,0.19386840699297536,-0.1833321967446392,0.18446363201185456,-0.18413902624048772,0.18443790176891575,-0.18414918762583346,0.18442306723653576,-0.18413779615886075,0.1844159085789025,-0.18414101877924452,0.18442337500204678,-0.18414238116473858,0.18442219383375658,-0.1841404450803869,0.18442307735283556,-0.1841382698541969,0.18445716578392013,-0.18331338865095337,0.1938657900163534,-0.11823656802858051,0.4279197417780237,0.0854619557100475
