step,Z_site1,Z_site2,Z_site3,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site9,Z_site10,Z_site11,Z_site12,Z_site13,Z_site14,Z_site15,Z_site16,Z_site17,Z_site18,Z_site19,Z_site20,Z_site21,Z_site22,Z_site23,Z_site24,Z_site25
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
1,0.9801659142976596,-0.9604311645941357,0.9604311646579285,-0.9604311658651689,0.9604311676744745,-0.9604311676592466,0.9604311676592421,-0.9604311676592496,0.9604311676592417,-0.9604311676592494,0.9604311676592416,-0.9604311676592499,0.9604311676592424,-0.9604311676592568,0.9604311676592492,-0.9604311676592499,0.9604311676592425,-0.9604311676592509,0.9604311676592436,-0.9604311676591057,0.9604311676743749,-0.9604311658618232,0.9604311646547699,-0.9604311645970623,0.9801659142976605
2,0.9224342111734092,-0.8466046888354655,0.847924636945081,-0.8479328655516062,0.8479185314786852,-0.8479327742310138,0.8479185446384632,-0.8479327802412122,0.8479185727683937,-0.8479328156954228,0.8479185315241372,-0.8479327899167632,0.8479185043852897,-0.8479327373568841,0.8479185338802973,-0.847932740626684,0.8479185054082973,-0.847932808254278,0.8479173254311557,-0.8479316086648784,0.8479185435123773,-0.8479328808639808,0.847924683235243,-0.8466047178652903,0.9224342138006054
3,0.8319837383324971,-0.6724282444844417,0.6798293012626677,-0.6797958056063231,0.6797242646648661,-0.6797955851947823,0.6797243836015774,-0.6797956710598706,0.6797242986833187,-0.6797956066266166,0.6797242299185656,-0.6797956140369149,0.6797242070328261,-0.6797955741717205,0.6797243448426613,-0.6797955678508008,0.6797242004765939,-0.679795685878366,0.6797226414440367,-0.6797940278309453,0.6797243441808679,-0.6797958087450341,0.6798294107829674,-0.672428344863812,0.8319837259730198
4,0.7169742996086083,-0.45875526827878854,0.48120148344460284,-0.48075511418806405,0.48057917811292006,-0.4807618014492028,0.48057928659353466,-0.4807619298835513,0.480579165723881,-0.4807618718859335,0.4805790166244701,-0.48076180655990464,0.48057912899092226,-0.4807618433047041,0.48057921774725954,-0.4807618016979073,0.4805791298571541,-0.48076213205555723,0.48057733004492376,-0.4807600089671972,0.4805793725017011,-0.4807551058628917,0.481201469273971,-0.45875526988999404,0.7169742550588156
5,0.587768611238349,-0.23028664435726331,0.280013132692747,-0.2780138603783946,0.2777542087858811,-0.27807176491659186,0.27775356354813874,-0.2780720132519029,0.2777534087206803,-0.2780718251953634,0.27775321713169654,-0.2780718618764903,0.27775334236648747,-0.2780718607353946,0.27775349474262795,-0.2780718727067541,0.2777534148201505,-0.27807241122074167,0.27775168227366887,-0.27807000419047434,0.2777545307281276,-0.2780137721948461,0.28001305090322687,-0.2302866301579412,0.5877685105212934
6,0.4557920840644192,-0.011964590004215014,0.10212807887627995,-0.0961771783546006,0.09603383238735275,-0.09643907206148106,0.09602762723548264,-0.09643952701363656,0.09602747055160571,-0.09643929010678931,0.09602726023300319,-0.09643938389139162,0.09602736645056348,-0.09643931854270194,0.09602765046478044,-0.09643934431956984,0.09602743886625165,-0.09644012410267418,0.09602600759058516,-0.09643760764453063,0.09603423941277456,-0.09617709376949751,0.10212807332206097,-0.011964512546437489,0.4557918835742292
7,0.3321320739605283,0.17453235454327687,-0.03287202750509899,0.046753832350071134,-0.04627279668428114,0.04591031181077054,-0.04630322755980607,0.04590926492099695,-0.04630339062115185,0.045909484373426464,-0.04630355696082298,0.04590947323914114,-0.04630355891902775,0.04590952978616734,-0.046303174430402175,0.04590938357565562,-0.04630330506553462,0.045908359602403,-0.04630439682773381,0.045911381443078936,-0.04627220361974527,0.046753901359665895,-0.032871998215876275,0.17453249116773484,0.33213172684723097
8,0.22610006783675993,0.31360295402063143,-0.11424228384006457,0.14158162376849087,-0.13953867638177359,0.13941310809056578,-0.1396473553573072,0.1394097889050376,-0.1396476738886589,0.1394100198382946,-0.13964778517407272,0.139410074681879,-0.13964785386938705,0.13941009857912734,-0.13964741942173414,0.13940991225013827,-0.13964759483698128,0.13940867123648237,-0.13964800990560777,0.1394137300906148,-0.13953794792782365,0.14158167112168724,-0.11424225253350573,0.3136031970458807,0.2260995388554139
9,0.14404834118011606,0.39739267246578647,-0.1407023435352146,0.1880947728491139,-0.18302531901420138,0.18336926931705066,-0.18333940528917156,0.1833574322805846,-0.18334039414129621,0.1833577299829272,-0.18334044876262792,0.18335780003124777,-0.18334060914928382,0.18335785867460194,-0.18334014241615354,0.18335766897043798,-0.18334033043288667,0.1833561281527186,-0.1833395751644811,0.18336942624067254,-0.18302452650485723,0.1880948724797612,-0.140702284559044,0.3973929902848806,0.14404762691762577
10,0.08870232796372592,0.4261035905580213,-0.11929452130260432,0.19351848014345696,-0.18336648844140985,0.18446213573634473,-0.18414191615455175,0.18442358954029864,-0.18414501389417026,0.18442405124867248,-0.18414501825714175,0.1844241555343139,-0.18414526295647102,0.1844242370913819,-0.18414478621739994,0.18442403210205285,-0.18414496910172498,0.18442221930570274,-0.18414169089519755,0.18446193043605708,-0.18336575935630683,0.19351867390970567,-0.11929443102513249,0.42610396239565224,0.08870147680517004
