step,Z_site1,Z_site2,Z_site3,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site9,Z_site10,Z_site11,Z_site12,Z_site13,Z_site14,Z_site15,Z_site16,Z_site17,Z_site18,Z_site19,Z_site20,Z_site21,Z_site22,Z_site23,Z_site24,Z_site25
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
1,0.9801163710911821,-0.9603816207885867,0.9604311652858126,-0.9604311664946055,0.9604311664822816,-0.9604311664822818,0.9604311664822831,-0.9604311664822828,0.9604311664822823,-0.9604311664822823,0.9604311664822826,-0.9604311664822822,0.9604311664822818,-0.9604311664822817,0.9604311664822816,-0.9604311664822816,0.960431166482281,-0.9604311664822804,0.9604311664822802,-0.9604311664822814,0.96043116648216,-0.9604311664942362,0.9604311652855678,-0.9603816207883412,0.9801163710911831
2,0.9174429764637608,-0.8462214741076901,0.8479265309638935,-0.8479328268911799,0.8479185448408583,-0.8479327875530436,0.8479185528274066,-0.8479327890490622,0.8479185481570556,-0.8479327864925941,0.8479185432074787,-0.8479327883599271,0.8479185516164062,-0.8479327863718432,0.8479185457195823,-0.8479327844643069,0.8479185451544228,-0.847932784497379,0.8479185451793219,-0.8479327838526156,0.8479185436909904,-0.8479328288150549,0.847926531224026,-0.8462214742511431,0.9174429768133007
3,0.8266798662335874,-0.6712856075030931,0.6798401953158413,-0.679795078785252,0.6797243971193218,-0.6797957283173736,0.6797244105284088,-0.679795731154137,0.6797244062777003,-0.6797957293014998,0.6797243992727744,-0.6797957321293462,0.6797244095485948,-0.6797957270637957,0.6797244029060232,-0.6797957258838561,0.6797244018576316,-0.6797957260545381,0.6797244008120636,-0.6797957233297546,0.67972439551323,-0.6797950807033648,0.6798401953212977,-0.6712856075794522,0.8266798667661445
4,0.7111447884350878,-0.45655011104763954,0.48124744817929793,-0.48074985925404323,0.4805795804037486,-0.48076221500325733,0.48057954303688827,-0.48076223433389287,0.4805795431839559,-0.48076223492551357,0.4805795348522867,-0.48076223886787106,0.48057954483006715,-0.48076222920862155,0.4805795393352525,-0.48076223029652104,0.48057953680718857,-0.48076223019581804,0.4805795314747121,-0.4807622092327083,0.4805795786621371,-0.48074985948566373,0.48124744820263476,-0.4565501100921737,0.7111447881434977
5,0.5812807036224669,-0.22689090103543375,0.28014526145210517,-0.2779922325891995,0.2777551460709512,-0.27807253837189894,0.2777541334914724,-0.2780726127298222,0.2777541416119621,-0.2780726167929667,0.27775414560025335,-0.27807264509581964,0.27775416505209244,-0.27807263001846666,0.27775416235673983,-0.2780726238098938,0.2777541488561061,-0.27807263461523796,0.27775413488310485,-0.27807254248705787,0.2777551522517613,-0.27799223075789803,0.2801452597172182,-0.22689089850361016,0.5812807112799091
6,0.4486089377822248,-0.007451828881838651,0.10242054168131576,-0.0961139295353367,0.09603614948492922,-0.09644024129885764,0.0960285766244885,-0.09644050122348602,0.09602860135102842,-0.09644051011652371,0.09602862393002787,-0.09644055896978124,0.09602865352325589,-0.09644054389606994,0.09602864839302043,-0.09644053225233051,0.09602862927647804,-0.09644054563991737,0.0960285941054354,-0.09644026059322358,0.0960361711436627,-0.09611392381592876,0.1024205364573138,-0.007451827395056121,0.44860898085751066
7,0.32431769396626814,0.17989369569656644,-0.03233297542114272,0.046900520296594916,-0.04626664306550543,0.04590893440127841,-0.04630190018147451,0.04590792211394747,-0.0463018556587112,0.0459079116402652,-0.046301837178587546,0.04590788469412366,-0.046301831446359853,0.04590790926838462,-0.04630182851288467,0.04590789561901287,-0.04630183162116971,0.0459078916634032,-0.0463019013077392,0.04590889798321002,-0.04626659289894802,0.046900531137312684,-0.03233298809084345,0.1798936782634154,0.32431784833508026
8,0.21781321285916164,0.3193896248442134,-0.11337653464707192,0.14186860378755917,-0.13952262242379637,0.13941207988911497,-0.13964557768239247,0.1394079843690384,-0.1396456503645152,0.13940801754239732,-0.1396457022188742,0.1394081188044244,-0.13964579721145684,0.13940817360883279,-0.1396457684649791,0.1394080693486058,-0.1396457124895175,0.1394080852672482,-0.1396456965117452,0.13941205714683402,-0.1395225341341717,0.1418686240500906,-0.11337655679715564,0.31938954635006855,0.21781360266830535
9,0.135526242112276,0.4030926502723349,-0.1394572124278799,0.18858691403467714,-0.1829868937117931,0.18336983601018075,-0.18333684907887834,0.18335480825596417,-0.1833375330813817,0.18335497895823608,-0.1833377846985657,0.18335539084531102,-0.1833381046722814,0.18335550559142128,-0.18333801899902918,0.18335521308674568,-0.183337837880093,0.18335524308885956,-0.18333726707167858,0.18336990146165466,-0.18298677369171001,0.1885869591588829,-0.13945724967341583,0.40309245001243,0.13552703979184433
10,0.08023524857502645,0.4311944212622361,-0.11766336441147118,0.19427733345907028,-0.18328377569220217,0.18446677433402536,-0.18413795347656517,0.1844196030397182,-0.1841407503294432,0.18442005505106568,-0.18414137942898468,0.1844210091859152,-0.18414207385389386,0.18442120927126113,-0.18414187816576752,0.18442062356439567,-0.18414150954347752,0.1844206527321687,-0.184138919922548,0.1844670425974146,-0.18328365475763175,0.1942774339885152,-0.11766342447346179,0.43119402877270263,0.08023665141813677
