step,Z_site1,Z_site2,Z_site3,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site9,Z_site10,Z_site11,Z_site12,Z_site13,Z_site14,Z_site15,Z_site16,Z_site17,Z_site18,Z_site19,Z_site20,Z_site21,Z_site22,Z_site23,Z_site24,Z_site25
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
1,0.980165952169429,-0.9604311641898299,0.9604311666780303,-0.9604311723778475,0.9604311717083257,-0.9604311716775145,0.9604311716344558,-0.9604311715981494,0.9604311715591389,-0.9604311715205659,0.9604311714823572,-0.960431171444541,0.9604311714070815,-0.9604311713700076,0.9604311713332812,-0.9604311712970637,0.960431171247697,-0.9604311707966056,0.9604311683945368,-0.9604311690881262,0.9604311703081694,-0.9604311664053835,0.9604311998071093,-0.9604311687150537,0.9801659192170838
2,0.92243448277099,-0.846604647641797,0.8479245856320302,-0.8479328723431013,0.8479185496912002,-0.8479327912444261,0.8479185505975548,-0.8479327899577459,0.8479185501927263,-0.8479327895296972,0.847918549771816,-0.8479327891145768,0.8479185493624193,-0.8479327887108775,0.8479185489639078,-0.8479327883214449,0.8479185485556424,-0.847932780712179,0.8479185157385325,-0.847932754488952,0.8479185315899247,-0.8479328666891771,0.8479247963877172,-0.8466043895309673,0.9224341323660759
3,0.8319844429376547,-0.6724280704948659,0.6798291248050424,-0.679795832296848,0.6797243413007459,-0.6797956723834624,0.6797243568188461,-0.6797956818793693,0.6797243566807724,-0.6797956812434401,0.6797243559332256,-0.6797956805107831,0.6797243551934319,-0.6797956797725206,0.6797243544308486,-0.6797956791420815,0.6797243525895351,-0.6797956502548469,0.6797242483787258,-0.679795568848615,0.6797242955286957,-0.6797958531747312,0.6798295156428795,-0.6724273335017028,0.8319834438269373
4,0.7169758827609545,-0.45875494786419474,0.4812011902085307,-0.48075525914732115,0.48057939364938235,-0.48076204758485,0.4805793817362631,-0.4807620780944252,0.4805793831249833,-0.48076207637642426,0.48057938159734787,-0.4807620747587668,0.48057937986461047,-0.480762072983938,0.4805793778432237,-0.480762071670568,0.4805793762563982,-0.4807620094461689,0.48057915218244746,-0.4807618108399095,0.48057926463606165,-0.4807553163518066,0.4812017262665664,-0.4587535739469078,0.7169736639778448
5,0.5877715891376394,-0.23028633674263344,0.2800128859849518,-0.2780143420849979,0.2777546909184523,-0.27807230287423884,0.277753890057541,-0.27807237297824666,0.277753893407615,-0.27807236774598565,0.27775389040146914,-0.2780723639691805,0.27775388607817847,-0.2780723592764328,0.2777538814931455,-0.2780723545611147,0.27775388021454683,-0.2780722422800844,0.2777534770465875,-0.2780718081427838,0.277754339975551,-0.27801437485047037,0.2800134943327045,-0.23028433963382539,0.5877675913307764
6,0.4557971214839642,-0.01196482516670766,0.10212826409167886,-0.09617833327111436,0.09603476319344728,-0.09644011110564854,0.09602836653907387,-0.09644027829026341,0.09602837526112015,-0.09644026931165928,0.09602836854753044,-0.09644026220244295,0.09602836091168515,-0.09644025354225494,0.09602835097940643,-0.09644024480247904,0.09602834765169259,-0.09644006267730654,0.09602772102560717,-0.09643922038695274,0.09603399559838405,-0.09617819045528453,0.10212889744477577,-0.011962265034578368,0.45579074442028866
7,0.3321399065687051,0.17453081268496135,-0.032870851319136085,0.04675164081439631,-0.04627125763565981,0.04590857269282278,-0.04630192877047251,0.0459079906824032,-0.046301921613734476,0.04590800538885165,-0.04630193381343406,0.04590801847576792,-0.04630194507962149,0.0459080326894636,-0.04630196160226566,0.04590804968054014,-0.046301971518386165,0.04590830339374086,-0.04630278324812935,0.045909958048535704,-0.046272664605024605,0.04675213616852025,-0.032870304894896285,0.1745339797586189,0.3321305552867642
8,0.22611138054439053,0.31359907774260654,-0.11423946291658882,0.1415780638251236,-0.13953640743080342,0.1394104877936269,-0.13964532023468976,0.13940780310543435,-0.139645463244233,0.13940785651940585,-0.13964548057502058,0.1394078784874174,-0.13964549815712402,0.1394079038542657,-0.13964552673396224,0.13940793134611773,-0.13964554339263777,0.13940819255552966,-0.13964627680794983,0.13941234149059356,-0.1395386370512759,0.14157914618496936,-0.11423915023550807,0.3136031701060317,0.22609853722253836
9,0.144063697574094,0.39738526636622373,-0.1406972918276369,0.18808961759502835,-0.18302225080744755,0.183365646295648,-0.18333638422073179,0.18335442191476728,-0.1833371559365724,0.18335458281255326,-0.18333717870565353,0.1833546139758205,-0.18333720473003443,0.18335465755934932,-0.18333724705717488,0.18335469877862287,-0.18333725986655833,0.18335483199215816,-0.1833372244321099,0.18336770906609906,-0.18302540439379467,0.18809157150178868,-0.140697428674755,0.3973909415266772,0.14404696995430966
10,0.08872218140147528,0.4260914470683007,-0.11928684705794063,0.1935116483247401,-0.18336262536378195,0.18445751765081458,-0.18413767065378656,0.18441923935165222,-0.18414044055573725,0.1844196225027792,-0.18414047512668563,0.18441966261417472,-0.18414051681246948,0.18441973318704372,-0.18414057389651198,0.1844197929007857,-0.1841405600597588,0.18441959150501155,-0.18413809934170985,0.18445926472604468,-0.18336667943688473,0.19351481081176491,-0.11928769497455427,0.42609961601876367,0.0887013981677132
