step,Z_site1,Z_site2,Z_site3,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site9,Z_site10,Z_site11,Z_site12,Z_site13,Z_site14,Z_site15,Z_site16,Z_site17,Z_site18,Z_site19,Z_site20,Z_site21,Z_site22,Z_site23,Z_site24,Z_site25
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
1,0.9801659142976598,-0.9604311645941361,0.9604311646579275,-0.960431165865166,0.9604311676744731,-0.960431167659246,0.9604311676592423,-0.96043116765925,0.9604311676592421,-0.96043116765925,0.960431167659242,-0.9604311676592501,0.9604311676592423,-0.9604311676592504,0.9604311676592422,-0.96043116765925,0.9604311676592425,-0.9604311676592499,0.960431167659242,-0.9604311676591046,0.9604311676743741,-0.9604311658618223,0.9604311646547721,-0.9604311645970643,0.9801659142976598
2,0.9224342123904493,-0.8466046874670061,0.8479246369936749,-0.8479328655759697,0.8479185315704684,-0.8479327736861152,0.8479185348611475,-0.8479327745680478,0.847918535022784,-0.8479327745609544,0.8479185350231199,-0.8479327745609276,0.8479185350231022,-0.8479327745609124,0.8479185350230886,-0.8479327745609022,0.8479185350228542,-0.8479327745673106,0.8479185348559152,-0.8479327736758361,0.8479185315532378,-0.8479328655496534,0.8479246370695481,-0.8466046870919213,0.922434212882544
3,0.8319837337087929,-0.6724282430337479,0.6798293012731411,-0.679795805609143,0.6797242657500222,-0.6797955866559631,0.6797242643872807,-0.6797955911106178,0.6797242657986431,-0.6797955909813179,0.6797242658107101,-0.6797955909800703,0.6797242658094445,-0.6797955909789037,0.6797242658083633,-0.6797955909781447,0.6797242657995557,-0.6797955911036215,0.6797242643761682,-0.6797955866112724,0.6797242658773618,-0.6797958054983815,0.6798293012734449,-0.6724282430646934,0.8319837337796434
4,0.7169742827707752,-0.4587552630962304,0.4812014835145783,-0.4807551141004083,0.48057918074204203,-0.48076180889771863,0.48057913837979943,-0.4807618410535309,0.48057914526921514,-0.4807618403727951,0.48057914533343765,-0.480761840360493,0.4805791453278617,-0.4807618403586691,0.48057914532294876,-0.4807618403584773,0.4805791452453896,-0.4807618410030358,0.4805791383537614,-0.4807618090607807,0.4805791814347895,-0.48075511428876405,0.48120148372417904,-0.45875526340071926,0.7169742832471995
5,0.5877685711249692,-0.23028663226332358,0.28001313305503645,-0.27801386010632595,0.2777542128800668,-0.2780717821038091,0.2777533976892089,-0.27807190334672865,0.2777534221406026,-0.2780719009763334,0.27775342275064874,-0.2780719008241167,0.277753422622407,-0.2780719007140417,0.27775342252612256,-0.2780719007303044,0.2777534218891362,-0.27807190268335674,0.2777533964172566,-0.27807178057492155,0.27775421342588874,-0.27801386089445057,0.28001313328165023,-0.23028663297573249,0.5877685727099623
6,0.4557920093400554,-0.01196456775474336,0.10212808003493368,-0.09617717775847973,0.09603383698480628,-0.09643910336000527,0.0960274571037461,-0.09643941562815223,0.09602750414907779,-0.09643940947327,0.09602750486076247,-0.09643940915024979,0.09602750462016618,-0.09643940884679147,0.09602750431844609,-0.0964394089073283,0.09602750320810835,-0.09643941410819516,0.0960274515842417,-0.09643909889742075,0.09603383797826243,-0.09617717949941168,0.10212808022376357,-0.011964567676299054,0.4557919965028473
7,0.33213195552306535,0.17453238895740725,-0.03287202472472811,0.046753833561680835,-0.046272793494279096,0.04591026327758646,-0.046303387018603474,0.045909361840813845,-0.04630332305231627,0.04590938449809387,-0.0463033224898465,0.04590938645219343,-0.046303322600434675,0.04590938692595346,-0.0463033236503332,0.04590938592431862,-0.04630332513896393,0.04590936638017768,-0.04630339934349244,0.04591027258763164,-0.04627279309302651,0.04675383210977707,-0.032872025880988476,0.17453239630968537,0.33213190451621166
8,0.2260999009868487,0.3136030002526019,-0.11424227832958034,0.14158162607066838,-0.13953867702677103,0.13941304116289677,-0.13964749058856302,0.13940986306050315,-0.13964757904319278,0.1394099488304504,-0.13964758398913155,0.1394099527715748,-0.13964758422413223,0.13940995369791848,-0.13964758603966035,0.13940995173327314,-0.13964758280973438,0.13940987410779287,-0.13964751930507635,0.1394130596229643,-0.13953867788029,0.14158162849184475,-0.1142422819187563,0.3136030216714727,0.22609978176275228
9,0.14404812760106903,0.3973927269797193,-0.1407023343065345,0.1880947769871829,-0.18302532599093058,0.1833691851634312,-0.18333950527556458,0.1833574757156525,-0.18334027861086083,0.1833576851841034,-0.18334029861007262,0.183357697786501,-0.18334029798403423,0.18335769922168343,-0.18334030210759614,0.18335769526566006,-0.18334029087848758,0.183357506786847,-0.18333957022945502,0.1833692220589364,-0.18302533277425326,0.1880947898592047,-0.1407023405382663,0.397392767090788,0.1440479264859961
10,0.08870207566842557,0.4261036464895505,-0.11929450790332496,0.1935184870059471,-0.18336650371151159,0.18446203784627568,-0.1841419737883425,0.184423598861408,-0.18414488046880576,0.1844240336563952,-0.18414490504797174,0.1844240523189929,-0.1841449084021257,0.18442406118404187,-0.18414490447686913,0.1844240465934203,-0.18414489644449555,0.18442366854924508,-0.18414209632000755,0.18446211293039072,-0.18336652277931093,0.1935185169252584,-0.11929451601914276,0.42610369743275944,0.0887018075789847
