step,Z_site1,Z_site2,Z_site3,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site9,Z_site10,Z_site11,Z_site12
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
1,0.9801163698825158,-0.9603816183832371,0.9604311616717037,-0.9604311616717031,0.9604311616717007,-0.9604311616717008,0.9604311616717013,-0.9604311616717015,0.9604311616717022,-0.9604311616717031,0.9603816183832374,-0.9801163698825165
2,0.9039855707906196,-0.847115451592945,0.8479300743746159,-0.8479329635070567,0.8479186768968625,-0.8479329167536249,0.8479186769845521,-0.8479329165759688,0.8479186881943623,-0.8479444629646553,0.8471082965357823,-0.9039928391800525
3,0.7646241336431323,-0.6765158326427347,0.6798497762573463,-0.6797962565889341,0.6797251616192275,-0.6797964866981276,0.6797251589167875,-0.6797964856433744,0.6797245973771544,-0.6799228031444752,0.6764740097029265,-0.7646673119442512
4,0.5836277527800088,-0.47290560134414356,0.4811447533956687,-0.4807580220630049,0.4805817777403344,-0.48076437235564545,0.4805816649490346,-0.480764458512325,0.4805742214893853,-0.4813349604463081,0.47278580869062065,-0.5837537928851695
5,0.38691954761596614,-0.26372809689595095,0.2794117695397641,-0.2780364468185546,0.27775945466568186,-0.278076856795609,0.2777583358446069,-0.27807790547097466,0.27771616970527124,-0.27975096195849003,0.26350205806484245,-0.3871635636217562
6,0.19981748375059244,-0.07446274930814695,0.09975366369693939,-0.09629116784131264,0.09604138437807203,-0.09644722474672862,0.09603520299102974,-0.09645342072121205,0.09587882463781677,-0.10020775573623969,0.07415252896579799,-0.20016581002923167
7,0.042776802299480374,0.07553579914142838,-0.03935472706897625,0.04634872580231619,-0.04626937292555133,0.045899162041631025,-0.046293374624975014,0.04587438627641116,-0.046736602743803035,0.038892188539789596,-0.07584721191192817,-0.04315214558798632
8,-0.07136461487329,0.1754830575261509,-0.1283956688035136,0.14045813561607284,-0.13956452706525668,0.1393994569915168,-0.1396377020540983,0.13932294192646,-0.14067554341651967,0.12806518953182,-0.17568094831363545,0.07107941926683248
9,-0.138284277469093,0.2236303962322625,-0.1670683522188795,0.18549683161715536,-0.18315050240678354,0.18335327675567403,-0.18333727298078828,0.1831572395459815,-0.18543778959772472,0.16697848396959586,-0.2236254656889372,0.13819285473702098
10,-0.16134099698858087,0.22598534964894018,-0.16273955499130144,0.18829089970642138,-0.1837502474267933,0.18444178928898225,-0.18416607955179531,0.1840061239249146,-0.18794664091173374,0.16291039436152732,-0.22576593299970138,0.1614804150021409
