step,Z_site1,Z_site4,Z_site8
0,1.0,-1.0,-1.0
1,0.960431161671703,-0.9604311616717024,-0.9604311616717026
2,0.8479248868284882,-0.8479248868275243,-0.8479248868275103
3,0.6797557473987594,-0.6797557473915647,-0.6797557473913164
4,0.4806544086052453,-0.4806544085776193,-0.4806544085761177
5,0.27785283883755907,-0.27785283876373634,-0.2778528387582066
6,0.09602514617218516,-0.09602514601703993,-0.09602514600195988
7,-0.04674229603025266,0.04674229630349064,0.04674229633697104
8,-0.14120544176427774,0.1412054421831142,0.14120544224682813
9,-0.18720711967431664,0.18720712024727942,0.1872071203544919
10,-0.1921503283171313,0.19215032902963025,0.19215032919243338
11,-0.16827308580209752,0.16827308662027585,0.1682730868463544
12,-0.12945654672037718,0.12945654760207753,0.12945654789144304
13,-0.08828892101699502,0.08828892192600601,0.08828892226846437
14,-0.0539568520344115,0.053956852952977696,0.05395685332699147
15,-0.03128320305914463,0.03128320399454809,0.03128320436797088
16,-0.02093318746113476,0.02093318844443326,0.02093318877730948
17,-0.020540861379864526,0.02054086245748582,0.020540862706745048
18,-0.02633084338729213,0.02633084460791507,0.02633084473342189
19,-0.03476060915507037,0.034760610555020555,0.034760610526020176
20,-0.043778810677613016,0.043778812267885214,0.04377881206874576
