step,Z_site1,Z_site2,Z_site3,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site9,Z_site10,Z_site11,Z_site12
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
1,0.9604311616717035,-0.9604311616717033,0.9604311616717032,-0.9604311616717032,0.9604311616717038,-0.9604311616717034,0.9604311616717034,-0.9604311616717027,0.9604311616717028,-0.9604311616717034,0.9604311616717046,-0.9604311616717053
2,0.8479186769847172,-0.8479329167537191,0.8479186769846317,-0.847932916753686,0.8479186769846029,-0.8479329167536631,0.8479186769845993,-0.8479329167536658,0.847918676984618,-0.8479329167536963,0.8479186769846561,-0.8479329167537848
3,0.679725158893614,-0.6797964865848903,0.6797251588929643,-0.679796486584541,0.6797251588926642,-0.6797964865841748,0.6797251588924884,-0.6797964865843231,0.6797251588928603,-0.6797964865846292,0.6797251588931781,-0.6797964865852747
4,0.4805816649543906,-0.4807643705110162,0.48058166495260524,-0.48076437050972215,0.4805816649510355,-0.4807643705072239,0.48058166494959687,-0.48076437050849546,0.480581664952179,-0.4807643705101412,0.4805816649533368,-0.48076437051190507
5,0.27775834263406435,-0.2780768504651566,0.2777583426325524,-0.2780768504626328,0.2777583426273592,-0.2780768504523343,0.2777583426210416,-0.2780768504580977,0.2777583426315553,-0.27807685046363434,0.2777583426338479,-0.2780768504649691
6,0.09603528297785005,-0.09644725444746971,0.09603528298353753,-0.09644725444566615,0.09603528297133568,-0.0964472544151303,0.09603528295196201,-0.0964472544333771,0.09603528298285258,-0.0964472544466986,0.09603528298473862,-0.09644725444022097
7,-0.0462928720702407,0.04589877654413266,-0.046292872041452215,0.04589877653757524,-0.046292872062933865,0.04589877660978264,-0.046292872109598426,0.04589877656441199,-0.046292872037322685,0.04589877654035629,-0.046292872042498934,0.04589877657164608
8,-0.13963549738875905,0.1393973900060827,-0.13963549731153424,0.13939738997357365,-0.13963549733857972,0.1393973901174385,-0.13963549743333137,0.13939739002285118,-0.13963549729034763,0.13939738999125262,-0.13963549731894342,0.1393973900742024
9,-0.183329706487517,0.1833455620806987,-0.1833297063312938,0.18334556199142882,-0.18332970634711454,0.18334556224121812,-0.18332970651632685,0.18334556206888464,-0.18332970626881928,0.1833455620472909,-0.18332970635085594,0.1833455622133008
10,-0.18414444483933845,0.18441887807313861,-0.18414444457784296,0.18441887788441047,-0.184144444544727,0.18441887827038939,-0.18414444481868497,0.18441887798771806,-0.18414444443581912,0.18441887801681034,-0.18414444461498208,0.18441887829088038
