step,Z_site1,Z_site2,Z_site3,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site9,Z_site10,Z_site11,Z_site12
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
1,0.9694138686280427,-0.9603929334338621,0.9604311616717018,-0.9604311616717028,0.9604311616717028,-0.9604313776411545,0.9604314825032323,-0.9604311208723996,0.9604276709729187,-0.9604225973998696,0.9603885242884096,-0.969414466882704
2,0.8662485528814643,-0.8475870997897892,0.8479237421232811,-0.8479329305784271,0.8479186686546748,-0.8479335166907968,0.8479205907397498,-0.8479343038459112,0.8479162568144882,-0.8479329344985087,0.8475708375097386,-0.8662637107482283
3,0.7052250412108659,-0.6786545425785906,0.6797703020197708,-0.6797963022619553,0.6797251272844232,-0.6797973411610851,0.679728371862865,-0.6797990683780576,0.6797233677374521,-0.6798390450420311,0.6785806849830962,-0.7052977329708326
4,0.5103104011506877,-0.4782588542924953,0.48076864359424426,-0.48076175351145506,0.4805816360253683,-0.48076530012011615,0.48058573117955966,-0.4807677906779413,0.4805781839818239,-0.48095466936144327,0.47807299473810916,-0.5104950220154906
5,0.30849446347748405,-0.2737241297473639,0.2782810513691478,-0.27806246684455016,0.27775862234684745,-0.27807766501267916,0.2777627464820076,-0.2780809394524558,0.27774451338413797,-0.2786180146012823,0.2734072963914538,-0.30881602385564905
6,0.12477075982711582,-0.08998825119325149,0.09717374421540093,-0.09639561394647012,0.09603719892597923,-0.09644777718344877,0.09603951065836991,-0.09645290046967414,0.09598742323693277,-0.09763256927643366,0.08959561199667165,-0.12518888046851495
7,-0.021940976525994596,0.054414051895479654,-0.0442167173166082,0.04604104249898494,-0.04628536032224595,0.0458987577597772,-0.04628933196618096,0.04588779500955398,-0.046425427468252234,0.04373397044747218,-0.05475066963264985,0.02153321035096911
8,-0.12116233253045804,0.14959739728391414,-0.13633062178407207,0.1397225051481284,-0.13961310957325024,0.13939834082313374,-0.1396333208161848,0.13937142892630217,-0.1399424275485197,0.13595288405287648,-0.14971358937623125,0.12089511148337903
9,-0.1712587092075451,0.19459334048306304,-0.17861578578794945,0.1839901020534832,-0.18327419300278214,0.18334871039631473,-0.18333019836566,0.18328525217519465,-0.18394688104846713,0.17843924953010315,-0.1943632104175278,0.17121798854926615
10,-0.17811299788264137,0.19591816882965807,-0.17801375019555088,0.18555905334635936,-0.18402446914696208,0.1844271138035919,-0.18415043188898983,0.18429107763095437,-0.18525085379259526,0.17804975841216775,-0.19531339410724663,0.178287605775476
