step,Z_site1,Z_site2,Z_site3,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site9,Z_site10,Z_site11,Z_site12
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
1,0.9604311616717038,-0.9604311616717032,0.9604311616717038,-0.9604311616717038,0.9604311616717041,-0.9604311616717035,0.9604311616717033,-0.9604311616717026,0.9604311616717027,-0.9604311616717032,0.9604311616717028,-0.9604311616717024
2,0.8479186769846065,-0.847932916753674,0.8479186769846243,-0.8479329167537012,0.8479186769846728,-0.847932916753763,0.8479186769847002,-0.8479329167537112,0.8479186769846183,-0.8479329167536667,0.8479186769845685,-0.8479329167536728
3,0.6797251588926975,-0.6797964865844908,0.6797251588928752,-0.6797964865846952,0.6797251588932256,-0.679796486584967,0.6797251588934105,-0.6797964865847573,0.6797251588928525,-0.6797964865843569,0.6797251588924541,-0.6797964865843474
4,0.4805816649509181,-0.4807643705094633,0.4805816649520957,-0.4807643705102123,0.4805816649530377,-0.4807643705103206,0.4805816649536431,-0.4807643705104824,0.48058166495215715,-0.48076437050893595,0.4805816649503484,-0.48076437050815657
5,0.2777583426257526,-0.27807685046135994,0.27775834263067267,-0.2780768504633766,0.2777583426320722,-0.27807685046049035,0.27775834263338584,-0.27807685046431374,0.2777583426316428,-0.2780768504601939,0.2777583426257205,-0.27807685045518665
6,0.09603528296334693,-0.09644725444087582,0.09603528297842523,-0.09644725444582125,0.09603528297943831,-0.09644725443117635,0.0960352829814296,-0.09644725444837549,0.09603528298330744,-0.09644725443927749,0.09603528296796193,-0.09644725442073449
7,-0.04629287208929503,0.045898776552227516,-0.04629287205243948,0.045898776540194586,-0.046292872053126155,0.04589877658572383,-0.046292872051226064,0.04589877653451169,-0.046292872036148625,0.045898776552914855,-0.046292872070208047,0.04589877660320439
8,-0.1396354974064657,0.13939739001108165,-0.13963549733066416,0.13939738998293888,-0.13963549733441372,0.13939739009248214,-0.13963549733450237,0.13939738997211704,-0.1396354972884205,0.13939739000766976,-0.13963549735661263,0.13939739011779048
9,-0.18332970649315547,0.1833455620734497,-0.18332970635787293,0.18334556201356123,-0.18332970636627538,0.18334556223487208,-0.18332970637113577,0.18334556199489904,-0.18332970626662137,0.18334556206080121,-0.18332970639332963,0.18334556226609475
10,-0.18414444481775397,0.18441887803962387,-0.18414444460467694,0.18441887792727574,-0.1841444446208912,0.1844188783180945,-0.18414444463279972,0.1844188778962345,-0.184144444433971,0.18441887801181456,-0.18414444465452995,0.18441887834880125
