step,Z_site1,Z_site4,Z_site8
0,1.0,-1.0,-1.0
1,0.960431161671703,-0.9604311616717028,-0.9604311616717032
2,0.8479186647108673,-0.8479329056416569,-0.847932905641656
3,0.6797245100578007,-0.6797958951219374,-0.6797958951219369
4,0.480574042241856,-0.48075739573745546,-0.4807573957374545
5,0.27771133142913,-0.2780336360914907,-0.2780336360914889
6,0.09583721205761242,-0.0962641275087101,-0.09626412750871002
7,-0.046937072940275104,0.04649843375021029,0.04649843375021565
8,-0.14136465300159173,0.1410191338975974,0.14101913389759835
9,-0.187316826195984,0.18711458025251992,0.1871145802525185
10,-0.19224571010311703,0.19213750891888415,0.1921375089188789
11,-0.16843234759047132,0.1682799895389876,0.16827998953898413
12,-0.1297665846847486,0.1294099902394702,0.12940999023946612
13,-0.08879722060597617,0.08814569448720944,0.08814569448720488
14,-0.054631957155131805,0.053731821915131484,0.053731821915129666
15,-0.03200299829681108,0.031045414719412245,0.031045414719409154
16,-0.021509793908502946,0.020772170629893894,0.020772170629889303
17,-0.020778026739678546,0.02052275175158924,0.020522751751587045
18,-0.026096825506028876,0.026468622038641754,0.02646862203864018
19,-0.034048942136869154,0.035012749747270644,0.03501274974727455
20,-0.04272665944028481,0.04407392856895298,0.044073928568958046
