step,Z_site1,Z_site4,Z_site8
0.0,1.0,-1.0,-1.0
1.0,0.9604311616717066,-0.9604311616717065,-0.9604311616717065
2.0,0.8479186647108731,-0.8479329056416632,-0.8479329056416633
3.0,0.6797245100578055,-0.6797958951219423,-0.6797958951219425
4.0,0.4805740422418631,-0.4807573957374604,-0.48075739573746057
5.0,0.277711331429139,-0.278033636091493,-0.27803363609149323
6.0,0.09583721205762022,-0.09626412750870961,-0.09626412750871005
7.0,-0.046937072940268804,0.04649843375021291,0.046498433750212564
8.0,-0.14136465300158915,0.14101913389760204,0.14101913389760157
9.0,-0.18731682619598852,0.1871145802525268,0.18711458025252647
10.0,-0.19224571010312128,0.19213750891889148,0.19213750891889114
11.0,-0.16843234759048095,0.16827998953899692,0.16827998953899675
12.0,-0.1297665846847526,0.129409990239475,0.1294099902394748
13.0,-0.08879722060597645,0.08814569448721216,0.08814569448721193
14.0,-0.05463195715512886,0.053731821915131955,0.053731821915131595
15.0,-0.032002998296809027,0.031045414719411107,0.031045414719410913
16.0,-0.021509793908503383,0.02077217062989306,0.020772170629892894
17.0,-0.020778026739676714,0.020522751751585244,0.020522751751585133
18.0,-0.026096825506025434,0.02646862203863748,0.026468622038637313
19.0,-0.03404894213686788,0.03501274974726831,0.03501274974726809
20.0,-0.04272665944028353,0.044073928568952814,0.0440739285689527
