step,Z_site1,Z_site4,Z_site5,Z_site6
0,1.0,-1.0,1.0,-1.0
1,0.9604311616717022,-0.960431161671703,0.9604311616717021,-0.9604311616717022
2,0.8479105536294953,-0.8479250929418085,0.8479105536294942,-0.8479250929418093
3,0.6796149548327785,-0.6796902361344237,0.6796149548327796,-0.6796902361344291
4,0.47995119654925555,-0.4801549063466148,0.47995119654925555,-0.48015490634662106
5,0.27544126286744064,-0.27582935128555197,0.2754412628674423,-0.27582935128556574
6,0.08960418441241716,-0.09018559271396809,0.08960418441241652,-0.09018559271398932
7,-0.06089754809216598,0.060175350569643515,-0.06089754809216441,0.06017535056962482
8,-0.16802631150837943,0.1672625305405041,-0.1680263115083771,0.1672625305404858
9,-0.23188706310299198,0.23119543877244697,-0.2318870631029863,0.23119543877243268
10,-0.25848294342146566,0.25796555856730863,-0.25848294342145983,0.25796555856730014
11,-0.2566523363265686,0.2563962183927937,-0.2566523363265636,0.25639621839278864
12,-0.23525937756890938,0.2353525485964444,-0.23525937756890408,0.23535254859644156
13,-0.20148726397671415,0.20203183259478164,-0.20148726397671124,0.20203183259478424
14,-0.16059478038758593,0.1616922720685462,-0.16059478038758318,0.16169227206855094
15,-0.1169112864866118,0.11861441476984202,-0.11691128648660942,0.1186144147698481
16,-0.0753683122784721,0.07762295483654386,-0.07536831227847463,0.07762295483655118
17,-0.04266791331419855,0.045288557147056485,-0.042667913314203276,0.04528855714706538
18,-0.02734348242275066,0.030057841706147947,-0.02734348242275808,0.030057841706157166
19,-0.038422706826376045,0.04098567246530904,-0.03842270682638854,0.040985672465316855
20,-0.0829858848032142,0.08531757863334333,-0.08298588480322461,0.08531757863335492
