step,Z_site1,Z_site8,Z_site16
0,1.0,-1.0,-1.0
1,0.921847756268552,-0.846795513006638,-0.9218477562685599
2,0.7218410273476646,-0.47735593737368615,-0.7218410273465832
3,0.47806100555692477,-0.0915394567237211,-0.47660901258639027
4,0.2367039930841829,0.1438495109428728,-0.23573788600988244
5,0.05484718374208729,0.18669825821486263,-0.054826974107380876
6,-0.02563645860015505,0.10533744202912515,0.02524339043110592
7,-0.02802124658639112,0.0010912808855575995,0.027824387929437075
8,-0.0008717940399285381,-0.059711482523108206,0.0007536255733235955
9,0.019524536570291563,-0.06455163769276123,-0.020191073806513356
10,0.022018815251198316,-0.034475545332385504,-0.02368975985135623
11,0.01335991725663115,0.0027387263379737847,-0.015918712590889415
12,0.004702758109480878,0.027602401839188495,-0.0074840333942602
13,0.002638199031032021,0.0333445405084426,-0.004866231244764703
14,0.007275169064435362,0.02404526138207208,-0.008645802978230713
15,0.014212211347553986,0.009526475903179787,-0.014753032918753458
16,0.018430118287543915,-0.0017956828839587047,-0.018512455901349482
17,0.017946126153186595,-0.006389242450993038,-0.01810461870362013
18,0.014773022172561547,-0.006740909217528679,-0.015203001953080855
19,0.01194137671868995,-0.007238055298381119,-0.012790112082235386
20,0.010542824334719529,-0.009659152373107827,-0.011693923786352915
21,0.009121971970013541,-0.011490943243034513,-0.010153741249924452
22,0.005990019103703616,-0.00817850672469339,-0.006390244575804225
23,0.0008316250963597607,0.002634784140218671,-0.00040395645927317246
24,-0.004981133979960971,0.020629526265594167,0.006038781419222183
25,-0.012176752792349293,0.043885836804177236,0.013298919674208869
26,-0.022980853631442404,0.07005667112340253,0.02350871129602501
27,-0.03808414742545643,0.09563335180571936,0.037634560301869326
28,-0.05410753031932089,0.11582155657939697,0.05296290834848945
29,-0.0660358432172121,0.12666882860258943,0.06506206886869001
30,-0.07219712573291084,0.12821017567892934,0.07208169302231567
31,-0.0768160754669152,0.1257101204442519,0.07753046148919657
32,-0.08533764673638461,0.12693467468518682,0.08619602604129142
33,-0.09605169146574619,0.1359657781029457,0.09633535758820161
34,-0.10117796902713808,0.14816868066262234,0.10045057548702892
35,-0.09615634222232916,0.15283511569537783,0.09456568387488294
36,-0.08570450348513452,0.14101024594929534,0.08389282103974752
37,-0.0795805696138195,0.11145765044409034,0.07819194818778893
38,-0.08098742586071071,0.07003649178017612,0.08055057364455519
39,-0.08160048873650695,0.02579610054235315,0.0826287611051164
40,-0.06848449512818124,-0.013272719377114495,0.07114413153804423
