step,Z_site1,Z_site8,Z_site16
0,1.0,-1.0,-1.0
1,0.9951196068339591,-0.9902694406310459,-0.9951196068339591
2,0.9809539964357366,-0.9616364774753744,-0.9809539964357363
3,0.9538735927796519,-0.9155653837842421,-0.9538735927796519
4,0.9108483517920749,-0.8540978609815845,-0.9108483517920749
5,0.8541197484877259,-0.7798609690313592,-0.8541197484877256
6,0.7863460611679041,-0.6958686256310881,-0.7863460611679045
7,0.7104500050141564,-0.6053535626427236,-0.7104500050141568
8,0.629459581695054,-0.5115964589861794,-0.6294595816950544
9,0.5463524711331917,-0.41776388225809324,-0.5463524711331905
10,0.4639136778672979,-0.32676502231970045,-0.4639136778673039
11,0.38461480337661424,-0.24113481953188393,-0.38461480337662873
12,0.31052134446888724,-0.1629483271074411,-0.3105213444688884
13,0.24323198667813,-0.09376833988751494,-0.24323198667811885
14,0.1838511971260367,-0.034625762855906385,-0.18385119712601056
15,0.1329937970301981,0.013969927341268807,-0.13299379703012704
16,0.09081786201476849,0.051994334513145134,-0.09081786201487801
17,0.05708049325978709,0.07985115339469542,-0.05708049326029163
18,0.03120984647699865,0.09830020336471634,-0.031209846477487424
19,0.012386491815891632,0.10837638430077577,-0.012386491819346201
20,-0.00037275664453689794,0.1113049107483045,0.0003727566344107758
21,-0.008134437481804868,0.10841773268411642,0.008134437462800903
22,-0.011976200327505682,0.10107537582744051,0.011976200249905367
23,-0.012926460325147326,0.09059770249929953,0.012926459957618874
24,-0.011917642433305786,0.07820602224408256,0.011917641593448103
25,-0.00975360122836988,0.0649781009044436,0.009753600339368007
26,-0.007091003511787486,0.05181685236240854,0.007091003366712922
27,-0.004433117949116772,0.039432547710222025,0.004433119178681222
28,-0.0021341870416781705,0.028337668035447114,0.002134190322136631
29,-0.0004121767664544418,0.018853270903729295,0.00041218300886713966
30,0.0006324972185131617,0.011125361490772919,-0.0006324869128919164
31,0.0009945349131939007,0.0051491038514135294,-0.0009945193150611153
32,0.0007397914742167111,0.0007982740305348312,-0.0007397692715778725
33,-1.8240193664587068e-05,-0.0021424067531651074,1.8270342694359787e-05
34,-0.001140050573429252,-0.003944148925869244,0.0011400899640769402
35,-0.0024788324476478496,-0.004902375069808509,0.0024788822187414294
36,-0.00389558377488447,-0.005308533199734268,0.0038956447710801756
37,-0.00527017159195331,-0.005427169427129146,0.005270244224177545
38,-0.0065082925243801215,-0.005479359478537573,0.0065083766480503735
39,-0.007544675136764989,-0.0056328154415523,0.007544769939531404
40,-0.008343223077492634,-0.005998167359460587,0.008343326961009478
