step,Z_site1,Z_site8,Z_site16
0,1.0,-1.0,-1.0
1,0.9904550570186854,-0.9902921904846141,-0.9904550570186854
2,0.9626192173222724,-0.96178525555148,-0.9626192173222724
3,0.9182396491128515,-0.9159552272539176,-0.9182396491128507
4,0.8596882922161155,-0.8549280872002862,-0.859688292216105
5,0.789801408055992,-0.7813458244776109,-0.7898014080558382
6,0.7116991820643834,-0.698209435448447,-0.7116991820652415
7,0.62860029660767,-0.6087113103122891,-0.6286002966387497
8,0.5436455149914328,-0.5160691193665081,-0.5436455152368737
9,0.45974213208813863,-0.4233718558318554,-0.45974213338621384
10,0.3794380902962666,-0.33344649032401347,-0.37943809458902444
11,0.3048310985806135,-0.24875101708529396,-0.3048311122355743
12,0.23751468869073833,-0.17129723035069935,-0.23751471932936435
13,0.17856005281480303,-0.10260408554591213,-0.17856011561008334
14,0.12853013189964196,-0.043680539989381754,-0.1285302503092478
15,0.08752061942926548,0.004964871622795514,-0.08752083336995198
16,0.055221485013628946,0.043289672390878005,-0.05522187965023018
17,0.030992527179577567,0.07166680218241415,-0.03099315085349824
18,0.013946484138102011,0.09081622086102492,-0.013947027091704589
19,0.00303268173332899,0.10172428176098117,-0.0030325778642456003
20,-0.0028817100152955244,0.10557711120877694,0.0028838692974395563
21,-0.004942374855915477,0.10366412823708976,0.00494704397011092
22,-0.004242732238756819,0.09731010222556181,0.00425074883889337
23,-0.0017741439109421608,0.08780008799388671,0.001788956321514601
24,0.0016048955318839209,0.07632345964934519,-0.001580992283519489
25,0.005190856864368376,0.06391678556020264,-0.005156172158302941
26,0.008450394276654838,0.051452987709400676,-0.00840082865728653
27,0.011005321417225378,0.03963420342487683,-0.010941184794300896
28,0.012638534820230196,0.02891482238640261,-0.012557743230645457
29,0.013270017274459478,0.01961175506883837,-0.013166070502249105
30,0.012926404904024136,0.011879762724977797,-0.012790000127492651
31,0.011707220058380319,0.005723188927603927,-0.01153777653375121
32,0.009791480410139386,0.0010862130153794218,-0.009575505785784755
33,0.007381658949122294,-0.0021962605472561547,-0.007101604882619961
34,0.004697553412920719,-0.004329003238486868,-0.00432854190852644
35,0.0019432115222692836,-0.005550902190209653,-0.0014575104227648739
36,-0.0007044590753904068,-0.006116396573993139,0.0013327010018737706
37,-0.0030834358682112484,-0.006247228020519914,0.0038807410349852023
38,-0.00508208748196276,-0.006153063923498466,0.00606336844194133
39,-0.006652464805555314,-0.006055291361526957,0.0077977238103602575
40,-0.0077502958850134696,-0.00599678843320139,0.009040887276154763
