t,z_ref_qutip,ADAPTIVE,DOUBLEADAPTIVE,DOUBLEFIXED,FIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
0,0,-2.237114317075738e-17,-2.237114317075738e-17,0,0,0,-2.237114317075738e-17
0.05,1.778091562876227e-17,-5.551115123125783e-16,-6.036868732683942e-07,3.882835378443694e-06,-4.031824584249666e-06,1.27675647831893e-15,-2.220446049250313e-16
0.1,-2.40692882291782e-17,-1.756644381845085e-06,-5.790559119978056e-07,-0.0001301996574274433,-3.28780406244622e-06,1.998401444325282e-15,-4.440892098500626e-16
0.15,-1.084202172485504e-18,-1.595905496223474e-06,1.645186386289854e-06,-2.227256259496047e-05,-2.426803620003692e-06,1.998401444325282e-15,2.775557561608442e-16
0.2,-5.204170427930421e-18,-2.15899892197784e-06,7.835583866223789e-07,-5.016732242080213e-05,-2.767972922645967e-06,1.554312234475219e-15,3.663735981263017e-15
0.25,3.794707603699266e-17,-8.938584665218708e-06,7.90428095814869e-07,-1.70291322252325e-05,-7.118792908489269e-06,2.164934898019055e-15,2.220446049250313e-15
0.3,3.035766082959412e-17,-1.042370896795094e-05,9.399419299102747e-07,9.273962572997618e-05,-1.838690835870294e-05,7.771561172376096e-16,3.219646771412954e-15
0.35,-3.621235256101585e-17,-1.779905549970096e-05,2.112314042227354e-07,7.076078772882965e-05,-3.88377117034322e-05,0,2.775557561562891e-16
0.4,-2.40692882291782e-17,-3.336115098878656e-05,-1.060994662072101e-06,-2.207747363436319e-05,-6.871500215671622e-05,2.775557561562891e-16,3.885780586188048e-16
0.45,-4.119968255444917e-18,-4.440756709913714e-05,-2.962118876015385e-06,-9.242614817472905e-05,-0.0001048708393235342,2.220446049250313e-16,-9.992007221614426e-16
0.5,-1.214306433183765e-17,-5.062764960045429e-05,-5.327159045807029e-06,-0.0001402133545721496,-0.0001401870833834806,-8.881784197001252e-16,-4.440892098500626e-16
0.55,-2.840609691912022e-17,-5.270697331771768e-05,-8.27310941681203e-06,-0.0001649554407125442,-0.0001639571368314829,-1.110223024625157e-15,9.992007221626409e-16
0.6,9.606031248221569e-17,-5.08959086771843e-05,-1.148785567173238e-05,-0.0001680280339657614,-0.0001631325220221025,-5.551115123125783e-16,-9.992007221626409e-16
0.65,-7.37257477290143e-17,-4.618471230216636e-05,-1.452947153957052e-05,-0.0001524790101253282,-0.0001242096843941942,-8.326672684688674e-16,-4.218847493575595e-15
0.7,-4.77048955893622e-18,-3.996682678342189e-05,-1.712983107576838e-05,-0.0001152285217373983,-3.546115190161681e-05,-6.661338147750939e-16,-4.884981308350689e-15
0.75,-3.122502256758253e-17,-3.354658680587708e-05,-1.898154984431022e-05,-6.060587597228606e-05,0.0001108528750689008,3.885780586188048e-16,-6.050715484207103e-15
0.8,1.257674520083185e-17,-2.776474033738818e-05,-1.976710909878943e-05,1.72327769321079e-06,0.0003166725658014236,-2.220446049250313e-16,-8.382183835919932e-15
0.85,7.068998164605489e-17,-2.318835880660286e-05,-1.91412877927899e-05,6.068541151627027e-05,0.000577023510316077,-1.554312234475219e-15,-1.010302952408892e-14
0.9,2.8796409701215e-16,-2.02427420332163e-05,-1.683954377690311e-05,0.0001060102284858866,0.0008797569734096955,-1.110223024625157e-16,-1.06581410364015e-14
0.95,1.474514954580286e-17,-1.912403160841958e-05,-1.26675274528254e-05,0.000129694010508663,0.00120617781654897,0,-1.182387521225792e-14
1,4.011548038196366e-17,-1.971852250370887e-05,-6.557814631991121e-06,0.0001269134116307358,0.001532499216906125,-4.440892098500626e-16,-1.260103132949553e-14
1.05,2.463307335887066e-16,-2.166227523603403e-05,1.381782378517826e-06,9.647672384172079e-05,0.001831981528072013,-1.77635683940025e-15,-1.548761119352093e-14
1.1,-9.540979117872439e-18,-2.440104692563727e-05,1.084558868869046e-05,4.092589344539821e-05,0.002077532720349329,-2.109423746787797e-15,-1.587618925213974e-14
1.15,1.769417945496343e-16,-2.727035798316679e-05,2.132731029225177e-05,-3.364879450329372e-05,0.002244486206270935,-2.942091015256665e-15,-1.88182802673964e-14
1.2,-3.838075690598686e-17,-2.958165835481585e-05,3.214941887991207e-05,-0.0001181115714843362,0.002313248537582746,-3.552713678800501e-15,-2.148281552649678e-14
1.25,2.979387569990166e-16,-3.071006957916511e-05,4.251542063704594e-05,-0.0002011677638849019,0.002271528066635553,-3.552713678800501e-15,-2.475797344914099e-14
1.3,-7.35089072945172e-17,-3.017452932785325e-05,5.15813154260969e-05,-0.0002706469505400766,0.002115905357746084,-4.996003610813204e-15,-2.320366121466577e-14
1.35,2.3635607360184e-17,-2.770114249195377e-05,5.853983457149159e-05,-0.0003150909056480744,0.001852574730238754,-5.551115123125783e-15,-2.05391259555654e-14
1.4,-1.517883041479706e-17,-2.326167397198597e-05,6.270767193239379e-05,-0.0003254377610991677,0.001497167290248513,-3.497202527569243e-15,-2.19824158875781e-14
1.45,5.464378949326942e-17,-1.70817026006187e-05,6.360477895905881e-05,-0.0002964768547564778,0.00107365510412083,-3.552713678800501e-15,-1.5931700403371e-14
1.5,2.281161370909501e-16,-9.616928909439437e-06,6.101523383400531e-05,-0.0002276894258393392,0.0006124268651470643,-2.942091015256665e-15,-1.4210854715202e-14
1.55,-3.272122156561252e-16,-1.500641352070176e-06,5.502114928657154e-05,-0.0001232372261549264,0.000147707745158876,-2.109423746787797e-15,-9.214851104388799e-15
1.6,9.86623976961809e-17,6.530703612561695e-06,4.600430137163825e-05,8.761041786375934e-06,-0.0002854380197734874,-1.110223024625157e-15,-3.108624468950438e-15
1.65,1.914701036609401e-16,1.372423181339455e-05,3.461417278460832e-05,0.0001572506750680547,-0.0006542371956804183,9.436895709313831e-16,3.441691376337985e-15
1.7,1.019150042136374e-17,1.939911943338313e-05,2.170529511874575e-05,0.0003092753330807829,-0.0009311595757032776,3.386180225106727e-15,9.825473767932635e-15
1.75,7.979727989493313e-17,2.302642299278901e-05,8.250637087370283e-06,0.0004510454464231595,-0.00109637744344715,5.10702591327572e-15,1.743050148661496e-14
1.8,6.771926769344461e-16,2.429108826468296e-05,-4.759026936307365e-06,0.0005691597788936575,-0.001139444918987376,5.273559366969494e-15,2.19824158875781e-14
1.85,-4.612196041753336e-16,2.312881022387137e-05,-1.641776379346371e-05,0.0006519825664115797,-0.001059980545718264,6.217248937900877e-15,2.503552920529728e-14
1.9,-3.027092465579528e-16,1.973308759506409e-05,-2.599664171148985e-05,0.0006910357498193243,-0.0008672596640729169,6.217248937900877e-15,2.753353101070388e-14
1.95,-8.586881206085195e-17,1.453138260321118e-05,-3.301415289652665e-05,0.0006821601027592328,-0.0005787891963097147,6.550315845288424e-15,2.370326157574709e-14
2,1.084202172485504e-17,8.133387031761252e-06,-3.727644023410193e-05,0.0006261162451698388,-0.0002181128331966153,4.773959005888173e-15,1.94844140821715e-14
2.05,2.268150944839675e-16,1.25832946373805e-06,-3.888270709029307e-05,0.0005283510922144963,0.0001877711570111851,4.440892098500626e-15,1.321165399303936e-14
2.1,-2.432949675057472e-16,-5.348707065588876e-06,-3.819553013084676e-05,0.0003979802401145593,0.0006109525965615759,3.108624468950438e-15,8.215650382226158e-15
2.15,2.313687436084066e-16,-1.100005376553082e-05,-3.578012269933595e-05,0.0002464118708521146,0.001024756580222552,1.165734175856414e-15,-4.996003610813204e-16
2.2,4.445228907190568e-16,-1.513743887265884e-05,-3.232034435696196e-05,8.604664920647265e-05,0.001405310285401973,0,-5.939693181744587e-15
2.25,3.287300986976049e-16,-1.738414022528501e-05,-2.85220572657785e-05,-7.078079434641449e-05,0.001732543137157205,-1.221245327087672e-15,-1.137978600240785e-14
2.3,-1.108054620280186e-16,-1.757246569156212e-05,-2.501618901051827e-05,-0.0002126389680767171,0.001990765027049701,-1.665334536937735e-15,-1.498801083243961e-14
2.35,3.638582490861353e-16,-1.574598339848521e-05,-2.227428310852542e-05,-0.0003297828489386423,0.002169003350368071,-2.55351295663786e-15,-1.69864122767649e-14
2.4,-3.241764495731658e-16,-1.213940560573779e-05,-2.054795616007743e-05,-0.0004151065341096993,0.00226126098110796,-3.719247132494274e-15,-1.676436767183986e-14
2.45,-3.861928138393367e-16,-7.140873128252956e-06,-1.984038194935422e-05,-0.0004651020234415215,0.002266800868874486,-3.996802888650564e-15,-1.5931700403371e-14
2.5,9.128982292327947e-17,-1.242153217728692e-06,-1.991318266680864e-05,-0.0004801774175933748,0.002190474683382959,-3.663735981263017e-15,-1.343369859796439e-14
2.55,-3.087807787238717e-16,5.0170580241371e-06,-2.032698037490732e-05,-0.000463914687683975,0.002043022474328859,-3.663735981263017e-15,-9.159339953157541e-15
2.6,5.204170427930421e-16,1.110422374572817e-05,-2.050916402579483e-05,-0.0004217267542139247,0.001841021348302219,-4.884981308350689e-15,-6.217248937900877e-15
2.65,-6.431487287184012e-16,1.654257360395039e-05,-1.983893044088525e-05,-0.0003601483024903707,0.001604524628820769,-4.940492459581947e-15,-6.661338147750939e-16
2.7,4.228388472693467e-17,2.094758630594162e-05,-1.773832826057475e-05,-0.0002871738569555915,0.001348385227913362,-5.662137425588298e-15,3.386180225106727e-15
2.75,2.873135757086587e-16,2.404552594648113e-05,-1.375812739207172e-05,-0.0002121312440456213,0.001083646920628234,-5.273559366969494e-15,6.883382752675971e-15
2.8,1.131473387205872e-15,2.567304318801256e-05,-7.648077693656052e-06,-0.0001438722380964208,0.0008313813035167317,-5.717648576819556e-15,8.215650382226158e-15
2.85,-1.567539500979542e-15,2.576498336182009e-05,5.969300547747913e-07,-8.820926820468644e-05,0.0006140363539446358,-5.440092820663267e-15,1.021405182655144e-14
2.9,9.261254957371179e-16,2.433631012876969e-05,1.072051017869668e-05,-4.744038015558338e-05,0.0004506280744746571,-5.273559366969494e-15,1.265654248072678e-14
2.95,-3.023406178193078e-15,2.146008679648759e-05,2.222011818098224e-05,-2.168043737316161e-05,0.0003540902616559483,-4.551914400963142e-15,1.298960938811433e-14
3,4.608509754366885e-15,1.724801905766959e-05,3.439192855048123e-05,-8.847906289133345e-06,0.0003292704500331145,-3.608224830031759e-15,1.459943277382081e-14
3.05,-9.063930161978817e-16,1.184018119609886e-05,4.639993910049434e-05,-5.960081994604849e-06,0.0003716765915926512,-2.109423746787797e-15,1.476596622751458e-14
3.1,-4.163336342344337e-17,5.404010876008947e-06,5.73610431479632e-05,-1.218934455904375e-05,0.0004667700739104941,-1.054711873393899e-15,1.360023205165817e-14
3.15,2.913034397034053e-15,-1.861004938874533e-06,6.64360295802302e-05,-2.857167829301011e-05,0.0005906587595070345,1.054711873393899e-15,1.315614284180811e-14
3.2,9.751314339334627e-16,-9.718383644496953e-06,7.291616978855053e-05,-5.357561899016483e-05,0.0007124893035955759,2.05391259555654e-15,1.332267629550188e-14
3.25,1.420738526825005e-15,-1.789629468018639e-05,7.629481397086746e-05,-7.874524331941135e-05,0.0007980841013994211,2.997602166487923e-15,9.769962616701378e-15
3.3,-9.265591766061121e-16,-2.609700131328552e-05,7.631519014428267e-05,-8.931533003742054e-05,0.0008140108596331186,4.440892098500626e-15,6.994405055138486e-15
3.35,2.375053279046746e-15,-3.401224891791399e-05,7.29896394985885e-05,-7.082045369732892e-05,0.0007314105495821455,5.10702591327572e-15,6.772360450213455e-15
3.4,6.420645265459157e-16,-4.134482139106499e-05,6.658937665893205e-05,-1.636444631736289e-05,0.0005293253860416125,6.605826996519681e-15,7.327471962526033e-15
