t,ADAPTIVE,DOUBLEADAPTIVE,DOUBLEFIXED,FIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
0,-2.237114317075738e-17,-2.237114317075738e-17,0,0,0,-2.237114317075738e-17
0.1,-1.665334536937735e-16,-2.220446049250313e-16,-4.82371725896158e-09,-6.605826996519681e-15,-1.054711873393899e-15,-8.881784197001252e-16
0.2,-9.436895709313831e-16,2.220446049250313e-16,-7.230093190813136e-09,-1.110223024625157e-15,-4.884981308350689e-15,-3.774758283725532e-15
0.3,-8.881784197001252e-16,3.774758283725532e-15,-6.533537599828776e-10,-1.260103132949553e-14,3.536060333431124e-14,2.220446049250313e-16
0.4,9.270362255620057e-15,-1.27675647831893e-14,1.769214358349203e-08,-3.108624468950438e-15,2.653433028854124e-14,2.942091015256665e-15
0.5,-2.714495295208508e-14,-4.440892098500626e-16,3.887619037801215e-08,-6.328271240363392e-15,3.33066907387547e-15,6.716849298982197e-15
0.6,1.071365218763276e-14,1.27675647831893e-14,5.012822040795228e-08,-1.559863349598345e-14,-2.192690473634684e-14,7.938094626069869e-15
0.7,6.300515664747763e-14,2.070565940925917e-14,4.371411327364072e-08,-1.071365218763276e-14,-4.535261055593764e-14,6.439293542825908e-15
0.8,8.004708007547379e-14,1.809663530139005e-14,2.673669791120048e-08,-9.992007221626409e-15,-5.995204332975845e-14,1.221245327087672e-15
0.9,4.585221091701897e-14,7.438494264988549e-15,1.327324494759807e-08,-6.661338147750939e-15,-5.81756864903582e-14,-4.551914400963142e-15
1,-2.231548279496565e-14,-5.662137425588298e-15,1.459245146939736e-08,1.909583602355269e-14,-5.373479439185758e-14,-1.104671909502031e-14
1.1,-8.22675261247241e-14,-9.603429163007604e-15,2.909507007542445e-08,3.297362383136715e-14,-3.097522238704187e-14,-1.69864122767649e-14
1.2,-9.453549054683208e-14,-8.881784197001252e-16,4.388009600120313e-08,4.374278717023117e-14,-9.547918011776346e-15,-2.031708135064036e-14
1.3,-5.045963646921336e-14,1.432187701766452e-14,4.535362230217999e-08,4.901634653720066e-14,5.218048215738236e-15,-2.098321516541546e-14
1.4,2.475797344914099e-14,2.337019466835955e-14,2.899216422491691e-08,4.657385588302532e-14,9.103828801926284e-15,-1.731947918415244e-14
1.5,8.68749516769185e-14,2.048361480433414e-14,2.970102275234865e-09,3.363975764614224e-14,5.828670879282072e-15,-5.551115123125783e-16
1.6,1.022515405679769e-13,6.439293542825908e-15,-1.87576902899167e-08,3.447242491461111e-14,-3.996802888650564e-15,7.494005416219807e-15
1.7,6.672440377997191e-14,-1.254552017826427e-14,-2.745050919905623e-08,8.659739592076221e-15,-1.099120794378905e-14,1.071365218763276e-14
1.8,5.329070518200751e-15,-2.547961841514734e-14,-2.568076928888274e-08,-1.038058528024521e-14,-1.326716514427062e-14,9.103828801926284e-15
1.9,-4.54081217071689e-14,-2.831068712794149e-14,-2.592271652890332e-08,-6.661338147750939e-15,-8.881784197001252e-15,4.996003610813204e-15
2,-6.189493362285248e-14,-2.55351295663786e-14,-3.939125903240637e-08,1.471045507628332e-14,0,5.662137425588298e-15
2.1,-4.951594689828198e-14,-2.309263891220326e-14,-6.535222768500049e-08,3.641531520770513e-14,6.994405055138486e-15,8.43769498715119e-15
2.2,-3.15858450505857e-14,-2.481348460037225e-14,-8.994335265466447e-08,3.58046925441613e-14,8.326672684688674e-15,1.376676550535194e-14
2.3,-2.720046410331634e-14,-2.414735078559715e-14,-9.566270570138258e-08,6.439293542825908e-15,6.772360450213455e-15,1.254552017826427e-14
2.4,-3.408384685599231e-14,-1.52655665885959e-14,-7.158209952562444e-08,-4.440892098500626e-14,3.386180225106727e-15,1.304512053934559e-14
2.5,-3.380629109983602e-14,1.998401444325282e-15,-2.254643516330646e-08,-6.644684802381562e-14,1.998401444325282e-15,5.828670879282072e-15
