t,z_ref_qutip,DOUBLEADAPTIVE,DOUBLEFIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
0,1,1,1,1,1
0.01,0.9984006933840138,0.9984009640405058,0.9984004955296166,0.9984006931877403,0.9984006931875755
0.02,0.9936110832685626,0.9936119604404305,0.9936103235020343,0.9936110840089364,0.9936110840086052
0.03,0.985656050669703,0.9856583339797464,0.9856540671802286,0.9856560538578402,0.985656053857345
0.04,0.9745768881774651,0.9745817125572886,0.9745753920196072,0.9745768975192293,0.9745768975185656
0.05,0.9604310522445151,0.9604419539171611,0.9604298581830083,0.9604310632439571,0.9604310632431282
0.06,0.9432917617210584,0.9433105658572654,0.9432913782333052,0.9432917916090275,0.9432917916080387
0.07000000000000001,0.9232476084826188,0.9232771556407433,0.9232501452361616,0.9232476558845156,0.9232476558833569
0.08,0.9004019471464393,0.9004411676352213,0.9004093977620149,0.9004020073621727,0.9004020073608302
0.09,0.8748722534089773,0.87491818123436,0.8748865863869775,0.8748723298002823,0.8748723297987482
0.1,0.8467894101891876,0.8468431873583574,0.846812904421365,0.8467895077993389,0.8467895077976196
0.11,0.8162968923143772,0.8163566899750397,0.8163326770956004,0.8162970145378597,0.8162970145359633
0.12,0.783549874568342,0.7836193679354001,0.7836010570750813,0.7835500248617001,0.7835500248596293
0.13,0.7487142814879659,0.7487846133644603,0.7487843208102416,0.7487144602290807,0.7487144602268299
0.14,0.7119657642183019,0.7120490859502318,0.7120565248224088,0.7119659724630674,0.7119659724605618
0.15,0.6734886272683283,0.6735862113008402,0.6735992823025609,0.6734888736502395,0.673488873647174
0.16,0.6334746529988294,0.6335889374650284,0.6336031426491672,0.63347501984673,0.6334750198420001
0.17,0.5921220931336404,0.5922563262742101,0.5922655863795186,0.5921226565056512,0.592122656498525
0.18,0.5496344925969521,0.5497927942099496,0.5497890215591501,0.5496352337349562,0.5496352337254944
0.19,0.5062193490918449,0.5064128040702999,0.5063803567132632,0.5062201996086043,0.5062201995967966
0.2,0.4620867089456548,0.462324100189453,0.4622510820910687,0.4620877798061858,0.4620877797919844
0.21,0.4174484735889194,0.4177314493061369,0.4176145740355849,0.4174497518489558,0.4174497518323107
0.22,0.3725168152201987,0.3728429612038766,0.3726840362333432,0.372518222119249,0.3725182221002126
0.23,0.327502857222641,0.3278428210921638,0.3276708918294291,0.3275044137125479,0.327504413691266
0.24,0.2826156291089837,0.2830031886867368,0.2827840963625706,0.2826174729731618,0.2826174729498322
0.25,0.2380613618106396,0.2384664834898148,0.2382295463006971,0.2380633023116796,0.2380633022864642
0.26,0.194041435593628,0.1944463231561563,0.1942087633813353,0.1940434265972568,0.1940434265702928
0.27,0.1507518885566534,0.1511091036625112,0.1509177191003021,0.1507539000652139,0.1507539000366326
0.28,0.1083822344479328,0.1086291146407025,0.1085458898463395,0.1083842602843182,0.1083842602542497
0.29,0.06711443575946323,0.06727523579591216,0.06727528731892318,0.06711653529307959,0.06711653526173311
0.3,0.02712193645811511,0.02715778657290668,0.02727952965785474,0.02712430954527906,0.02712430951293154
0.31,-0.01143059846684925,-0.01162084626444398,-0.01127694418243785,-0.01142814619397459,-0.01142814622695326
0.32,-0.04838901447183003,-0.04834724828445908,-0.04823960848353182,-0.04838667638404892,-0.04838667641714656
0.33,-0.08361025197428132,-0.08397809824001973,-0.08346475561380073,-0.08360796960280892,-0.08360796963532924
0.34,-0.1169625099699371,-0.1174735181439407,-0.1168206513047166,-0.1169602112848844,-0.1169602113159209
0.35,-0.1483259339937152,-0.1482850498250962,-0.1481883025403858,-0.1483236573609075,-0.1483236573893266
0.36,-0.1775934954558782,-0.17797709331829,-0.1774612689189381,-0.1775911264322783,-0.1775911264567024
0.37,-0.2046708975888346,-0.2055132846520162,-0.2045456456088227,-0.2046684086962222,-0.2046684087151045
0.38,-0.2294769052255624,-0.2308784816228437,-0.2293605638322247,-0.2294745904150273,-0.2294745904266919
0.39,-0.2519444933155744,-0.2545859029484593,-0.2518385886462587,-0.2519422932971295,-0.251942293299739
0.4,-0.2720200717596449,-0.2749286855290621,-0.271925910540013,-0.2720178287230141,-0.2720178287144165
0.41,-0.2896634982080339,-0.2936520421505715,-0.289582433304432,-0.2896612673016205,-0.2896612672790588
0.42,-0.3048485336861909,-0.3097323750335592,-0.3047817855167348,-0.3048464247807441,-0.3048464247405723
0.43,-0.3175628056806126,-0.323054857114957,-0.3175112433107857,-0.3175607658547186,-0.3175607657921172
0.44,-0.327807220188187,-0.334383924191078,-0.3277715615380234,-0.3278052279105816,-0.3278052278191512
0.45,-0.3355958880107395,-0.3442574137438474,-0.3355767206176486,-0.335593967228917,-0.3355939671001811
0.46,-0.3409558630837751,-0.352845516887262,-0.3409535968256066,-0.3409540306040198,-0.340954030426712
0.47,-0.3439267070975952,-0.3563375804831117,-0.3439415615239872,-0.3439249557686672,-0.3439249555277575
0.48,-0.3445599369929111,-0.3578757708058492,-0.3445920135640292,-0.3445583043990806,-0.3445583040744461
0.49,-0.3429186415493657,-0.3592994918025241,-0.3429678488814385,-0.3429171318341609,-0.3429171313987217
0.5,-0.3390767815421409,-0.3556654317754337,-0.3391428715456784,-0.3390753979678857,-0.3390753973851929
0.51,-0.3331185755962355,-0.3523736656299647,-0.333201150869792,-0.3331173240642361,-0.3331173232851655
0.52,-0.3251378084576063,-0.3466956801868476,-0.3252363295050306,-0.325136700497774,-0.3251366994561894
0.53,-0.3152370919435296,-0.3365147775020293,-0.3153508877039438,-0.3152361506405078,-0.3152361492475718
0.54,-0.3035271983471951,-0.3228179851085539,-0.3036553691384252,-0.3035263562952055,-0.3035263544319864
0.55,-0.2901259315831418,-0.3188356490414815,-0.2902675738114657,-0.2901252502167873,-0.29012524772476
0.5600000000000001,-0.2751577483870183,-0.3051626365120852,-0.275311723708677,-0.2751571813666138,-0.2751571780355626
0.57,-0.2587525167789984,-0.2899220219572446,-0.2589176069017999,-0.2587520586091523,-0.2587520541619057
0.58,-0.2410448209704473,-0.2749464783814127,-0.2412197058429808,-0.2410444785870958,-0.2410444726604892
0.59,-0.2221730918142342,-0.2592958892185003,-0.2223563155776054,-0.2221728434998123,-0.2221728356211599
0.6,-0.2022786144585008,-0.2420872244248504,-0.2024686575556864,-0.2022784744618586,-0.2022784640202137
0.61,-0.1815047841315001,-0.2233099838228754,-0.1816999946383321,-0.1815047260339898,-0.1815047122454066
0.62,-0.1599960685814625,-0.2085919228849528,-0.1601947527777053,-0.1599961074000168,-0.1599960892660605
0.63,-0.1378973075494622,-0.1915177299100724,-0.1380976546973357,-0.1378974155101563,-0.1378973917689981
0.64,-0.1153527268080271,-0.1700998397966444,-0.1155528707156867,-0.1153528853271202,-0.1153528543966487
0.65,-0.09250515233619162,-0.1529893026940614,-0.09270319164121388,-0.09250536209661314,-0.09250532200929351
0.66,-0.06949528931178932,-0.1318970961513172,-0.06968922842309744,-0.06949550032140706,-0.06949544865097401
0.67,-0.04646078662262555,-0.1190379297043189,-0.04664864297056692,-0.04646099384987756,-0.04646092763049231
0.68,-0.02353568111261975,-0.1014353030598406,-0.0237154142569232,-0.02353584119801833,-0.02353575683734144
0.6899999999999999,-0.0008495737381631721,-0.0927005115193385,-0.00101914350499327,-0.0008496499112842226,-0.0008495430998996523
0.7,0.02147296053823379,-0.07278104841174005,0.02131559808904715,0.02147301655870426,0.0214731509376494
0.71,0.04331300456324378,-0.0577961719755854,0.0431698759933416,0.04331324633431299,0.04331341428974766
0.72,0.06455783672058504,-0.05515933128725115,0.06443095061018844,0.0645583381807659,0.06455854668475247
0.73,0.08510146040667474,-0.04451604702192086,0.08499278482980521,0.08510230976563515,0.08510256680041317
0.74,0.1048450530679329,-0.03694101638541536,0.1047564989076257,0.1048463530887466,0.104846667655917
0.75,0.1236973489402366,-0.02760602765955511,0.1236307710952942,0.1236992354447459,0.1236996175188477
