t,z_ref_qutip,DOUBLEADAPTIVE,DOUBLEFIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
0,1,1,1,1,1
0.01,0.9984006933840138,0.9984009459779268,0.9984002863848925,0.9984006932728577,0.9984006932727535
0.02,0.9936110832685626,0.9936124342744007,0.9936108114911318,0.9936110805195005,0.9936110873915711
0.03,0.985656050669703,0.9856596663177556,0.9856562057407273,0.9856560143171905,0.9856560412137524
0.04,0.9745768881774651,0.9745791734724161,0.9745769910701274,0.974576680614693,0.9745768445233876
0.05,0.9604310522445151,0.9604603891124321,0.9604317666954786,0.9604302487156583,0.9604309378266466
0.06,0.9432917617210584,0.9432871474343708,0.9432943673539491,0.9432893862450247,0.9432915542709348
0.07000000000000001,0.9232476084826188,0.9232338663098095,0.9232529196964838,0.9232416440439034,0.9232472600930164
0.08,0.9004019471464393,0.9003957104894496,0.900411057169928,0.9003887172876163,0.900401400039007
0.09,0.8748722534089773,0.8748402807388507,0.874886198051349,0.8748455904219303,0.8748714519235741
0.1,0.8467894101891876,0.8467724239669416,0.8468088825143617,0.8467395747521917,0.8467882951634359
0.11,0.8162968923143772,0.8162425752743718,0.8163213971949599,0.8162092486863517,0.8162953987450716
0.12,0.783549874568342,0.7835178208433218,0.7835778400732286,0.7834033117127903,0.7835479346625926
0.13,0.7487142814879659,0.7486797613464029,0.7487435978270973,0.7484793641734191,0.748711823384693
0.14,0.7119657642183019,0.7119573339896802,0.7119945460594361,0.7116026257575279,0.7119627183748525
0.15,0.6734886272683283,0.6734807413040818,0.6735157456375022,0.6729446063772692,0.6734849370935303
0.16,0.6334746529988294,0.6334926543810543,0.6335000888689846,0.6326817436763685,0.6334703399680197
0.17,0.5921220931336404,0.5921851778679471,0.5921467884101151,0.5909940218545512,0.5921171760922859
0.18,0.5496344925969521,0.549652563128565,0.5496598548875793,0.5480635867464538,0.5496289027113398
0.19,0.5062193490918449,0.5062170922537437,0.5062468640685814,0.5040733721616157,0.5062129768120536
0.2,0.4620867089456548,0.4620938344831046,0.4621178943929045,0.4592057523592937,0.4620796338477787
