t,z_ref_qutip,DOUBLEADAPTIVE,DOUBLEFIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
0,1,1,1,1,1
0.01,0.9984006933840138,0.9984009640453477,0.9984009199605204,0.9984006931876553,0.9984006931875757
0.02,0.9936110832685626,0.9936122662853858,0.9936113289499613,0.9936110840087644,0.9936110840086059
0.03,0.985656050669703,0.985658762520028,0.9856562609836266,0.9856560538575856,0.9856560538573444
0.04,0.9745768881774651,0.9745816993594215,0.9745768936025415,0.9745768975188916,0.9745768975185696
0.05,0.9604310522445151,0.9604385501060716,0.9604317732271022,0.9604310632435348,0.9604310632431315
0.06,0.9432917617210584,0.9433025610285931,0.943294141979629,0.9432917916085292,0.9432917916080438
0.07000000000000001,0.9232476084826188,0.9232622530516648,0.9232527647110608,0.9232476558839446,0.9232476558833621
0.08,0.9004019471464393,0.9004209339561199,0.9004106910723564,0.9004020073615498,0.9004020073608365
0.09,0.8748722534089773,0.8748960488212622,0.8748851050641451,0.8748723297997661,0.8748723297987567
0.1,0.8467894101891876,0.8468184401986373,0.846805612018158,0.8467895077989321,0.84678950779763
0.11,0.8162968923143772,0.8163315341979844,0.8163146834834533,0.8162970145375782,0.8162970145359737
0.12,0.783549874568342,0.7835904500697981,0.7835699750186258,0.7835500248615611,0.7835500248596395
0.13,0.7487142814879659,0.7487610419425699,0.7487385066094933,0.7487144602291126,0.7487144602268417
0.14,0.7119657642183019,0.7120188683633842,0.711995866415464,0.7119659724632508,0.7119659724605745
0.15,0.6734886272683283,0.6735481087387721,0.6735248222376163,0.673488873650381,0.6734888736471872
0.16,0.6334746529988294,0.6335404963094597,0.6335164346764096,0.6334750198460469,0.6334750198420194
0.17,0.5921220931336404,0.5921942286681257,0.5921683071495946,0.5921226565039464,0.5921226564985509
0.18,0.5496344925969521,0.5497127354521761,0.5496843491419842,0.5496352337324333,0.549635233725518
0.19,0.5062193490918449,0.5063034244428684,0.5062732053531694,0.5062201996053414,0.506220199596821
0.2,0.4620867089456548,0.4621764690906279,0.4621458306257402,0.4620877798021509,0.4620877797920105
0.21,0.4174484735889194,0.4175435962225822,0.4175144365461124,0.4174497518440454,0.4174497518323367
0.22,0.3725168152201987,0.3726168610431302,0.3725912928047612,0.372518222113409,0.372518222100243
0.23,0.327502857222641,0.3276074339940058,0.3275872970431216,0.3275044137057903,0.327504413691316
0.24,0.2826156291089837,0.2827244090029938,0.2827108160198913,0.2826174729655844,0.2826174729498864
0.25,0.2380613618106396,0.2381736378761555,0.2381668491013114,0.2380633023034552,0.2380633022865187
0.26,0.194041435593628,0.1941565979402985,0.19415625316657,0.1940434265885969,0.1940434265703444
0.27,0.1507518885566534,0.150869299965283,0.1508747995996169,0.1507539000563536,0.1507539000366706
0.28,0.1083822344479328,0.1085012427262416,0.1085120630881492,0.1083842602754936,0.1083842602542985
0.29,0.06711443575946323,0.06723442040603278,0.06725026259022149,0.06711653528454276,0.06711653526177541
0.3,0.02712193645811511,0.02724238876806429,0.02726315376196831,0.02712430953732492,0.02712430951295575
