t,z_ref_qutip,DOUBLEADAPTIVE,DOUBLEFIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
0,1,1,1,1,1
0.005,0.9996000433757238,0.9996000600457645,0.999600064456538,0.9996000433310573,0.9996000433310588
0.01,0.9984006933747864,0.9984007666642315,0.9984007545044139,0.9984006931875785,0.9984006931875772
0.015,0.9964035082311856,0.9964036785307081,0.9964035914537911,0.9964035083400098,0.996403508340015
0.02,0.9936110832483755,0.993611390771216,0.9936113735356379,0.9936110840086109,0.9936110840086201
0.025,0.990027045963105,0.9900275283996306,0.9900276963483633,0.9900270477731528,0.9900270477731603
0.03,0.9856560506368197,0.9856567458678706,0.9856566502365557,0.9856560538573516,0.9856560538573682
0.035,0.9805037674232182,0.9805047182995309,0.9805053351512473,0.9805037757988476,0.9805037757988625
0.04,0.9745768881109632,0.9745781290080276,0.9745794863835524,0.9745768975185802,0.9745768975185969
0.045,0.9678830937815861,0.9678846608266354,0.9678867487475286,0.967883102806458,0.9678831028064696
0.05,0.9604310522037859,0.9604329843426724,0.9604355577571062,0.9604310632431478,0.9604310632431596
0.055,0.9522304060251359,0.9522327445975627,0.9522355705271044,0.9522304245807705,0.9522304245807683
0.06,0.943291761675054,0.9432945455856564,0.9432975137948346,0.943291791608092,0.9432917916080737
0.065,0.933626673593554,0.9336299334515155,0.9336328994531984,0.9336267115287199,0.9336267115286814
0.07000000000000001,0.923247608406108,0.9232513786061427,0.9232541158449289,0.923247655883455,0.9232476558833946
0.075,0.9121679476124327,0.9121722563003171,0.9121744429878655,0.9121680010506503,0.9121680010505677
0.08,0.9004019470484884,0.9004068257172222,0.9004081259748037,0.9004020073609743,0.9004020073608787
0.08500000000000001,0.8879647282604969,0.8879702076960835,0.8879703632744145,0.8879647968655803,0.8879647968654564
0.09,0.8748722533065071,0.8748783611450104,0.8748770434537452,0.87487232979894,0.8748723297987959
0.095,0.8611412901344174,0.8611480581901545,0.8611445757441196,0.8611413797800587,0.8611413797798888
0.1,0.8467894100459695,0.8467968580460915,0.8467914495611978,0.8467895077978572,0.846789507797669
0.105,0.8318349242435443,0.8318430795115219,0.8318364796090301,0.8318350350287395,0.8318350350285303
0.11,0.8162968921324314,0.8163057721627993,0.8162986605042314,0.8162970145362395,0.8162970145360123
0.115,0.8001950676978258,0.8002046867643308,0.8001975344651855,0.8001952019046178,0.8001952019043752
0.12,0.7835498743857804,0.7835602456724446,0.7835533295416397,0.7835500248599403,0.7835500248596843
0.125,0.7663823909702897,0.7663935133060983,0.7663869282215621,0.7663825519339146,0.7663825519336463
0.13,0.7487142813443786,0.7487261650740754,0.7487198386142701,0.748714460227173,0.7487144602268936
0.135,0.7305678104905999,0.7305804534638599,0.7305742033017369,0.730568002330149,0.7305680023298624
0.14,0.7119657640649746,0.711979172702529,0.7119727707549661,0.7119659724609373,0.7119659724606353
0.145,0.69293144509525,0.6929456234775897,0.6929388539100001,0.6929316718806147,0.6929316718802963
0.15,0.6734886271875699,0.6735035776845983,0.6734963170626878,0.6734888736475916,0.6734888736472494
0.155,0.6536614924358045,0.6536772428097281,0.6536694561711502,0.6536617867733105,0.6536617867729533
0.16,0.6334746533290454,0.6334912257633188,0.6334829007675148,0.63347501984247,0.6334750198420875
0.165,0.6129530790876496,0.6129704961428475,0.6129615909817936,0.6129535441614362,0.6129535441610302
0.17,0.5921220933767599,0.5921403490134045,0.5921307986394585,0.5921226564990562,0.5921226564986193
0.175,0.571007285476267,0.5710263673013602,0.5710161120734836,0.5710079414843923,0.5710079414839171
0.18,0.5496344924990724,0.5496543838810622,0.5496433800605718,0.549635233726103,0.5496352337255827
0.185,0.528029789192776,0.5280504434594104,0.528038665765505,0.5280305797182814,0.5280305797177128
0.19,0.5062193490697074,0.5062407643369988,0.5062282133576238,0.506220199597502,0.5062201995968831
0.195,0.4842295044794843,0.4842517000942495,0.4842384168398478,0.4842304488156525,0.4842304488149759
0.2,0.4620867093959612,0.4621097012578698,0.4620957857918804,0.4620877797928056,0.4620877797920657
0.205,0.4398175128945089,0.4398412770124391,0.4398268919154112,0.4398187036140113,0.4398187036132066
0.21,0.4174484734801802,0.4174729570218539,0.417458281274161,0.417449751833271,0.4174497518323886
0.215,0.3950060773022464,0.3950312534220033,0.3950164103515655,0.3950074384473594,0.3950074384463996
0.22,0.3725168146016808,0.3725426230439121,0.3725276585813332,0.3725182221013482,0.3725182221002989
0.225,0.3500070102958641,0.3500334299245592,0.3500183416783956,0.3500084685867962,0.3500084685856562
0.23,0.3275028574747341,0.3275299081608309,0.3275146814236673,0.3275044136926089,0.3275044136913704
0.235,0.3050304227215103,0.3050581251652422,0.3050427529687286,0.3050321264674483,0.3050321264661071
0.24,0.2826156288807129,0.282643945388398,0.2826284279270147,0.2826174729513843,0.2826174729499394
0.245,0.2602841813992361,0.2603129945730606,0.2602973245086728,0.260286080433179,0.2602860804316184
0.25,0.238061361016822,0.2380906245967658,0.2380747734581505,0.2380633022882422,0.2380633022865663
0.255,0.2159722100129674,0.2160018789523173,0.2159857969126351,0.2159741834508063,0.2159741834490128
0.26,0.194041434612158,0.194071458913891,0.1940550836745822,0.1940434265723046,0.1940434265703888
0.265,0.1722933586797955,0.172323690437477,0.1723069538415857,0.1722953589163351,0.172295358914293
0.27,0.1507518877639873,0.1507824918444049,0.150765319123087,0.1507539000388843,0.1507539000367127
0.275,0.1294404874658831,0.1294713423352716,0.1294536424174252,0.1294425303006819,0.1294425302983846
0.28,0.1083822331581493,0.1084132513798605,0.1083948930332521,0.1083842602567618,0.1083842602543378
0.285,0.0875995736933325,0.08763072902661961,0.08761149185447537,0.08760160096637781,0.08760160096382585
0.29,0.0671144360262594,0.06714575717348614,0.06712528444636356,0.06711653526449068,0.0671165352618126
0.295,0.04694825258301997,0.04697976183986802,0.04695775633170862,0.04695049003400364,0.04695049003119667
0.3,0.02712193644754403,0.0271535864772966,0.02713015589035717,0.02712430951592776,0.02712430951299216
0.305,0.007655804955490291,0.007687466354161121,0.007662880236975644,0.007658229692514507,0.007658229689444795
0.31,-0.01143059947112463,-0.01139899595258764,-0.01142454019253775,-0.01142814622371136,-0.01142814622692029
0.315,-0.03011829120566461,-0.03008685392815369,-0.03011323677224409,-0.03011587116424153,-0.03011587116760417
0.32,-0.04838901632337064,-0.04835783932475474,-0.04838498751813491,-0.04838667641364158,-0.0483866764171641
0.325,-0.06622527098815743,-0.0661943831746642,-0.0662222492535321,-0.06622299262698156,-0.06622299263067871
0.33,-0.08361025237165982,-0.08357963558775905,-0.08360818763247241,-0.0836079696315436,-0.08360796963543715
0.335,-0.1005278194309567,-0.1004974843121214,-0.1005267016108534,-0.1005254949909093,-0.1005254949950239
0.34,-0.1169625112855089,-0.1169325720384669,-0.1169624439072151,-0.1169602113118108,-0.1169602113161828
0.345,-0.1328998044150925,-0.1328703124311845,-0.1329008383428254,-0.1328975322763966,-0.1328975322810688
0.35,-0.1483259345293753,-0.1482969048708495,-0.1483280944975079,-0.1483236573848372,-0.1483236573898541
0.355,-0.1632278976526951,-0.1631993478950852,-0.1632312202081285,-0.1632255853954514,-0.1632255854008693
0.36,-0.1775934953345323,-0.1775654513269077,-0.1775980326194936,-0.1775911264518078,-0.1775911264577124
0.365,-0.191411340833607,-0.191383847081935,-0.1914171683646985,-0.191408912888538,-0.191408912895028
0.37,-0.2046708978625431,-0.2046439986482325,-0.2046780930431684,-0.2046684087097817,-0.2046684087169762
0.375,-0.2173623602408826,-0.2173362092349045,-0.2173711098120163,-0.2173599177364815,-0.2173599177445388
0.38,-0.2294769074017722,-0.2294516285878375,-0.2294873668037161,-0.2294745904209186,-0.2294745904300396
0.385,-0.2410066471034494,-0.2409822584732553,-0.2410188631648947,-0.2410044293290693,-0.2410044293395089
0.39,-0.2519444936140458,-0.2519209568318788,-0.2519584536332148,-0.251942293293537,-0.2519422933056165
0.395,-0.2622841339783159,-0.2622614406086135,-0.2622998516523711,-0.2622819002419544,-0.2622819002560935
0.4,-0.2720200722514504,-0.2719982872648777,-0.2720376310613089,-0.2720178287078342,-0.2720178287245704
0.405,-0.2811477709337383,-0.2811269349825362,-0.2811672264006015,-0.281145518032927,-0.2811455180529335
0.41,-0.2896634996153871,-0.2896436815706371,-0.2896849318747275,-0.2896612672721894,-0.2896612672963164
0.415,-0.2975644030313102,-0.2975456820880247,-0.2975878990021876,-0.2975622328144202,-0.2975622328437378
0.42,-0.3048485349176245,-0.3048309451967974,-0.3048741329806043,-0.3048464247336221,-0.304846424769478
0.425,-0.3115147623524771,-0.3114983282636682,-0.3115424877908312,-0.3115127018879978,-0.3115127019320902
0.43,-0.3175628062683132,-0.3175475312278759,-0.3175926600630139,-0.3175607657854073,-0.3175607658398621
0.435,-0.3229931694546708,-0.3229790892563442,-0.3230251817274087,-0.3229911532358294,-0.3229911533032855
0.44,-0.3278072208345731,-0.3277943642083919,-0.3278414114736742,-0.3278052278132428,-0.3278052278969888
