qubit_qiskit,qubit_pp,err_pp_tebd,err_ref_native_tebd,err_ref_qiskit_tebd,z_pp,z_ref_native,z_ref_qiskit,z_tebd
0,1,4.9993794086514509e-01,1.5000620571385399e+00,4.8788570500152406e-01,9.9999999999998712e-01,-9.9999999800369777e-01,9.8794776413636609e-01,5.0006205913484203e-01
1,2,2.5999974895274391e-07,1.9999695694393209e+00,1.2021807299257059e-02,9.9996931143587420e-01,-9.9999999800369777e-01,9.8794776413636609e-01,9.9996957143562315e-01
2,3,4.1584295327523613e-05,1.9955205514491001e+00,2.4893217618664143e-02,9.9547896912954692e-01,-9.9999999802422557e-01,9.7062733580621030e-01,9.9552055342487444e-01
3,4,4.0386587562335485e-05,1.9955193537616811e+00,2.4892019931245346e-02,9.9547896914989331e-01,-9.9999999802422557e-01,9.7062733580621030e-01,9.9551935573745565e-01
4,5,6.2513760270443974e-05,1.9955385985073173e+00,2.4914147019141741e-02,9.9547896906509759e-01,-9.9999711568194916e-01,9.7062733580622629e-01,9.9554148282536803e-01
5,6,6.0473460680388058e-05,1.9955365582960194e+00,2.4912106807843948e-02,9.9547896915338985e-01,-9.9999711568194916e-01,9.7062733580622629e-01,9.9553944261407024e-01
6,7,5.3025610666335155e-05,1.9998278140160786e+00,8.1980200440809892e-03,9.9977728482628692e-01,-9.9999750357912531e-01,9.9163229039287226e-01,9.9983031043695325e-01
7,8,5.3025411104745679e-05,1.9998278138165171e+00,8.1980198445193997e-03,9.9977728482628692e-01,-9.9999750357912531e-01,9.9163229039287226e-01,9.9983031023739166e-01
8,9,9.9999999999861411e-01,9.9998921646149674e-01,9.8650070375792076e-01,9.9999999999857081e-01,-9.9998921646154004e-01,9.8650070375787746e-01,-4.3325387074190305e-14
9,10,1.5000000517183056e+00,4.9998916474323452e-01,1.4865007554761829e+00,1.0000000000000000e+00,-9.9998921646154004e-01,9.8650070375787746e-01,-5.0000005171830553e-01
10,11,5.8367210371557121e-05,1.9997974583400628e+00,7.9810784123474088e-03,9.9974987466815113e-01,-9.9998921646154004e-01,9.9182716346617528e-01,9.9980824187852269e-01
11,12,5.8367417168248004e-05,1.9997974585468599e+00,7.9810786191445438e-03,9.9974987466815157e-01,-9.9998921646154004e-01,9.9182716346617528e-01,9.9980824208531982e-01
12,13,2.2806575345701852e-05,1.9975550836346549e+00,2.2770330885455214e-02,9.9754384387621930e-01,-9.9998843318308994e-01,9.7479631956610979e-01,9.9756665045156501e-01
13,14,8.3839721609635376e-08,1.9975323608989295e+00,2.2747608149729759e-02,9.9754384387611794e-01,-9.9998843318308994e-01,9.7479631956610979e-01,9.9754392771583955e-01
14,15,3.4327005173806491e-05,1.9975666039953408e+00,2.2781851246131524e-02,9.9754384380707728e-01,-9.9998843318308972e-01,9.7479631956611956e-01,9.9757817081225109e-01
15,16,2.3159237826475554e-05,1.9975554362275538e+00,2.2770683478344544e-02,9.9754384380663763e-01,-9.9998843318308972e-01,9.7479631956611956e-01,9.9756700304446411e-01
16,17,2.7619602014583577e-05,1.9971671311603056e+00,4.8811480294017384e-02,9.9720417936944661e-01,-9.9999057139287362e-01,9.4836507947341464e-01,9.9717655976743202e-01
17,18,3.3533761574111587e-05,1.9987377150226302e+00,5.0382064156342055e-02,9.9878067739133081e-01,-9.9999057139287362e-01,9.4836507947341464e-01,9.9874714362975670e-01
18,19,9.3781789144968597e-01,1.0621715221815691e+00,9.2010966569051811e-01,1.0000000000000000e+00,-9.9998941363125504e-01,9.8229177424083214e-01,6.2182108550313989e-02
19,20,9.9999999999995715e-01,9.9998941363129790e-01,9.8229177424078928e-01,1.0000000000000000e+00,-9.9998941363125504e-01,9.8229177424083214e-01,4.2803399132120966e-14
20,21,4.9999480100417804e-01,1.4986924548077563e+00,4.8229096957109552e-01,9.9999560567391288e-01,-9.9869165013802141e-01,9.8229177424083036e-01,5.0000080466973484e-01
21,22,5.0001587118603252e-01,1.4986757789519889e+00,4.8230764542686294e-01,1.0000000000000000e+00,-9.9869165013802141e-01,9.8229177424083036e-01,4.9998412881396742e-01
22,23,7.2812418066114937e-05,1.8901042026207331e+00,4.1714207287044336e-02,8.9107514708338820e-01,-9.9895624311927866e-01,8.4943375221440998e-01,8.9114795950145431e-01
23,24,1.1455807740690105e-04,1.8873771180816787e+00,3.8987122747990099e-02,8.8830631688499317e-01,-9.9895624311927866e-01,8.4943375221440998e-01,8.8842087496240008e-01
24,25,4.9994542914058282e-01,4.9618364770912871e-01,4.6973489360377318e-01,-9.9999999999857092e-01,-9.9623821856711681e-01,-9.6978946446176129e-01,-5.0005457085798810e-01
25,26,1.0886029655488016e-07,2.5121592450327856e-03,2.8960913350388306e-02,-9.9875026895185304e-01,-9.9623821856711681e-01,-9.6978946446176129e-01,-9.9875037781214959e-01
26,27,9.3227736082890367e-05,1.0282440708645757e-01,3.7639503470881741e-02,-8.9107514708338820e-01,-9.9399278190592866e-01,-8.5352887134858935e-01,-8.9116837481947109e-01
27,28,1.0867654574686636e-04,1.0557778847518884e-01,3.4886122082150473e-02,-8.8830631688499295e-01,-9.9399278190592866e-01,-8.5352887134858935e-01,-8.8841499343073982e-01
28,29,1.5663422943013039e-05,3.2270608864615191e-03,4.0236051064927336e-02,-9.9720417936944694e-01,-9.9399278190592844e-01,-9.5698379172746262e-01,-9.9721984279238995e-01
29,30,1.4005523740756587e-07,6.0072180940817788e-03,4.3016208272547596e-02,-9.9999985994477281e-01,-9.9399278190592844e-01,-9.5698379172746262e-01,-1.0000000000000102e+00
30,31,3.7158821850735713e-05,3.8546542506789905e-05,4.0365077888245393e-02,-9.9302281304645212e-01,-9.9309851841080965e-01,-9.5269489398005747e-01,-9.9305997186830286e-01
31,32,3.6026224191854084e-05,3.9679140194204265e-05,4.0363945290557979e-02,-9.9302281304642359e-01,-9.9309851841080965e-01,-9.5269489398005747e-01,-9.9305883927061545e-01
32,33,9.7629309018354427e-05,2.1923858965822163e-05,4.0425548289679147e-02,-9.9302281296075601e-01,-9.9309851841080854e-01,-9.5269489398009521e-01,-9.9312044226977436e-01
33,34,9.8142357474406694e-05,2.2436995277264060e-05,4.0426061425990589e-02,-9.9302281304861140e-01,-9.9309851841080854e-01,-9.5269489398009521e-01,-9.9312095540608580e-01
34,35,1.0658141036401503e-14,6.7259931836731734e-03,3.5826921707710513e-02,-1.0000000000000000e+00,-9.9327400681633748e-01,-9.6417307829230015e-01,-1.0000000000000107e+00
35,36,1.4006297788249356e-07,6.7259931772198911e-03,3.5826921701257231e-02,-9.9999985993057949e-01,-9.9327400681633748e-01,-9.6417307829230015e-01,-9.9999999999355738e-01
36,37,1.0880185641326534e-14,3.5826921707710735e-02,6.7259931836733955e-03,-1.0000000000000000e+00,-9.6417307829230015e-01,-9.9327400681633748e-01,-1.0000000000000109e+00
37,38,1.1324274851176597e-14,3.5826921707711179e-02,6.7259931836738396e-03,-1.0000000000000000e+00,-9.6417307829230015e-01,-9.9327400681633748e-01,-1.0000000000000113e+00
38,39,1.1102230246251565e-14,4.7305106019915888e-02,6.9014815892025627e-03,-1.0000000000000000e+00,-9.5269489398009521e-01,-9.9309851841080854e-01,-1.0000000000000111e+00
39,40,1.1102230246251565e-14,4.7305106019915888e-02,6.9014815892025627e-03,-1.0000000000000000e+00,-9.5269489398009521e-01,-9.9309851841080854e-01,-1.0000000000000111e+00
40,41,1.1102230246251565e-14,4.7305106019953636e-02,6.9014815892014525e-03,-1.0000000000000000e+00,-9.5269489398005747e-01,-9.9309851841080965e-01,-1.0000000000000111e+00
41,42,1.1546319456101628e-14,4.7305106019954080e-02,6.9014815892018966e-03,-1.0000000000000000e+00,-9.5269489398005747e-01,-9.9309851841080965e-01,-1.0000000000000115e+00
42,43,4.9993746322391142e-01,4.5692564927746138e-01,4.9393463945592719e-01,-9.9999560567391266e-01,-9.5698379172746262e-01,-9.9399278190592844e-01,-5.0005814245000124e-01
43,44,1.5000000000000024e+00,1.4569837917274651e+00,1.4939927819059309e+00,-1.0000000000000000e+00,-9.5698379172746262e-01,-9.9399278190592844e-01,5.0000000000000244e-01
44,45,1.1139302784468619e-04,1.4610968117369394e-01,5.6457706163546284e-03,-9.9952715949443860e-01,-8.5352887134858935e-01,-9.9399278190592866e-01,-9.9963855252228329e-01
45,46,1.1139302784479721e-04,1.4610968117369405e-01,5.6457706163547394e-03,-9.9952715949443860e-01,-8.5352887134858935e-01,-9.9399278190592866e-01,-9.9963855252228340e-01
46,47,1.4999999999999960e+00,1.4697894644617702e+00,1.4962382185671257e+00,-9.9999999999998712e-01,-9.6978946446176129e-01,-9.9623821856711681e-01,5.0000000000000888e-01
47,48,1.1324274851176597e-14,3.0210535538250261e-02,3.7617814328947397e-03,-1.0000000000000002e+00,-9.6978946446176129e-01,-9.9623821856711681e-01,-1.0000000000000115e+00
48,49,1.1546319456101628e-14,1.8494337522144215e+00,1.0437568807328823e-03,-1.0000000000000000e+00,8.4943375221440998e-01,-9.9895624311927866e-01,-1.0000000000000115e+00
49,50,1.1546319456101628e-14,1.8494337522144215e+00,1.0437568807328823e-03,-1.0000000000000000e+00,8.4943375221440998e-01,-9.9895624311927866e-01,-1.0000000000000115e+00
50,51,1.1546319456101628e-14,1.9822917742408419e+00,1.3083498619901324e-03,-1.0000000000000000e+00,9.8229177424083036e-01,-9.9869165013802141e-01,-1.0000000000000115e+00
