name,family,real_ref,imag_ref,real_pp,imag_pp,abs_err
X_1,1q,0.0000000000000000e+00,0.0000000000000000e+00,9.6109525372083815e-01,0.0000000000000000e+00,9.6109525372083815e-01
Y_1,1q,0.0000000000000000e+00,0.0000000000000000e+00,1.4086315405465072e-01,0.0000000000000000e+00,1.4086315405465072e-01
Z_1,1q,9.8794847500105087e-01,0.0000000000000000e+00,2.3759932896033206e-01,0.0000000000000000e+00,7.5034914604071878e-01
X_2,1q,0.0000000000000000e+00,0.0000000000000000e+00,9.9999999840685705e-01,0.0000000000000000e+00,9.9999999840685705e-01
Y_2,1q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_2,1q,9.8794847500105087e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.8794847500105087e-01
X_4,1q,0.0000000000000000e+00,0.0000000000000000e+00,-6.1865681072642420e-01,0.0000000000000000e+00,6.1865681072642420e-01
Y_4,1q,0.0000000000000000e+00,0.0000000000000000e+00,3.4503189649314009e-01,0.0000000000000000e+00,3.4503189649314009e-01
Z_4,1q,9.7062860263396089e-01,0.0000000000000000e+00,5.9609002422584700e-01,0.0000000000000000e+00,3.7453857840811389e-01
X_6,1q,0.0000000000000000e+00,0.0000000000000000e+00,2.1216408207167614e-01,0.0000000000000000e+00,2.1216408207167614e-01
Y_6,1q,0.0000000000000000e+00,0.0000000000000000e+00,2.2954666677255314e-01,0.0000000000000000e+00,2.2954666677255314e-01
Z_6,1q,9.7062860263395379e-01,0.0000000000000000e+00,-8.9389238694695683e-01,0.0000000000000000e+00,1.8645209895809107e+00
X_21,1q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Y_21,1q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_21,1q,9.8228961373108825e-01,0.0000000000000000e+00,9.9999346912345910e-01,0.0000000000000000e+00,1.7703855392370849e-02
X_25,1q,0.0000000000000000e+00,0.0000000000000000e+00,-9.8714707104211741e-01,0.0000000000000000e+00,9.8714707104211741e-01
Y_25,1q,0.0000000000000000e+00,0.0000000000000000e+00,2.2917637623375994e-02,0.0000000000000000e+00,2.2917637623375994e-02
Z_25,1q,-9.6978602720909024e-01,0.0000000000000000e+00,1.4953881036940345e-01,0.0000000000000000e+00,1.1193248375784937e+00
X_26,1q,0.0000000000000000e+00,0.0000000000000000e+00,9.5410399429544535e-01,0.0000000000000000e+00,9.5410399429544535e-01
Y_26,1q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_26,1q,-9.6978602720909024e-01,0.0000000000000000e+00,-2.9907788224604953e-01,0.0000000000000000e+00,6.7070814496304076e-01
X_27,1q,0.0000000000000000e+00,0.0000000000000000e+00,8.8677874930325196e-01,0.0000000000000000e+00,8.8677874930325196e-01
Y_27,1q,0.0000000000000000e+00,0.0000000000000000e+00,2.0587254522320905e-02,0.0000000000000000e+00,2.0587254522320905e-02
Z_27,1q,-8.5367034518617391e-01,0.0000000000000000e+00,1.3433457092145959e-01,0.0000000000000000e+00,9.8800491610763352e-01
X_28,1q,0.0000000000000000e+00,0.0000000000000000e+00,-9.5410399413191482e-01,0.0000000000000000e+00,9.5410399413191482e-01
Y_28,1q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_28,1q,-8.5367034518617391e-01,0.0000000000000000e+00,2.6866909989632004e-01,0.0000000000000000e+00,1.1223394450824939e+00
X_29,1q,0.0000000000000000e+00,0.0000000000000000e+00,-9.8332348827821459e-01,0.0000000000000000e+00,9.8332348827821459e-01
Y_29,1q,0.0000000000000000e+00,0.0000000000000000e+00,2.2828768124013056e-02,0.0000000000000000e+00,2.2828768124013056e-02
Z_29,1q,-9.5698649880313991e-01,0.0000000000000000e+00,1.4895972463763912e-01,0.0000000000000000e+00,1.1059462234407791e+00
X_30,1q,0.0000000000000000e+00,0.0000000000000000e+00,-9.5410399429803305e-01,0.0000000000000000e+00,9.5410399429803305e-01
Y_30,1q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_30,1q,-9.5698649880313991e-01,0.0000000000000000e+00,2.9791944915111679e-01,0.0000000000000000e+00,1.2549059479542568e+00
X_53,1q,0.0000000000000000e+00,0.0000000000000000e+00,-9.7432514224455180e-01,0.0000000000000000e+00,9.7432514224455180e-01
Y_53,1q,0.0000000000000000e+00,0.0000000000000000e+00,-2.2284751891569973e-01,0.0000000000000000e+00,2.2284751891569973e-01
Z_53,1q,-9.9998944167940429e-01,0.0000000000000000e+00,-3.2085144858716913e-02,0.0000000000000000e+00,9.6790429682068735e-01
XX_1_2,2q,0.0000000000000000e+00,0.0000000000000000e+00,9.6109525372051219e-01,0.0000000000000000e+00,9.6109525372051219e-01
YY_1_2,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
ZZ_1_2,2q,9.7802499696618372e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.7802499696618372e-01
XZ_1_2,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
XX_9_10,2q,0.0000000000000000e+00,0.0000000000000000e+00,9.4184093330565222e-01,0.0000000000000000e+00,9.4184093330565222e-01
YY_9_10,2q,0.0000000000000000e+00,0.0000000000000000e+00,2.6333753738089810e-08,0.0000000000000000e+00,2.6333753738089810e-08
ZZ_9_10,2q,9.8091195674501763e-01,0.0000000000000000e+00,4.4842780010704353e-02,0.0000000000000000e+00,9.3606917673431322e-01
XZ_9_10,2q,0.0000000000000000e+00,0.0000000000000000e+00,-2.9601936315410721e-01,0.0000000000000000e+00,2.9601936315410721e-01
XX_11_12,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
YY_11_12,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
ZZ_11_12,2q,9.8831576922814468e-01,0.0000000000000000e+00,-1.5400771586267575e-01,0.0000000000000000e+00,1.1423234850908204e+00
XZ_11_12,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
XX_17_18,2q,0.0000000000000000e+00,0.0000000000000000e+00,-9.8332377947133742e-01,0.0000000000000000e+00,9.8332377947133742e-01
YY_17_18,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
ZZ_17_18,2q,9.2571904584368736e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.2571904584368736e-01
XZ_17_18,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
XX_19_20,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
YY_19_20,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
ZZ_19_20,2q,9.7470603014481039e-01,0.0000000000000000e+00,-1.5400771586267575e-01,0.0000000000000000e+00,1.1287137460074861e+00
XZ_19_20,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
XX_2_54,2q,-3.6847481892757829e-05,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000368474818928e+00
YY_2_54,2q,-3.6847481892757829e-05,0.0000000000000000e+00,-3.7833642982285479e-05,0.0000000000000000e+00,9.8616108952764961e-07
ZZ_2_54,2q,-9.8794220318985382e-01,0.0000000000000000e+00,3.7833642982285479e-05,0.0000000000000000e+00,9.8798003683283608e-01
XZ_2_54,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
