name,state_index,p_ref,p_pp,abs_err
marg2_1_3_4,0,9.7303581799158623e-01,2.6958420422510421e-01,7.0345161376648202e-01
marg2_1_3_4,1,1.2277849911499062e-02,2.3605200796318740e-01,2.2377415805168835e-01
marg2_1_3_4,2,1.2277849911499052e-02,1.8888939080932179e-01,1.7661154089782274e-01
marg2_1_3_4,3,2.4084821853757846e-03,3.0547439700238649e-01,3.0306591481701073e-01
marg2_2_5_6,0,9.7303581799160188e-01,2.1596360171771056e-01,7.5707221627389132e-01
marg2_2_5_6,1,1.2277849911491914e-02,2.4017560637412524e-01,2.2789775646263333e-01
marg2_2_5_6,2,1.2277849911491926e-02,3.0083772155240396e-01,2.8855987164091201e-01
marg2_2_5_6,3,2.4084821853758011e-03,2.4302307035576029e-01,2.4061458817038450e-01
marg2_3_7_8,0,9.9257563262189086e-01,6.3328157367934257e-01,3.5929405894254829e-01
marg2_3_7_8,1,3.2405125745238526e-03,1.2966366906044829e-02,9.7258543315209764e-03
marg2_3_7_8,2,3.2405125745238565e-03,3.4366704408599380e-01,3.4042653151146995e-01
marg2_3_7_8,3,9.4334222901820675e-04,1.0085015328618802e-02,9.1416730996005946e-03
marg2_4_9_10,0,9.8847895042648015e-01,7.7687488345509503e-01,2.1160406697138512e-01
marg2_4_9_10,1,4.7714014524359192e-03,1.2865047009067460e-02,8.0936455566315395e-03
marg2_4_9_10,2,4.7714014524359218e-03,2.0159528441077135e-01,1.9682388295833542e-01
marg2_4_9_10,3,1.9782466686031727e-03,8.6647851250661601e-03,6.6865384564629878e-03
marg3_a,0,2.2361338605181288e-02,1.8516681214747174e-01,1.6280547354229047e-01
marg3_a,1,7.5522328732674797e-04,1.8516681214747174e-01,1.8441158886014500e-01
marg3_a,2,5.3050954609064425e-04,5.8329651885424501e-02,5.7799142339333857e-02
marg3_a,3,5.4815713334916250e-06,5.8329651885424501e-02,5.8324170314091012e-02
marg3_a,4,9.6611846922885636e-01,1.9505803605084912e-01,7.7106043317800721e-01
marg3_a,5,4.7388509468018775e-03,1.9505803605084912e-01,1.9031918510404724e-01
marg3_a,6,4.9635646880379783e-03,6.1445499916254628e-02,5.6481935228216651e-02
marg3_a,7,5.2656212633581004e-04,6.1445499916254628e-02,6.0918937789918817e-02
marg3_b,0,2.0303770410324801e-02,1.1286757449032427e-01,9.2563804079999465e-02
marg3_b,1,7.6070485866023966e-04,1.1286757449032427e-01,1.1210686963166402e-01
marg3_b,2,2.5880777409471260e-03,1.3062888954257199e-01,1.2804081180162485e-01
marg3_b,3,0.0000000000000000e+00,1.3062888954257199e-01,1.3062888954257199e-01
marg3_b,4,9.6124436234258070e-01,1.3643591001187411e-01,8.2480845233070665e-01
marg3_b,5,5.0893221714769007e-03,1.3643591001187411e-01,1.3134658784039721e-01
marg3_b,6,9.8376715743164183e-03,1.2006762595522964e-01,1.1022995438091322e-01
marg3_b,7,1.7609090166078754e-04,1.2006762595522964e-01,1.1989153505356885e-01
marg4_a,0,1.9796906060394595e-02,8.5830112754094592e-02,6.6033206693699997e-02
marg4_a,1,7.5522328732674797e-04,8.5830112754094592e-02,8.5074889466767847e-02
marg4_a,2,5.0686434993020492e-04,2.7037461736229677e-02,2.6530597386299471e-02
marg4_a,3,5.4815713334916250e-06,2.7037461736229677e-02,2.7031980164896184e-02
marg4_a,4,2.5644325447866864e-03,9.9336699393377151e-02,9.6772266848590471e-02
marg4_a,5,0.0000000000000000e+00,9.9336699393377151e-02,9.9336699393377151e-02
marg4_a,6,2.3645196160439300e-05,3.1292190149194821e-02,3.1268544953034383e-02
marg4_a,7,0.0000000000000000e+00,3.1292190149194821e-02,3.1292190149194821e-02
marg4_a,8,9.5658172211232972e-01,1.0375264634623275e-01,8.5282907576609701e-01
marg4_a,9,4.5627600451410887e-03,1.0375264634623275e-01,9.9189886301091670e-02
marg4_a,10,4.6626402302548187e-03,3.2683263665641352e-02,2.8020623435386534e-02
marg4_a,11,5.2656212633581004e-04,3.2683263665641352e-02,3.2156701539305541e-02
marg4_a,12,9.5367471165332483e-03,9.1305389704616366e-02,8.1768642588083112e-02
marg4_a,13,1.7609090166078754e-04,9.1305389704616366e-02,9.1129298802955574e-02
marg4_a,14,3.0092445778316114e-04,2.8762236250613287e-02,2.8461311792830127e-02
marg4_a,15,0.0000000000000000e+00,2.8762236250613287e-02,2.8762236250613287e-02
