name,family,real_ref,imag_ref,real_pp,imag_pp,abs_err
X_1,X,0.0000000000000000e+00,0.0000000000000000e+00,-5.4453641817741973e-16,0.0000000000000000e+00,5.4453641817741973e-16
Y_1,Y,0.0000000000000000e+00,0.0000000000000000e+00,-3.2170201571400581e-16,0.0000000000000000e+00,3.2170201571400581e-16
Z_1,Z,9.8794847500105087e-01,0.0000000000000000e+00,9.9999997800867668e-01,0.0000000000000000e+00,1.2051503007625808e-02
X_2,X,0.0000000000000000e+00,0.0000000000000000e+00,-7.8780318589552877e-17,0.0000000000000000e+00,7.8780318589552877e-17
Y_2,Y,0.0000000000000000e+00,0.0000000000000000e+00,-2.2776579203924929e-16,0.0000000000000000e+00,2.2776579203924929e-16
Z_2,Z,9.8794847500105087e-01,0.0000000000000000e+00,9.9999997800867668e-01,0.0000000000000000e+00,1.2051503007625808e-02
X_3,X,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Y_3,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_3,Z,9.7062860263396089e-01,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,2.9371397366039109e-02
X_4,X,0.0000000000000000e+00,0.0000000000000000e+00,-1.0153607933483693e-15,0.0000000000000000e+00,1.0153607933483693e-15
Y_4,Y,0.0000000000000000e+00,0.0000000000000000e+00,5.4655353222895857e-16,0.0000000000000000e+00,5.4655353222895857e-16
Z_4,Z,9.7062860263396089e-01,0.0000000000000000e+00,9.9999999998091360e-01,0.0000000000000000e+00,2.9371397346952710e-02
X_5,X,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Y_5,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_5,Z,9.7062860263395379e-01,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,2.9371397366046215e-02
X_6,X,0.0000000000000000e+00,0.0000000000000000e+00,-4.4213764546721525e-16,0.0000000000000000e+00,4.4213764546721525e-16
Y_6,Y,0.0000000000000000e+00,0.0000000000000000e+00,-1.3840058629978836e-15,0.0000000000000000e+00,1.3840058629978836e-15
