qubit_qiskit,qubit_pp,z_ref,z_pp,abs_error,pp_terms,pp_time_s
0,1,9.8794776413636609e-01,9.9999999999998712e-01,1.2052235863621030e-02,24,0.0008
1,2,9.8794776413636609e-01,9.9996931143587420e-01,1.2021547299508106e-02,447,0.0065
2,3,9.7062733580621030e-01,9.9547896912954692e-01,2.4851633323336619e-02,2143,0.0186
3,4,9.7062733580621030e-01,9.9547896914989331e-01,2.4851633343683011e-02,2143,0.0184
4,5,9.7062733580622629e-01,9.9547896906509759e-01,2.4851633258871297e-02,2143,0.0306
5,6,9.7062733580622629e-01,9.9547896915338985e-01,2.4851633347163560e-02,2143,0.0309
6,7,9.9163229039287226e-01,9.9977728482628692e-01,8.1449944334146540e-03,447,0.0076
7,8,9.9163229039287226e-01,9.9977728482628692e-01,8.1449944334146540e-03,447,0.0073
8,9,9.8650070375787746e-01,9.9999999999857081e-01,1.3499296240693348e-02,124,0.0006
9,10,9.8650070375787746e-01,1.0000000000000000e+00,1.3499296242122538e-02,127,0.0007
10,11,9.9182716346617528e-01,9.9974987466815113e-01,7.9227112019758517e-03,447,0.0075
11,12,9.9182716346617528e-01,9.9974987466815157e-01,7.9227112019762957e-03,235,0.0044
12,13,9.7479631956610979e-01,9.9754384387621930e-01,2.2747524310109513e-02,2143,0.0184
13,14,9.7479631956610979e-01,9.9754384387611794e-01,2.2747524310008149e-02,476,0.0037
14,15,9.7479631956611956e-01,9.9754384380707728e-01,2.2747524240957717e-02,2143,0.0319
15,16,9.7479631956611956e-01,9.9754384380663763e-01,2.2747524240518069e-02,476,0.0053
16,17,9.4836507947341464e-01,9.9720417936944661e-01,4.8839099896031968e-02,2143,0.0060
17,18,9.4836507947341464e-01,9.9878067739133081e-01,5.0415597917916166e-02,447,0.0063
18,19,9.8229177424083214e-01,1.0000000000000000e+00,1.7708225759167862e-02,127,0.0006
19,20,9.8229177424083214e-01,1.0000000000000000e+00,1.7708225759167862e-02,1,0.0005
20,21,9.8229177424083036e-01,9.9999560567391288e-01,1.7703831433082517e-02,96,0.0021
21,22,9.8229177424083036e-01,1.0000000000000000e+00,1.7708225759169638e-02,1,0.0005
22,23,8.4943375221440998e-01,8.9107514708338820e-01,4.1641394868978221e-02,2143,0.0059
23,24,8.4943375221440998e-01,8.8830631688499317e-01,3.8872564670583198e-02,2143,0.0061
24,25,-9.6978946446176129e-01,-9.9999999999857092e-01,3.0210535536809635e-02,24,0.0005
25,26,-9.6978946446176129e-01,-9.9875026895185304e-01,2.8960804490091752e-02,447,0.0065
26,27,-8.5352887134858935e-01,-8.9107514708338820e-01,3.7546275734798851e-02,476,0.0017
27,28,-8.5352887134858935e-01,-8.8830631688499295e-01,3.4777445536403606e-02,476,0.0017
28,29,-9.5698379172746262e-01,-9.9720417936944694e-01,4.0220387641984323e-02,476,0.0020
29,30,-9.5698379172746262e-01,-9.9999985994477281e-01,4.3016068217310188e-02,235,0.0036
30,31,-9.5269489398005747e-01,-9.9302281304645212e-01,4.0327919066394657e-02,476,0.0037
31,32,-9.5269489398005747e-01,-9.9302281304642359e-01,4.0327919066366125e-02,476,0.0034
32,33,-9.5269489398009521e-01,-9.9302281296075601e-01,4.0327918980660793e-02,476,0.0054
33,34,-9.5269489398009521e-01,-9.9302281304861140e-01,4.0327919068516183e-02,476,0.0053
34,35,-9.6417307829230015e-01,-1.0000000000000000e+00,3.5826921707699855e-02,235,0.0038
35,36,-9.6417307829230015e-01,-9.9999985993057949e-01,3.5826781638279348e-02,235,0.0036
36,37,-9.9327400681633748e-01,-1.0000000000000000e+00,6.7259931836625153e-03,3,0.0005
37,38,-9.9327400681633748e-01,-1.0000000000000000e+00,6.7259931836625153e-03,3,0.0005
38,39,-9.9309851841080854e-01,-1.0000000000000000e+00,6.9014815891914605e-03,3,0.0004
39,40,-9.9309851841080854e-01,-1.0000000000000000e+00,6.9014815891914605e-03,3,0.0004
40,41,-9.9309851841080965e-01,-1.0000000000000000e+00,6.9014815891903503e-03,3,0.0004
41,42,-9.9309851841080965e-01,-1.0000000000000000e+00,6.9014815891903503e-03,3,0.0005
