t,norm_ref,norm_tdvp,err_state,max_abs_err_z,max_bond_dim,z_ref_1,z_ref_2,z_ref_3,z_ref_4,z_ref_5,z_ref_6,z_ref_7,z_ref_8,z_ref_9,z_ref_10,z_tdvp_1,z_tdvp_2,z_tdvp_3,z_tdvp_4,z_tdvp_5,z_tdvp_6,z_tdvp_7,z_tdvp_8,z_tdvp_9,z_tdvp_10
0.0000000000,1.0000000000000000e+00,9.9999999999999922e-01,7.7715611723760958e-16,2.2371143170757382e-17,1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17
0.0500000000,9.5146815783750704e-01,9.5146815783744632e-01,1.3693839810442518e-07,5.2334265393527701e-12,2,9.0874371346014171e-03,9.1294490865227347e-03,9.1294921544593077e-03,9.1294921297877842e-03,9.1294921297386273e-03,9.1294921297385874e-03,9.1294921297878032e-03,9.1294921544593753e-03,9.1294490865224745e-03,9.0874371346021006e-03,9.0874371310102810e-03,9.1294490834075148e-03,9.1294921511007598e-03,9.1294921246047323e-03,9.1294921245052008e-03,9.1294921245052008e-03,9.1294921245672622e-03,9.1294921528125572e-03,9.1294490844048282e-03,9.0874371327222276e-03
0.1000000000,9.0575628167374589e-01,9.0575628165172617e-01,1.0672913778215185e-06,2.0060532748833459e-09,3,1.6657468297759603e-02,1.6956967078793600e-02,1.6958195755294989e-02,1.6958192944672164e-02,1.6958192922257601e-02,1.6958192922257705e-02,1.6958192944672171e-02,1.6958195755295134e-02,1.6956967078793291e-02,1.6657468297759818e-02,1.6657467295907589e-02,1.6956966074921857e-02,1.6958194744416344e-02,1.6958190957905295e-02,1.6958190916246563e-02,1.6958190916204430e-02,1.6958190956803509e-02,1.6958194746662270e-02,1.6956966075716364e-02,1.6657467298193205e-02
0.1500000000,8.6271157915623653e-01,8.6271157895677042e-01,1.7603402752096042e-06,7.6095565335054793e-09,4,2.3088763778510490e-02,2.3980200713695977e-02,2.3988437347111459e-02,2.3988395075631969e-02,2.3988394319528809e-02,2.3988394319528962e-02,2.3988395075632038e-02,2.3988437347111438e-02,2.3980200713695873e-02,2.3088763778510948e-02,2.3088759981784543e-02,2.3980196898706951e-02,2.3988433479755933e-02,2.3988387590265392e-02,2.3988386709972276e-02,2.3988386710331322e-02,2.3988387596198812e-02,2.3988433490064409e-02,2.3980196907081475e-02,2.3088759992355136e-02
0.2000000000,8.2220489365392480e-01,8.2220489300723798e-01,1.6769446088096282e-06,1.5127455066377138e-08,4,2.8667597434739012e-02,3.0511272679161219e-02,3.0541614362870988e-02,3.0541338673739100e-02,3.0541329944901330e-02,3.0541329944901448e-02,3.0541338673739198e-02,3.0541614362871138e-02,3.0511272679161337e-02,2.8667597434739372e-02,2.8667589870024841e-02,3.0511265084817052e-02,3.0541606618727568e-02,3.0541323922788854e-02,3.0541314817446263e-02,3.0541314817874088e-02,3.0541323928791497e-02,3.0541606629687856e-02,3.0511265093600581e-02,2.8667589881561852e-02
0.2500000000,7.8412431340373034e-01,7.8412431197054733e-01,1.5986897596412821e-06,2.3557470300861194e-08,4,3.3606985377470311e-02,3.6714025697754671e-02,3.6794183547345649e-02,3.6793051752418426e-02,3.6792996058717990e-02,3.6792996058718136e-02,3.6793051752418551e-02,3.6794183547345934e-02,3.6714025697754830e-02,3.3606985377470658e-02,3.3606973505174977e-02,3.6714013839029225e-02,3.6794171403790821e-02,3.6793029017881229e-02,3.6792972501247689e-02,3.6792972501756616e-02,3.6793029023934221e-02,3.6794171414946342e-02,3.6714013847978677e-02,3.3606973517356538e-02
0.3000000000,7.4836928679637504e-01,7.4836928419684090e-01,1.5253769328238566e-06,3.2236600083779265e-08,4,3.8062176659530378e-02,4.2640370314230396e-02,4.2811365580255466e-02,4.2807912787730329e-02,4.2807669638249474e-02,4.2807669638249661e-02,4.2807912787730579e-02,4.2811365580255722e-02,4.2640370314230493e-02,3.8062176659530572e-02,3.8062160165409933e-02,4.2640354008973036e-02,4.2811348859388421e-02,4.2807882038003342e-02,4.2807637401649390e-02,4.2807637402247134e-02,4.2807882044062995e-02,4.2811348870341104e-02,4.2640354017864202e-02,3.8062160177946218e-02
0.3500000000,7.1484541160022430e-01,7.1484540743751945e-01,1.4583206630112683e-06,4.0642101711840795e-08,4,4.2143121862550398e-02,4.8264079924761220e-02,4.8577861942402059e-02,4.8569309962529700e-02,4.8568495898459740e-02,4.8568495898459907e-02,4.8569309962529991e-02,4.8577861942402205e-02,4.8264079924761089e-02,4.2143121862550550e-02,4.2143100525273099e-02,4.8264059173325990e-02,4.8577840706506892e-02,4.8569271670693304e-02,4.8568455256358029e-02,4.8568455257054638e-02,4.8569271676666664e-02,4.8577840716930887e-02,4.8264059181970576e-02,4.2143100537899589e-02
0.4000000000,6.8346003983801362e-01,6.8346003371012087e-01,1.4123412204218457e-06,4.8571573610378671e-08,4,4.5924457684803494e-02,5.3510775668562216e-02,5.4025120742294132e-02,5.4006990821322889e-02,5.4004753460253949e-02,5.4004753460254171e-02,5.4006990821323181e-02,5.4025120742294402e-02,5.3510775668562161e-02,4.5924457684803480e-02,4.5924431070411866e-02,5.3510750340053231e-02,5.4025094979937183e-02,5.4006945577168869e-02,5.4004704888680338e-02,5.4004704889500460e-02,5.4006945582871613e-02,5.4025094989624295e-02,5.3510750348368635e-02,4.5924431082915114e-02
0.4500000000,6.5411881191267918e-01,6.5411880338832262e-01,1.4855443462192176e-06,5.6493635769427897e-08,4,4.9453470695952517e-02,5.8283288566945181e-02,5.9054866464340043e-02,5.9020828899538885e-02,5.9015554098179296e-02,5.9015554098179594e-02,5.9020828899539350e-02,5.9054866464340335e-02,5.8283288566945361e-02,4.9453470695952538e-02,4.9453437455245525e-02,5.8283257674309114e-02,5.9054835348611195e-02,5.9020776604873704e-02,5.9015497604543526e-02,5.9015497605560768e-02,5.9020776609996078e-02,5.9054835357603530e-02,5.8283257682540696e-02,4.9453437467609225e-02
0.5000000000,6.2672319952137345e-01,6.2672318803164639e-01,2.0571285540867800e-06,6.6130960763022273e-08,4,5.2756441429467754e-02,6.2482022125298062e-02,6.3558746260911542e-02,6.3500819792588634e-02,6.3489826438361929e-02,6.3489826438362318e-02,6.3500819792589119e-02,6.3558746260911972e-02,6.2482022125298402e-02,5.2756441429467851e-02,5.2756397832817353e-02,6.2481982359831212e-02,6.3558706650126556e-02,6.3500758126690982e-02,6.3489760307401166e-02,6.3489760308783311e-02,6.3500758130797752e-02,6.3558706658996850e-02,6.2481982369036515e-02,5.2756397845612792e-02
0.5500000000,6.0116909432035504e-01,6.0116907888044546e-01,3.8101419354358433e-06,8.1299023124703496e-08,4,5.5843718581194857e-02,6.6020317455987812e-02,6.7434061244601745e-02,6.7343193744110699e-02,6.7322500014586062e-02,6.7322500014586464e-02,6.7343193744111227e-02,6.7434061244602050e-02,6.6020317455987770e-02,5.5843718581194600e-02,5.5843655778460670e-02,6.6020260569384454e-02,6.7434005009439080e-02,6.7343115517931679e-02,6.7322418715562937e-02,6.7322418717628452e-02,6.7343115520533986e-02,6.7434005019746807e-02,6.6020260582285217e-02,5.5843655793660178e-02
0.6000000000,5.7734642794644819e-01,5.7734640657480318e-01,7.5719738248388646e-06,1.1094960702950907e-07,4,5.8713827791800094e-02,6.8835111146105132e-02,7.0595655617524594e-02,7.0462617416363754e-02,7.0426871405607702e-02,7.0426871405608021e-02,7.0462617416364087e-02,7.0595655617524927e-02,6.8835111146105188e-02,5.8713827791800115e-02,5.8713727185256796e-02,6.8835019776494449e-02,7.0595565380897285e-02,7.0462506466756725e-02,7.0426762468895371e-02,7.0426762472156346e-02,7.0462506467477454e-02,7.0595565395744658e-02,6.8835019798658054e-02,5.8713727207592291e-02
0.6500000000,5.5513975136012950e-01,5.5513972001351675e-01,1.4597493446779491e-05,1.7453594258753924e-07,4,6.1356874759735350e-02,7.0893359743666673e-02,7.2984131713391784e-02,7.2800561172363387e-02,7.2743211445912864e-02,7.2743211445913128e-02,7.2800561172363790e-02,7.2984131713392103e-02,7.0893359743666923e-02,6.1356874759735412e-02,6.1356700890691902e-02,7.0893201431477759e-02,7.2983974739686985e-02,7.2800386637629791e-02,7.2743051305777365e-02,7.2743051310935142e-02,7.2800386636421202e-02,7.2983974764177006e-02,7.0893201472605152e-02,6.1356700929537614e-02
0.7000000000,5.3442964258965042e-01,5.3442959339595053e-01,2.6846922673731266e-05,3.0946796651665220e-07,4,6.3757453298668373e-02,7.2194791346739812e-02,7.4570643406572601e-02,7.4330025734814537e-02,7.4243766122600918e-02,7.4243766122601113e-02,7.4330025734814870e-02,7.4570643406573059e-02,7.2194791346739826e-02,6.3757453298668387e-02,6.3757143830701857e-02,7.2194510782063612e-02,7.4570363697745390e-02,7.4329734908700928e-02,7.4243515238229696e-02,7.4243515246087702e-02,7.4329734906023792e-02,7.4570363739041995e-02,7.2194510856922189e-02,6.3757143902189242e-02
0.7500000000,5.1509475856495446e-01,5.1509467712618706e-01,4.7196270651086815e-05,5.4724731594901765e-07,4,6.5897212830419466e-02,7.2771559634816879e-02,7.5358592712682956e-02,7.5056943887702468e-02,7.4934411338425391e-02,7.4934411338425558e-02,7.5056943887702843e-02,7.5358592712683456e-02,7.2771559634817129e-02,6.5897212830419591e-02,6.5896665583103517e-02,7.2771069556290091e-02,7.5358101817060624e-02,7.5056454302208836e-02,7.4934009293824488e-02,7.4934009305106214e-02,7.5056454299021538e-02,7.5358101883732403e-02,7.2771069684703704e-02,6.5896665711834293e-02
0.8000000000,4.9701430597642487e-01,4.9701416754104538e-01,7.9681250512901938e-05,9.4249791299239050e-07,4,6.7757177759546594e-02,7.2685353771414551e-02,7.5382616613240014e-02,7.5018688755377733e-02,7.4853336527789624e-02,7.4853336527789679e-02,7.5018688755378024e-02,7.5382616613240555e-02,7.2685353771414829e-02,6.7757177759546788e-02,6.7756235261633602e-02,7.2684525268357614e-02,7.5381784109952388e-02,7.5017880544526030e-02,7.4852698160632350e-02,7.4852698175730689e-02,7.5017880541966536e-02,7.5381784210418259e-02,7.2684525473725295e-02,6.7756235481054222e-02
